element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
9,2,8,3,False,2020-09-12T11:30:00Z,0,3,1,77,0,0,1,0,0,0,0,0,0,0,0,11,6.8,17.2,21.0,4.5,55,0,42909,0,0
9,9,19,2,True,2020-09-19T19:00:00Z,2,1,2,90,0,0,0,1,0,0,0,0,0,0,0,10,16.4,6.7,0.0,2.3,55,670,58116,9879,9209
9,23,11,1,False,2020-09-28T19:00:00Z,3,1,3,59,0,0,0,2,0,0,0,0,0,0,0,8,6.8,3.4,0.0,1.0,55,-8902,53341,3582,12484
9,29,15,1,True,2020-10-04T13:00:00Z,2,1,4,9,0,0,0,1,0,0,0,0,0,0,0,3,1.4,0.0,0.0,0.1,55,-3370,53027,3893,7263
9,44,12,2,False,2020-10-17T16:30:00Z,1,0,5,82,0,0,0,1,0,0,0,0,0,0,0,10,6.4,1.8,0.0,0.8,54,-7416,46661,1557,8973
9,49,9,1,True,2020-10-25T19:15:00Z,0,1,6,90,0,0,0,1,0,0,0,1,0,0,0,5,14.0,4.7,8.0,2.7,54,-3447,44236,953,4400
9,64,13,0,False,2020-11-01T16:30:00Z,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-2737,42146,789,3526
9,69,2,0,True,2020-11-08T19:15:00Z,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-3460,38929,489,3949
9,82,10,3,False,2020-11-22T16:30:00Z,0,0,9,90,0,0,1,0,0,0,0,0,0,0,0,10,10.8,0.7,1.0,1.3,53,-2603,36603,350,2953
9,89,20,2,True,2020-11-29T19:15:00Z,1,2,10,80,0,0,0,2,0,0,0,0,0,0,0,12,14.2,3.4,0.0,1.8,53,-666,36301,555,1221
9,106,17,1,False,2020-12-06T16:30:00Z,2,0,11,90,0,0,0,2,0,0,0,1,0,0,0,12,20.8,8.3,2.0,3.1,53,-1294,35154,355,1649
9,109,4,-2,True,2020-12-13T19:15:00Z,0,1,12,57,0,0,0,1,0,0,0,0,1,0,0,-2,0.0,2.7,0.0,0.2,52,-946,34460,503,1449
9,119,16,0,True,2020-12-16T18:00:00Z,1,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,52,-2201,32282,150,2351
9,133,7,0,False,2020-12-19T17:30:00Z,2,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,52,-1675,30646,25,1700
9,139,5,8,True,2020-12-26T17:30:00Z,3,1,15,90,1,0,0,1,0,0,0,0,0,0,1,27,40.2,5.6,17.0,6.3,52,-787,30003,209,996
9,149,3,3,False,2020-12-29T18:00:00Z,0,1,16,90,0,0,1,0,0,0,0,0,0,0,0,16,11.6,2.5,18.0,3.2,52,2157,32591,2661,504
9,168,18,3,False,2021-01-02T20:00:00Z,0,4,17,90,0,0,1,0,0,0,0,0,0,0,0,14,7.8,4.4,0.0,1.2,52,1156,33959,2354,1198
9,169,6,3,True,2021-01-14T20:00:00Z,0,0,18,90,0,0,1,0,0,0,0,0,0,0,0,18,28.4,7.3,8.0,4.4,52,617,36440,2800,2183
9,179,14,3,True,2021-01-18T20:00:00Z,3,0,19,90,0,0,1,0,0,0,0,0,0,0,0,21,15.8,5.9,10.0,3.2,52,-685,34262,806,1491
9,197,16,5,False,2021-01-26T20:15:00Z,1,3,20,90,0,1,0,1,0,0,0,0,0,0,0,31,29.0,29.6,0.0,5.9,52,-260,34572,1396,1656
9,199,13,3,True,2021-01-30T17:30:00Z,0,0,21,90,0,0,1,0,0,0,0,0,0,0,0,14,9.6,3.8,17.0,3.0,52,-383,34338,786,1169
9,215,20,1,False,2021-02-02T18:00:00Z,2,1,22,90,0,0,0,2,0,0,0,1,0,0,0,13,20.0,13.3,0.0,3.3,52,884,35561,1796,912
9,219,2,1,False,2021-02-06T12:30:00Z,1,0,23,90,0,0,0,1,0,0,0,1,0,0,0,11,17.6,30.6,7.0,5.5,52,-1005,34750,569,1574
9,229,10,5,True,2021-02-14T16:30:00Z,4,2,24,90,0,1,0,2,0,0,0,0,0,0,0,21,24.8,21.3,0.0,4.6,52,-928,34072,609,1537
9,239,12,1,True,2021-02-21T16:30:00Z,0,1,25,90,0,0,0,1,0,0,0,1,0,0,0,7,9.0,23.8,2.0,3.5,52,-342,33998,477,819
9,253,9,2,False,2021-02-28T12:00:00Z,1,3,26,90,0,0,0,1,0,0,0,0,0,0,0,13,15.4,15.1,2.0,3.3,52,-410,33799,528,938
9,261,4,2,False,2021-03-06T12:30:00Z,1,1,27,90,0,0,0,1,0,0,0,0,0,0,0,11,8.2,15.6,2.0,2.6,52,530,34608,1192,662
9,269,17,1,True,2021-03-14T16:30:00Z,2,1,28,90,0,0,0,1,0,0,0,1,0,0,0,11,9.8,4.8,1.0,1.6,52,-214,34506,665,879
