element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
388,4,7,2,True,2020-09-13T15:30:00Z,0,1,1,90,0,0,0,1,0,0,0,0,0,0,0,7,8.0,22.5,21.0,5.2,105,0,894557,0,0
388,17,16,21,False,2020-09-20T11:00:00Z,2,5,2,83,1,4,0,1,0,0,0,0,0,0,3,81,108.4,40.8,35.0,18.4,105,-140554,829125,39756,180310
388,26,14,5,True,2020-09-27T13:00:00Z,1,1,3,90,0,1,0,1,0,0,0,0,0,0,0,7,29.8,23.5,138.0,19.1,105,266301,1243962,355042,88741
388,35,13,16,False,2020-10-04T15:30:00Z,1,6,4,90,2,1,0,1,0,0,0,0,0,0,3,64,88.8,32.2,75.0,19.6,105,-37357,1208153,123780,161137
388,47,19,16,True,2020-10-18T15:30:00Z,3,3,5,90,2,1,0,3,0,0,0,0,0,0,3,69,108.4,29.3,67.0,20.5,106,723621,2083949,769600,45979
388,52,4,5,False,2020-10-26T20:00:00Z,0,1,6,90,0,1,1,0,0,0,0,0,0,0,0,17,20.6,12.3,36.0,6.9,108,765946,2874709,783764,17818
388,67,3,6,True,2020-11-01T19:15:00Z,2,1,7,90,1,0,0,1,0,0,0,0,0,0,0,18,35.4,3.1,28.0,6.7,109,252287,3137021,270201,17914
388,77,18,9,False,2020-11-08T12:00:00Z,0,1,8,90,1,0,1,0,0,0,0,0,0,0,3,40,51.8,50.0,76.0,17.8,110,194924,3370292,214170,19246
388,87,12,4,True,2020-11-21T17:30:00Z,2,0,9,90,0,1,1,0,0,0,0,1,0,0,0,13,25.2,13.5,4.0,4.3,110,-24064,3342613,143251,167315
388,91,5,2,False,2020-11-29T16:30:00Z,0,0,10,90,0,0,1,0,0,0,0,0,0,0,0,3,5.2,25.3,11.0,4.2,110,-142038,3210982,62167,204205
388,106,1,12,True,2020-12-06T16:30:00Z,2,0,11,90,1,1,1,0,0,0,0,0,0,0,3,39,62.6,11.2,37.0,11.1,109,-264317,2928321,65490,329807
388,110,6,9,False,2020-12-13T14:15:00Z,1,1,12,90,1,0,0,1,0,0,0,0,0,0,3,30,48.6,14.8,50.0,11.3,109,106446,3116271,164995,58549
388,127,11,2,False,2020-12-16T20:00:00Z,2,1,13,90,0,0,0,2,0,0,0,0,0,0,0,0,0.0,0.8,10.0,0.8,109,21480,3131857,77852,56372
388,137,9,2,True,2020-12-20T14:15:00Z,0,2,14,90,0,0,0,2,0,0,0,0,0,0,0,7,11.6,8.3,35.0,5.5,110,134670,3290617,164460,29790
388,148,20,2,False,2020-12-27T19:15:00Z,1,1,15,90,0,0,0,1,0,0,0,0,0,0,0,2,5.6,3.9,26.0,3.6,110,-86077,3209230,82885,168962
388,167,10,12,True,2021-01-02T12:30:00Z,3,0,17,86,1,1,1,0,0,0,0,0,0,0,3,47,56.2,17.5,56.0,13.0,110,-19026,3264888,79446,98472
388,157,8,8,True,2021-01-13T20:15:00Z,1,1,18,90,1,0,0,1,0,0,0,0,0,0,2,28,41.6,11.8,36.0,8.9,110,251254,4087630,325776,74522
388,186,15,9,False,2021-01-17T14:00:00Z,1,3,19,90,1,0,0,1,0,0,0,0,0,0,3,41,55.6,50.3,49.0,15.5,111,-208661,3221390,86391,295052
388,198,11,1,True,2021-01-28T20:00:00Z,1,3,20,45,0,0,0,1,0,0,0,0,0,0,0,-1,0.0,0.1,2.0,0.0,112,399757,3769605,458404,58647
388,200,3,0,False,2021-01-31T19:15:00Z,1,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,112,-1299896,2453093,91139,1391035
388,218,5,0,True,2021-02-04T20:00:00Z,0,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,111,-797821,1665524,2695,800516
388,227,18,8,True,2021-02-07T12:00:00Z,2,0,23,90,1,0,1,0,0,0,0,0,0,0,2,28,40.2,26.5,64.0,13.1,110,-276543,1396326,4746,281289
388,235,12,2,False,2021-02-13T17:30:00Z,3,0,24,90,0,0,0,3,0,0,0,0,0,0,0,2,14.2,13.3,8.0,3.6,110,345089,1766120,397573,52484
