element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
298,15,6,0,True,2020-09-19T16:30:00Z,1,3,2,90,0,0,0,3,0,0,0,1,0,0,0,14,14.8,4.6,4.0,2.3,55,11004,276468,28710,17706
298,19,3,4,False,2020-09-26T11:30:00Z,2,3,3,90,0,1,0,2,0,0,0,0,0,0,0,22,15.0,0.5,18.0,3.4,55,-28042,259603,17781,45823
298,35,17,-1,True,2020-10-04T15:30:00Z,1,6,4,90,0,0,0,6,0,0,0,0,0,0,0,7,0.0,0.9,2.0,0.3,55,-26765,240877,8706,35471
298,45,14,8,False,2020-10-17T19:00:00Z,1,4,5,90,1,0,0,1,0,0,0,0,0,0,0,24,46.8,0.8,38.0,8.6,54,-41565,202383,4057,45622
298,55,5,7,True,2020-10-24T16:30:00Z,0,0,6,90,0,0,1,0,0,0,0,0,0,0,1,29,22.6,11.3,18.0,5.2,54,-5327,201421,10741,16068
298,64,1,1,True,2020-11-01T16:30:00Z,0,1,7,90,0,0,0,1,0,0,0,1,0,0,0,13,10.2,11.8,31.0,5.3,54,16904,224646,23411,6507
298,73,7,2,False,2020-11-07T12:30:00Z,1,3,8,90,0,0,0,1,0,0,0,0,0,0,0,14,19.8,0.2,7.0,2.7,54,-1129,224806,11175,12304
298,84,18,6,True,2020-11-21T20:00:00Z,1,0,9,90,0,0,1,0,0,0,0,0,0,0,0,25,19.0,1.9,35.0,5.6,54,6124,237839,25507,19383
298,96,16,1,False,2020-11-29T14:00:00Z,2,3,10,90,0,0,0,2,0,0,0,0,0,0,0,10,11.8,0.7,18.0,3.1,54,9835,248818,16761,6926
298,108,19,2,False,2020-12-05T17:30:00Z,1,3,11,90,0,0,0,1,0,0,0,0,0,0,0,15,27.2,0.8,7.0,3.5,54,3117,254510,14329,11212
298,115,12,5,True,2020-12-12T17:30:00Z,0,0,12,90,0,0,1,0,0,0,0,1,0,0,0,21,24.6,0.6,4.0,2.9,54,-11663,243088,4626,16289
298,124,15,1,False,2020-12-17T20:00:00Z,2,3,13,90,0,0,0,2,0,0,0,0,0,0,0,17,17.6,1.0,0.0,1.9,54,17158,267152,22491,5333
298,134,10,1,True,2020-12-20T16:30:00Z,6,2,14,90,0,0,0,2,0,0,0,0,0,0,0,12,23.6,1.1,41.0,6.6,54,-4541,259731,7890,12431
298,143,9,1,False,2020-12-26T12:30:00Z,2,2,15,90,0,0,0,2,0,0,0,0,0,0,0,10,8.8,0.4,4.0,1.3,54,-4876,257206,12309,17185
298,154,20,7,True,2020-12-29T20:00:00Z,1,0,16,90,0,0,1,0,0,0,0,0,0,0,1,28,25.4,1.0,2.0,2.8,54,4605,263878,14821,10216
298,164,2,1,True,2021-01-01T20:00:00Z,2,1,17,90,0,0,0,1,0,0,0,1,0,0,0,15,16.6,0.5,17.0,3.4,54,29831,296370,39273,9442
298,379,4,6,False,2021-01-12T20:15:00Z,0,1,18,90,0,0,1,0,0,0,0,0,0,0,0,24,16.2,1.1,2.0,1.9,54,33459,412199,60254,26795
298,184,11,7,False,2021-01-17T16:30:00Z,0,0,19,90,0,0,1,0,0,0,0,0,0,0,1,29,44.0,0.3,0.0,4.4,54,4060,338143,22028,17968
298,171,8,2,False,2021-01-20T20:15:00Z,1,2,19,90,0,0,0,1,0,0,0,0,0,0,0,15,19.0,13.8,10.0,4.3,54,4060,338143,22028,17968
298,192,15,8,True,2021-01-27T20:15:00Z,1,2,20,90,1,0,0,2,0,0,0,0,0,0,1,24,50.4,2.6,23.0,7.6,54,38441,382285,53348,14907
298,199,1,5,False,2021-01-30T17:30:00Z,0,0,21,90,0,0,1,0,0,0,0,1,0,0,0,21,22.6,2.3,19.0,4.4,54,1704,384746,20177,18473
298,213,16,5,True,2021-02-02T20:15:00Z,9,0,22,90,0,0,1,0,0,0,0,1,0,0,0,21,10.0,8.3,2.0,2.0,55,39224,427992,47167,7943
