element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
235,5,18,3,False,2020-09-13T13:00:00Z,0,3,1,90,0,0,1,0,0,0,0,0,0,0,0,8,18.0,18.3,66.0,10.2,70,0,251556,0,0
235,14,4,13,True,2020-09-20T18:00:00Z,4,2,2,90,1,1,0,2,0,0,0,0,0,0,3,35,57.4,26.8,99.0,18.3,70,-25796,237923,22609,48405
235,24,12,2,False,2020-09-27T15:30:00Z,2,5,3,90,0,0,0,2,0,0,0,0,0,0,0,5,8.2,2.2,18.0,2.8,70,3993,252528,58692,54699
235,34,19,2,True,2020-10-04T11:00:00Z,0,3,4,90,0,0,0,3,0,0,0,0,0,0,0,6,1.6,4.9,12.0,1.9,71,242823,522260,282418,39595
235,43,2,2,True,2020-10-18T18:15:00Z,0,1,5,90,0,0,0,1,0,0,0,0,0,0,0,8,7.2,2.9,26.0,3.6,71,-64924,450483,49452,114376
235,49,1,3,False,2020-10-25T19:15:00Z,0,1,6,74,0,0,1,0,0,0,0,0,0,0,0,4,0.4,1.2,2.0,0.4,70,-93404,357564,9915,103319
235,62,10,8,False,2020-11-02T20:00:00Z,1,4,7,70,1,0,0,1,0,0,0,0,0,0,1,22,41.8,1.4,37.0,8.0,70,-45380,317052,11172,56552
235,74,20,1,True,2020-11-08T14:00:00Z,1,0,8,18,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.8,18.0,1.8,69,-3429,318030,28282,31711
235,83,11,2,False,2020-11-22T19:15:00Z,3,0,9,61,0,0,0,2,0,0,0,0,0,0,0,1,9.2,11.0,54.0,7.4,69,-39257,277153,14813,54070
235,94,8,6,True,2020-11-30T17:30:00Z,1,2,10,45,1,0,0,0,0,0,0,0,0,0,0,18,35.0,12.6,19.0,6.7,69,32583,318251,54466,21883
235,105,15,0,False,2020-12-06T14:15:00Z,1,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,69,-907,317335,28082,28989
235,114,3,1,True,2020-12-13T19:15:00Z,3,0,12,28,0,0,0,0,0,0,0,0,0,0,0,3,9.4,11.1,6.0,2.7,69,-37959,277216,14009,51968
235,123,7,2,True,2020-12-16T18:00:00Z,0,2,13,90,0,0,0,2,0,0,0,0,0,0,0,5,6.2,3.0,6.0,1.5,68,-35354,241949,7066,42420
235,137,17,3,False,2020-12-20T14:15:00Z,0,2,14,83,0,0,1,0,0,0,0,0,0,0,0,7,12.8,23.7,34.0,7.1,68,-26143,216861,3335,29478
235,143,13,7,True,2020-12-26T12:30:00Z,2,2,15,90,1,0,0,2,0,0,0,0,0,0,0,21,38.2,8.6,17.0,6.4,67,-15139,202221,5138,20277
235,152,6,8,False,2020-12-28T15:00:00Z,1,1,16,90,1,0,0,1,0,0,0,0,0,0,1,22,32.2,4.6,34.0,7.1,67,32433,238068,38694,6261
235,165,14,2,False,2021-01-03T14:15:00Z,1,2,17,90,0,0,0,1,0,0,0,0,0,0,0,0,6.4,3.8,33.0,4.3,67,97870,339816,113702,15832
235,183,16,9,True,2021-01-16T20:00:00Z,2,0,19,90,1,0,1,0,0,0,0,0,0,0,1,25,45.4,27.2,82.0,15.5,68,30844,351686,60050,29206
235,173,5,6,True,2021-01-19T20:15:00Z,2,0,19,90,0,1,1,0,0,0,0,0,0,0,0,16,24.0,24.3,4.0,5.2,68,30844,351686,60050,29206
235,191,7,6,False,2021-01-27T20:15:00Z,1,1,20,90,0,1,0,1,0,0,0,0,0,0,1,19,37.6,53.9,43.0,13.5,68,96875,444600,132322,35447
235,204,10,8,True,2021-01-31T14:00:00Z,1,3,21,90,1,0,0,3,0,0,0,0,0,0,1,25,41.0,23.9,31.0,9.6,68,88170,534595,113984,25814
235,211,8,3,False,2021-02-03T18:00:00Z,0,2,22,75,0,0,1,0,0,0,0,0,0,0,0,4,1.6,10.9,39.0,5.2,69,134182,673608,148776,14594
235,228,20,3,False,2021-02-07T14:00:00Z,0,0,23,90,0,0,1,0,0,0,0,0,0,0,0,8,2.0,6.1,38.0,4.6,69,-18257,656477,45490,63747
235,234,11,12,True,2021-02-13T12:30:00Z,3,1,24,90,1,1,0,1,0,0,0,0,0,0,2,36,52.2,26.8,34.0,11.3,69,-102614,550367,30568,133182
235,240,2,13,False,2021-02-21T14:05:00Z,1,2,25,90,1,1,0,1,0,0,0,0,0,0,3,46,66.4,47.3,51.0,16.5,68,112614,679554,143772,31158
235,253,1,1,True,2021-02-28T12:00:00Z,1,3,26,50,0,0,0,2,0,0,0,0,0,0,0,2,2.2,1.7,7.0,1.1,69,1089298,1818990,1114343,25045
235,280,4,0,False,2021-03-03T18:00:00Z,1,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,69,1089298,1818990,1114343,25045
235,260,3,0,False,2021-03-06T20:00:00Z,1,2,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,69,-1091182,681418,22204,1113386
235,274,15,0,True,2021-03-14T14:00:00Z,5,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,68,-269610,417685,995,270605
