element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
271,18,20,0,False,2020-09-21T19:15:00Z,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,2066,38249,7304,5238
271,24,9,0,True,2020-09-27T15:30:00Z,2,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-14468,23822,1806,16274
271,33,10,0,False,2020-10-03T16:30:00Z,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-5634,19094,156,5790
271,44,1,1,True,2020-10-17T16:30:00Z,1,0,5,25,0,0,0,0,0,0,0,0,0,0,0,4,2.8,13.7,0.0,1.7,54,-3182,16192,143,3325
271,57,19,2,False,2020-10-24T11:30:00Z,1,1,6,90,0,0,0,1,0,0,0,0,0,0,0,9,9.6,20.7,10.0,4.0,54,824,17748,1877,1053
271,66,15,1,False,2020-10-31T12:30:00Z,0,1,7,5,0,0,0,0,0,0,0,0,0,0,0,3,0.2,0.8,0.0,0.1,54,1955,20454,3314,1359
271,75,11,2,True,2020-11-08T16:30:00Z,1,1,8,90,0,0,0,1,0,0,0,0,0,0,0,13,21.2,15.6,2.0,3.9,54,-857,19857,1547,2404
271,87,17,0,False,2020-11-21T17:30:00Z,2,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-92,20372,1773,1865
271,95,4,3,True,2020-11-28T15:00:00Z,5,0,10,90,0,0,1,0,0,0,0,0,0,0,0,17,14.6,27.8,1.0,4.3,54,-499,20177,1174,1673
271,104,8,3,True,2020-12-05T15:00:00Z,2,0,11,90,0,0,1,0,0,0,0,0,0,0,0,16,14.2,8.8,4.0,2.7,54,350,20865,1829,1479
271,115,13,0,False,2020-12-12T17:30:00Z,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-1117,19869,833,1950
271,128,18,10,True,2020-12-15T20:00:00Z,1,1,13,90,1,0,0,1,0,0,0,0,0,0,3,36,54.4,58.3,69.0,18.2,54,-214,19835,926,1140
271,136,16,3,False,2020-12-19T15:00:00Z,0,1,14,90,0,0,1,0,0,0,0,0,0,0,0,12,13.6,19.7,17.0,5.0,54,4633,25035,5484,851
271,145,14,11,True,2020-12-26T20:00:00Z,2,0,15,90,1,0,1,0,0,0,0,0,0,0,3,35,43.2,28.1,17.0,8.8,54,3693,29468,6140,2447
271,161,5,9,False,2021-01-03T16:30:00Z,1,3,17,74,1,0,1,0,0,0,0,0,0,0,1,27,44.4,15.5,41.0,10.1,54,-1276,31194,3346,4622
271,178,3,3,True,2021-01-13T18:00:00Z,1,0,18,90,0,0,1,0,0,0,0,0,0,0,0,15,11.8,17.3,31.0,6.0,54,145778,350015,165153,19375
271,185,6,8,True,2021-01-17T19:15:00Z,4,0,19,70,1,0,1,0,0,0,0,0,0,0,0,32,36.2,27.7,22.0,8.6,55,64588,243089,92375,27787
271,380,2,10,True,2021-01-20T18:00:00Z,2,0,19,90,1,0,1,0,0,0,0,0,0,0,2,31,42.2,30.3,84.0,15.7,55,64588,243089,92375,27787
271,193,18,14,False,2021-01-26T20:15:00Z,0,5,20,51,2,0,0,0,0,0,0,0,0,0,3,53,75.6,18.6,26.0,12.0,56,505683,762066,535207,29524
271,205,15,3,True,2021-01-30T15:00:00Z,1,0,21,90,0,0,1,0,0,0,0,0,0,0,0,17,11.8,50.8,6.0,6.9,58,674097,1445880,687138,13041
271,210,4,8,False,2021-02-03T18:00:00Z,0,2,22,90,0,1,1,0,0,0,0,0,0,0,2,35,33.4,64.3,7.0,10.5,58,67503,1510992,129607,62104
271,223,11,13,False,2021-02-07T16:30:00Z,1,4,23,90,2,0,0,1,0,0,1,0,0,0,3,45,72.2,8.5,72.0,15.3,59,63017,1580412,138533,75516
271,235,17,19,True,2021-02-13T17:30:00Z,3,0,24,68,2,1,1,0,0,0,0,0,0,0,3,53,69.4,18.8,76.0,16.4,60,788107,2421379,806253,18146
271,153,7,0,False,2021-02-17T20:15:00Z,1,3,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,788107,2421379,806253,18146
271,239,1,3,False,2021-02-21T16:30:00Z,0,1,25,90,0,0,1,0,0,0,0,0,0,0,0,9,5.8,6.7,41.0,5.4,61,120613,2511151,365022,244409
271,254,19,2,True,2021-02-27T12:30:00Z,2,1,26,88,0,0,0,1,0,0,0,0,0,0,0,13,2.0,6.8,2.0,1.1,62,442249,2989456,508625,66376
271,284,20,4,True,2021-03-02T20:00:00Z,4,1,26,8,0,1,0,0,0,0,0,0,0,0,0,12,3.2,1.5,11.0,1.6,62,442249,2989456,508625,66376
271,264,13,2,True,2021-03-07T16:30:00Z,0,2,27,90,0,0,0,2,0,0,0,0,0,0,0,17,18.8,46.9,37.0,10.3,62,133344,3113365,253772,120428
271,325,16,8,True,2021-03-10T18:00:00Z,5,2,27,90,1,0,0,2,0,0,0,0,0,0,1,43,56.0,36.8,33.0,12.6,62,133344,3113365,253772,120428
271,272,8,0,False,2021-03-13T20:00:00Z,0,3,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,62,51783,3174182,152452,100669
