element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
187,2,1,2,True,2020-09-12T11:30:00Z,0,3,1,90,0,0,0,3,0,0,0,0,0,0,0,10,7.4,26.4,0.0,3.4,55,0,7285,0,0
187,13,10,2,False,2020-09-19T14:00:00Z,4,3,2,90,0,0,0,4,0,0,0,0,0,0,0,11,10.8,29.3,0.0,4.0,55,-711,9992,821,1532
187,22,2,2,True,2020-09-28T16:45:00Z,0,3,3,90,0,0,0,3,0,0,0,0,0,0,0,3,11.4,23.0,41.0,7.5,55,-1109,9411,870,1979
187,38,20,2,False,2020-10-04T13:00:00Z,1,0,4,66,0,0,0,1,0,0,0,0,0,0,0,5,0.0,2.5,2.0,0.4,55,-906,8782,493,1399
187,46,15,1,False,2020-10-18T11:00:00Z,1,1,5,90,0,0,0,1,0,0,0,1,0,0,0,10,8.2,40.8,2.0,5.1,54,-1002,7981,295,1297
187,53,6,0,True,2020-10-24T14:00:00Z,1,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-506,7575,171,677
187,61,18,1,True,2020-11-02T17:30:00Z,2,0,7,5,0,0,0,0,0,0,0,0,0,0,0,1,0.2,0.5,0.0,0.1,54,-589,7045,88,677
187,78,19,1,False,2020-11-07T20:00:00Z,1,0,8,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,8.0,0.8,53,-428,6653,49,477
187,81,7,0,True,2020-11-22T12:00:00Z,2,3,9,90,0,0,0,3,0,0,1,0,0,0,0,1,11.4,15.7,40.0,6.7,53,-372,6344,47,419
187,94,9,10,False,2020-11-30T17:30:00Z,1,2,10,86,1,0,0,1,0,0,0,0,0,0,3,23,36.0,13.4,38.0,8.7,53,-198,6176,48,246
187,104,12,2,False,2020-12-05T15:00:00Z,2,0,11,90,0,0,0,2,0,0,0,0,0,0,0,8,15.8,4.3,18.0,3.8,53,546,6852,830,284
187,112,11,2,True,2020-12-13T16:30:00Z,1,1,12,90,0,0,0,1,0,0,0,0,0,0,0,-4,13.6,16.3,85.0,11.5,53,59,6922,418,359
187,121,3,3,True,2020-12-16T20:00:00Z,0,0,13,90,0,0,1,0,0,0,0,0,0,0,0,4,8.4,30.8,27.0,6.6,53,6103,13315,6474,371
187,135,14,0,False,2020-12-19T20:00:00Z,1,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,2278,15553,3384,1106
187,141,16,3,True,2020-12-26T15:00:00Z,0,0,15,90,0,0,1,0,0,0,0,0,0,0,0,-3,5.8,12.1,6.0,2.4,53,-3625,11815,228,3853
187,157,17,8,False,2021-01-13T20:15:00Z,1,1,18,85,1,0,0,1,0,0,0,0,0,0,1,26,36.0,18.3,18.0,7.2,53,-574,8547,696,1270
187,181,5,2,True,2021-01-16T17:30:00Z,0,1,19,78,0,0,0,1,0,0,0,0,0,0,0,4,2.0,27.5,32.0,6.2,53,3039,13759,4766,1727
187,171,13,2,True,2021-01-20T20:15:00Z,1,2,19,70,0,0,0,2,0,0,0,0,0,0,0,1,6.6,21.3,4.0,3.2,53,3039,13759,4766,1727
187,189,3,3,False,2021-01-27T19:30:00Z,0,0,20,78,0,0,1,0,0,0,0,0,0,0,0,4,5.0,12.7,36.0,5.4,53,-209,12929,1987,2196
187,207,18,6,False,2021-01-30T15:00:00Z,2,2,21,18,1,0,0,0,0,0,0,0,0,0,0,20,33.4,2.3,27.0,6.3,53,-854,12127,1108,1962
187,211,9,0,True,2021-02-03T18:00:00Z,0,2,22,45,0,0,0,0,0,0,0,1,0,0,0,-1,0.0,1.8,1.0,0.2,53,-546,11665,953,1499
187,221,19,3,True,2021-02-06T17:30:00Z,0,0,23,90,0,0,1,0,0,0,0,0,0,0,0,10,8.0,27.5,35.0,7.1,53,-1012,10670,659,1671
187,233,7,1,False,2021-02-14T19:00:00Z,0,2,24,17,0,0,0,0,0,0,0,0,0,0,0,7,6.2,0.5,0.0,0.7,53,4461,17800,6346,1885
187,160,4,1,False,2021-02-17T18:00:00Z,1,1,24,23,0,0,0,0,0,0,0,0,0,0,0,8,8.6,25.3,0.0,3.4,53,4461,17800,6346,1885
