element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
37,10,15,3,True,2020-09-21T17:00:00Z,1,0,2,90,0,0,1,0,0,0,0,0,0,0,0,10,7.0,40.6,49.0,9.7,70,491,688315,66945,66454
37,22,8,8,False,2020-09-28T16:45:00Z,0,3,3,90,1,0,1,0,0,0,0,0,0,0,0,29,45.4,25.0,61.0,13.1,70,-48718,658262,44657,93375
37,30,11,24,True,2020-10-04T18:15:00Z,7,2,4,90,2,3,0,2,0,0,0,0,0,0,3,90,131.4,54.7,60.0,24.6,70,-8464,665271,49799,58263
37,43,9,3,False,2020-10-18T18:15:00Z,0,1,5,90,0,0,1,0,0,0,0,0,0,0,0,15,14.6,49.8,20.0,8.4,71,706988,1483728,774107,67119
37,50,10,1,True,2020-10-23T19:00:00Z,0,3,6,90,0,0,0,3,0,0,0,1,0,0,0,-5,8.4,16.9,47.0,7.2,72,536103,2033015,596944,60841
37,59,16,15,True,2020-11-01T12:00:00Z,3,4,7,90,1,2,0,4,0,0,0,0,0,0,2,44,63.6,36.8,116.0,21.6,73,73559,2100641,217546,143987
37,69,1,6,False,2020-11-08T19:15:00Z,0,3,8,90,0,1,1,0,0,0,0,0,0,0,0,25,24.6,25.8,87.0,13.7,74,248595,2374506,322493,73898
37,79,3,1,True,2020-11-21T15:00:00Z,1,2,9,90,0,0,0,2,0,0,0,1,0,0,0,12,10.2,33.7,18.0,6.2,76,603650,3065896,641362,37712
37,98,19,10,False,2020-11-30T20:00:00Z,2,1,10,90,1,0,0,2,0,0,0,0,0,0,3,40,58.8,66.4,40.0,16.5,76,115360,3137111,231483,116123
37,118,20,2,False,2020-12-12T12:30:00Z,0,1,12,90,0,0,1,0,0,0,0,1,0,0,0,4,3.2,38.7,69.0,11.1,77,279319,3131985,368428,89109
37,120,4,3,True,2020-12-17T18:00:00Z,0,0,13,90,0,0,1,0,0,0,0,0,0,0,0,17,16.6,69.8,52.0,13.8,78,178774,3321262,257181,78407
37,138,18,10,False,2020-12-20T19:15:00Z,0,3,14,90,0,2,1,0,0,0,0,0,0,0,1,40,43.2,92.2,37.0,17.2,78,28505,3353449,139033,110528
37,140,6,2,True,2020-12-26T15:00:00Z,3,0,15,90,0,0,1,0,0,0,0,1,0,0,0,15,28.4,67.3,39.0,13.5,78,-109,3369640,159602,159711
37,151,5,2,False,2020-12-28T17:30:00Z,1,1,16,90,0,0,0,1,0,0,0,0,0,0,0,5,11.2,25.1,23.0,5.9,78,-185648,3185851,66733,252381
37,164,13,7,False,2021-01-01T20:00:00Z,2,1,17,90,0,1,0,2,0,0,0,0,0,0,2,33,36.2,57.8,6.0,10.0,77,-206891,2990913,74763,281654
37,380,12,2,False,2021-01-20T18:00:00Z,2,0,19,90,0,0,0,2,0,0,0,0,0,0,0,15,14.2,34.3,4.0,5.3,77,-43343,2778647,132773,176116
37,99,14,6,True,2021-01-23T20:00:00Z,2,0,19,87,0,1,1,0,0,0,0,0,0,0,0,22,24.4,44.7,24.0,9.3,77,-43343,2778647,132773,176116
37,190,4,8,False,2021-01-27T18:00:00Z,3,2,20,90,1,0,0,3,0,0,0,0,0,0,1,29,56.2,57.8,59.0,17.3,77,145310,2959349,274343,129033
37,206,16,6,False,2021-01-30T20:00:00Z,0,1,21,90,0,1,1,0,0,0,0,0,0,0,0,17,27.4,18.3,8.0,5.4,77,24148,2988917,124676,100528
37,209,19,6,True,2021-02-03T20:15:00Z,1,3,22,90,0,1,0,3,0,0,0,0,0,0,1,25,25.4,49.3,19.0,9.4,78,170073,3171088,210952,40879
