element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
203,3,11,7,False,2020-09-12T16:30:00Z,4,3,1,90,1,0,0,4,0,0,0,0,0,0,0,23,43.6,6.5,19.0,6.9,55,0,30491,0,0
203,13,8,2,True,2020-09-19T14:00:00Z,4,3,2,90,0,0,0,3,0,0,0,0,0,0,0,1,0.8,2.0,12.0,1.5,55,158460,250466,195124,36664
203,25,15,7,False,2020-09-27T11:00:00Z,0,1,3,90,0,1,1,0,0,0,0,0,0,0,1,28,39.8,66.3,10.0,11.6,55,-41319,200484,23277,64596
203,33,12,0,True,2020-10-03T16:30:00Z,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-51914,150431,6769,58683
203,42,20,2,True,2020-10-19T19:00:00Z,0,1,5,81,0,0,0,1,0,0,0,0,0,0,0,11,15.8,42.7,28.0,8.7,55,-8192,149273,15972,24164
203,50,2,3,False,2020-10-23T19:00:00Z,0,3,6,90,0,0,1,0,0,0,0,0,0,0,0,14,19.0,54.8,35.0,10.9,55,-11623,138776,5916,17539
203,62,9,6,True,2020-11-02T20:00:00Z,1,4,7,90,0,1,0,4,0,0,0,0,0,0,1,22,29.8,48.8,8.0,8.7,55,-3120,137689,9892,13012
203,72,6,2,False,2020-11-07T15:00:00Z,4,1,8,90,0,0,0,4,0,0,0,0,0,0,0,8,12.2,21.2,9.0,4.2,55,-4770,133600,7284,12054
203,82,1,3,True,2020-11-22T16:30:00Z,0,0,9,79,0,0,1,0,0,0,0,0,0,0,0,14,10.8,38.3,9.0,5.8,55,-13664,119807,4430,18094
203,93,7,6,False,2020-11-28T17:30:00Z,0,1,10,88,0,1,1,0,0,0,0,0,0,0,0,6,21.4,26.7,44.0,9.2,55,-5299,116174,5003,10302
203,102,5,1,False,2020-12-05T20:00:00Z,3,1,11,56,0,0,0,1,0,0,0,0,0,0,0,2,6.0,1.8,4.0,1.2,55,-14459,100575,2375,16834
203,113,19,1,True,2020-12-11T20:00:00Z,1,2,12,45,0,0,0,1,0,0,0,0,0,0,0,2,6.2,15.4,0.0,2.2,54,2198,105513,9034,6836
203,122,14,12,True,2020-12-16T18:00:00Z,5,2,13,90,1,1,0,2,0,0,0,0,0,0,2,40,63.2,52.8,17.0,13.3,54,-4960,100483,3750,8710
203,134,13,2,False,2020-12-20T16:30:00Z,6,2,14,90,0,0,0,6,0,0,0,0,0,0,0,9,14.8,36.7,26.0,7.8,54,29893,132168,33817,3924
203,142,4,3,True,2020-12-27T12:00:00Z,1,0,15,90,0,0,1,0,0,0,0,0,0,0,0,10,10.6,14.3,20.0,4.5,54,34990,169781,45035,10045
203,158,18,8,False,2020-12-29T18:00:00Z,0,5,16,90,1,0,1,0,0,0,0,0,0,0,0,30,40.6,28.0,29.0,9.8,54,9717,179323,20756,11039
203,167,17,2,False,2021-01-02T12:30:00Z,3,0,17,60,0,0,0,3,0,0,0,0,0,0,0,6,5.6,11.5,5.0,2.2,54,41188,222209,59086,17898
203,182,3,2,True,2021-01-16T15:00:00Z,0,1,19,90,0,0,0,1,0,0,0,0,0,0,0,11,11.0,11.5,20.0,4.3,54,-12860,190489,22107,34967
203,196,14,7,False,2021-01-26T18:00:00Z,1,2,20,90,1,0,0,1,0,0,0,1,0,0,1,21,38.4,1.7,23.0,6.3,54,-16235,178008,12532,28767
203,204,9,9,False,2021-01-31T14:00:00Z,1,3,21,90,1,0,0,1,0,0,0,0,0,0,2,28,46.8,10.5,34.0,9.1,54,-19139,159231,3456,22595
203,212,7,1,True,2021-02-03T19:30:00Z,1,2,22,86,0,0,0,2,0,0,0,1,0,0,0,3,10.6,17.8,19.0,4.7,54,18137,179388,25548,7411
203,222,6,9,True,2021-02-08T20:00:00Z,2,0,23,90,1,0,1,0,0,0,0,0,0,0,1,32,38.2,13.5,25.0,7.7,54,-3869,175980,12237,16106
203,229,1,1,False,2021-02-14T16:30:00Z,4,2,24,45,0,0,0,3,0,0,0,0,0,0,0,6,7.2,15.4,19.0,4.2,54,7227,184143,24887,17660
