element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
367,1,6,2,False,2020-09-12T14:00:00Z,1,0,1,90,0,0,0,1,0,0,0,0,0,0,0,12,18.4,1.1,17.0,3.7,50,0,30741,0,0
367,17,17,-1,True,2020-09-20T11:00:00Z,2,5,2,90,0,0,0,5,0,0,0,1,0,0,0,11,10.4,0.8,0.0,1.1,50,-4501,29644,580,5081
367,20,4,0,False,2020-09-26T19:00:00Z,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-4710,25717,699,5409
367,37,18,0,True,2020-10-04T11:00:00Z,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-3652,22588,465,4117
367,39,5,0,False,2020-10-17T14:00:00Z,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-3282,19663,227,3509
367,56,7,0,True,2020-10-25T14:00:00Z,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-2053,17934,174,2227
367,59,2,0,False,2020-11-01T12:00:00Z,3,4,7,45,0,0,0,3,0,0,0,0,0,0,0,10,11.6,0.1,0.0,1.2,48,-1415,16722,254,1669
367,76,14,7,True,2020-11-06T20:00:00Z,2,0,8,90,0,0,1,0,0,0,0,0,0,0,1,29,13.0,24.8,4.0,4.2,48,-919,15979,432,1351
367,88,20,0,False,2020-11-23T20:00:00Z,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,350,16754,1195,845
367,96,13,0,True,2020-11-29T14:00:00Z,2,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-590,16230,353,943
367,100,3,0,False,2020-12-07T20:00:00Z,1,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,47,-720,15655,362,1082
367,117,15,0,True,2020-12-13T12:00:00Z,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,47,-664,15119,168,832
367,119,1,0,False,2020-12-16T18:00:00Z,1,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,47,-628,14561,113,741
367,136,12,0,True,2020-12-19T15:00:00Z,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,47,-502,14136,103,605
367,141,8,6,False,2020-12-26T15:00:00Z,0,0,15,90,0,0,1,0,0,0,0,0,0,0,0,22,20.2,0.4,4.0,2.5,46,-380,13907,326,706
367,156,19,9,True,2020-12-29T18:00:00Z,0,0,16,90,0,0,1,0,0,0,0,0,0,0,3,30,36.0,11.8,0.0,4.8,46,1296,15388,1622,326
367,166,11,8,True,2021-01-04T20:00:00Z,1,0,17,90,0,0,1,0,0,0,0,0,0,0,2,34,45.6,10.0,0.0,5.6,46,1192,16675,2000,808
367,183,9,1,False,2021-01-16T20:00:00Z,2,0,19,90,0,0,0,2,0,0,0,0,0,0,0,14,20.4,0.3,2.0,2.3,46,2842,22026,4851,2009
367,197,1,1,True,2021-01-26T20:15:00Z,1,3,20,90,0,0,0,3,0,0,0,0,0,0,0,18,21.0,1.0,0.0,2.2,46,5317,27908,8428,3111
367,206,2,2,True,2021-01-30T20:00:00Z,0,1,21,90,0,0,0,1,0,0,0,0,0,0,0,13,12.2,0.8,20.0,3.3,46,-318,27494,1929,2247
367,213,13,-3,False,2021-02-02T20:15:00Z,9,0,22,90,0,0,0,9,0,0,0,1,0,0,0,9,27.4,0.0,0.0,2.7,46,-988,26579,612,1600
367,225,14,1,False,2021-02-06T15:00:00Z,3,2,23,80,0,0,0,3,0,0,0,0,0,0,0,13,11.6,2.6,0.0,1.4,46,-1645,25050,666,2311
367,236,20,0,True,2021-02-14T12:00:00Z,1,2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,46,-1759,23241,314,2073
