element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
144,1,16,0,True,2020-09-12T14:00:00Z,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,11161,0,0
144,15,13,0,False,2020-09-19T16:30:00Z,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-1651,10593,460,2111
144,21,7,1,True,2020-09-26T14:00:00Z,1,2,3,2,0,0,0,0,0,0,0,0,0,0,0,3,0.4,0.3,0.0,0.1,45,-2167,8455,134,2301
144,31,5,1,False,2020-10-03T11:30:00Z,4,0,4,18,0,0,0,2,0,0,0,0,0,0,0,3,1.0,0.4,0.0,0.1,44,13795,29526,19836,6041
144,40,3,2,True,2020-10-18T13:00:00Z,1,1,5,90,0,0,0,1,0,0,0,0,0,0,0,11,18.0,1.5,0.0,2.0,44,1016,28843,6933,5917
144,53,8,9,False,2020-10-24T14:00:00Z,1,2,6,84,1,0,1,0,0,0,0,0,0,0,1,28,43.4,13.3,17.0,7.4,44,10553,42013,15784,5231
144,68,20,2,False,2020-10-30T20:00:00Z,2,0,7,90,0,0,0,2,0,0,0,0,0,0,0,14,23.2,14.4,0.0,3.8,44,23823,68799,29712,5889
144,72,10,2,True,2020-11-07T15:00:00Z,4,1,8,76,0,0,0,1,0,0,0,0,0,0,0,6,9.6,1.2,0.0,1.1,44,27934,99909,37641,9707
144,80,4,2,False,2020-11-23T17:30:00Z,1,0,9,66,0,0,0,1,0,0,0,0,0,0,0,9,10.6,32.3,20.0,6.3,44,34371,137402,51052,16681
144,92,14,1,True,2020-11-27T20:00:00Z,0,2,10,23,0,0,0,2,0,0,0,0,0,0,0,3,5.0,0.8,0.0,0.6,44,17365,153857,27940,10575
144,107,18,1,False,2020-12-06T12:00:00Z,1,5,11,17,0,0,0,0,0,0,0,0,0,0,0,2,0.4,0.8,0.0,0.1,44,-4914,147304,12712,17626
144,110,17,1,True,2020-12-13T14:15:00Z,1,1,12,17,0,0,0,0,0,0,0,0,0,0,0,3,1.2,0.0,0.0,0.1,44,-2567,144871,9175,11742
144,125,19,0,False,2020-12-16T20:00:00Z,1,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-2260,142742,6763,9023
144,132,11,1,True,2020-12-19T12:30:00Z,0,7,14,15,0,0,0,2,0,0,0,0,0,0,0,3,0.2,0.1,0.0,0.0,44,-6496,136709,4728,11224
144,140,2,1,False,2020-12-26T15:00:00Z,3,0,15,21,0,0,0,1,0,0,0,0,0,0,0,3,1.0,11.0,6.0,1.8,44,-347,137121,9917,10264
144,152,9,3,True,2020-12-28T15:00:00Z,1,1,16,73,0,0,1,0,0,0,0,0,0,0,0,12,11.2,0.4,0.0,1.2,44,-4660,132509,3411,8071
144,162,15,1,True,2021-01-02T15:00:00Z,2,0,17,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,44,-3965,129013,7086,11051
144,169,1,0,False,2021-01-14T20:00:00Z,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-10363,114247,7104,17467
144,185,12,1,False,2021-01-17T19:15:00Z,4,0,19,22,0,0,0,1,0,0,0,0,0,0,0,4,2.2,0.0,0.0,0.2,44,-13179,103942,2012,15191
144,195,19,1,True,2021-01-26T18:00:00Z,2,3,20,17,0,0,0,0,0,0,0,0,0,0,0,4,4.4,1.8,0.0,0.6,44,-11512,95593,1513,13025
144,202,20,1,True,2021-01-30T15:00:00Z,1,0,21,45,0,0,0,0,0,0,0,0,0,0,0,6,4.8,1.3,0.0,0.6,44,-13229,82416,423,13652
144,217,14,10,False,2021-02-02T20:15:00Z,1,2,22,90,1,0,0,1,0,0,0,0,0,0,3,35,43.2,13.5,9.0,6.6,44,-7237,75344,126,7363
