element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
328,6,19,6,False,2020-09-12T19:00:00Z,0,2,1,90,0,0,1,0,0,0,0,0,0,0,0,21,21.8,0.3,0.0,2.2,45,0,219489,0,0
328,16,3,0,True,2020-09-20T13:00:00Z,0,3,2,90,0,0,0,3,0,0,0,1,0,0,0,6,8.0,0.7,4.0,1.3,45,19303,265866,40930,21627
328,26,17,2,False,2020-09-27T13:00:00Z,1,1,3,90,0,0,0,1,0,0,0,0,0,0,0,13,15.8,0.5,0.0,1.6,45,-33644,231900,13383,47027
328,36,4,0,True,2020-10-03T19:00:00Z,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-23380,211899,7636,31016
328,45,13,0,True,2020-10-17T19:00:00Z,1,4,5,90,0,0,0,4,0,0,0,0,0,0,0,15,25.8,0.1,0.0,2.6,45,-42925,167928,934,43859
328,58,20,2,False,2020-10-25T16:30:00Z,1,1,6,87,0,0,0,1,0,0,0,0,0,0,0,12,15.6,0.3,0.0,1.6,44,-11979,159220,3817,15796
328,65,7,2,True,2020-11-01T14:00:00Z,2,1,7,90,0,0,0,1,0,0,0,0,0,0,0,15,13.8,0.0,18.0,3.2,44,-10660,149306,2334,12994
328,76,16,1,False,2020-11-06T20:00:00Z,2,0,8,90,0,0,0,2,0,0,0,0,0,0,0,14,16.4,0.2,4.0,2.1,44,-6813,142965,2677,9490
328,85,5,1,True,2020-11-21T12:30:00Z,0,2,9,45,0,0,0,1,0,0,0,0,0,0,0,6,9.0,0.1,0.0,0.9,44,-9134,133568,2248,11382
328,92,6,0,False,2020-11-27T20:00:00Z,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-12205,121597,257,12462
328,116,18,0,True,2020-12-12T15:00:00Z,2,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-6639,99764,492,7131
328,122,10,0,False,2020-12-16T18:00:00Z,5,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-6086,93761,262,6348
328,135,8,0,True,2020-12-19T20:00:00Z,1,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-8840,85074,97,8937
328,145,12,0,False,2020-12-26T20:00:00Z,2,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-10122,74767,159,10281
328,155,11,0,True,2020-12-30T20:00:00Z,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-5134,69913,71,5205
328,165,9,0,True,2021-01-03T14:15:00Z,1,2,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,42,-4616,65390,314,4930
328,174,15,0,False,2021-01-12T18:00:00Z,1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,42,1601,82204,5736,4135
328,179,1,1,False,2021-01-18T20:00:00Z,3,0,19,90,0,0,0,3,0,0,0,0,0,0,0,5,10.0,0.2,17.0,2.7,42,-222,67358,3350,3572
328,99,2,0,False,2021-01-23T20:00:00Z,2,0,19,90,0,0,0,2,0,0,0,1,0,0,0,4,14.4,0.1,18.0,3.3,42,-222,67358,3350,3572
328,196,10,1,True,2021-01-26T18:00:00Z,1,2,20,90,0,0,0,2,0,0,0,0,0,0,0,8,22.8,21.1,30.0,7.4,42,-553,66683,2504,3057
328,203,7,0,False,2021-01-30T12:30:00Z,0,2,21,53,0,0,0,0,0,0,0,1,0,0,0,1,8.2,0.3,0.0,0.9,42,-1159,65557,1147,2306
328,217,6,0,True,2021-02-02T20:15:00Z,1,2,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,42,-4774,60746,98,4872
328,225,16,0,True,2021-02-06T15:00:00Z,3,2,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,42,-3337,57439,95,3432
328,231,5,1,False,2021-02-15T20:00:00Z,2,0,24,90,0,0,0,2,0,0,0,0,0,0,0,12,9.8,10.4,8.0,2.8,42,-2522,54809,91,2613
