element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
131,1,16,2,True,2020-09-12T14:00:00Z,1,0,1,73,0,0,1,0,0,0,0,1,0,0,0,5,0.0,8.8,0.0,0.9,45,0,144113,0,0
131,15,13,2,False,2020-09-19T16:30:00Z,1,3,2,87,0,0,0,1,0,0,0,0,0,0,0,11,19.4,1.3,0.0,2.1,45,2657,168330,25422,22765
131,21,7,2,True,2020-09-26T14:00:00Z,1,2,3,90,0,0,0,2,0,0,0,0,0,0,0,16,18.2,13.9,8.0,4.0,45,17622,196339,51329,33707
131,31,5,2,False,2020-10-03T11:30:00Z,4,0,4,66,0,0,0,2,0,0,0,0,0,0,0,12,9.8,0.6,0.0,1.0,45,-96,198262,21542,21638
131,40,3,0,True,2020-10-18T13:00:00Z,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-34262,161832,5889,40151
131,53,8,0,False,2020-10-24T14:00:00Z,1,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-31819,131542,471,32290
131,68,20,0,False,2020-10-30T20:00:00Z,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-16277,117155,203,16480
131,72,10,1,True,2020-11-07T15:00:00Z,4,1,8,13,0,0,0,0,0,0,0,0,0,0,0,3,4.8,0.4,0.0,0.5,45,-10900,106407,162,11062
131,80,4,0,False,2020-11-23T17:30:00Z,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-5823,100880,1584,7407
131,92,14,0,True,2020-11-27T20:00:00Z,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-2982,98765,1418,4400
131,107,18,0,False,2020-12-06T12:00:00Z,1,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-6097,92424,886,6983
131,110,17,0,True,2020-12-13T14:15:00Z,1,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-2782,90428,1409,4191
131,125,19,0,False,2020-12-16T20:00:00Z,1,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-1951,88689,1095,3046
131,132,11,0,True,2020-12-19T12:30:00Z,0,7,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-2418,86420,951,3369
131,140,2,0,False,2020-12-26T15:00:00Z,3,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-1727,85032,1977,3704
131,152,9,0,True,2020-12-28T15:00:00Z,1,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-2163,83006,739,2902
131,162,15,0,True,2021-01-02T15:00:00Z,2,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-3168,79989,703,3871
131,169,1,1,False,2021-01-14T20:00:00Z,0,0,18,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,43,-286,94689,5739,6025
131,185,12,2,False,2021-01-17T19:15:00Z,4,0,19,90,0,0,0,4,0,0,0,0,0,0,0,8,12.6,4.7,0.0,1.7,43,2907,86450,8166,5259
131,195,19,0,True,2021-01-26T18:00:00Z,2,3,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,841,85164,7177,6336
131,202,20,1,True,2021-01-30T15:00:00Z,1,0,21,45,0,0,0,0,0,0,0,0,0,0,0,11,3.0,3.1,0.0,0.6,43,-5126,79967,1226,6352
131,217,14,0,False,2021-02-02T20:15:00Z,1,2,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-5068,74920,184,5252
131,222,10,0,False,2021-02-08T20:00:00Z,2,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-4328,70619,57,4385
131,232,4,0,True,2021-02-13T15:00:00Z,0,3,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-3865,66667,337,4202
