element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
241,3,10,0,True,2020-09-12T16:30:00Z,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,0,12449,0,0
241,11,5,1,False,2020-09-20T15:30:00Z,0,2,2,26,0,0,0,0,0,0,0,0,0,0,0,9,3.4,6.5,4.0,1.4,55,-2488,12893,463,2951
241,23,1,1,True,2020-09-28T19:00:00Z,3,1,3,11,0,0,0,0,0,0,0,0,0,0,0,3,0.8,0.6,0.0,0.1,54,-2086,11446,458,2544
241,30,2,1,False,2020-10-04T18:15:00Z,7,2,4,22,0,0,0,1,0,0,0,0,0,0,0,6,11.6,15.1,2.0,2.9,54,-1318,10465,359,1677
241,41,7,0,False,2020-10-17T11:30:00Z,2,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-814,10186,374,1188
241,54,15,1,True,2020-10-24T19:00:00Z,2,1,6,7,0,0,0,0,0,0,0,0,0,0,0,3,1.2,0.1,0.0,0.1,53,-498,9926,300,798
241,63,19,1,True,2020-10-31T17:30:00Z,2,1,7,1,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,53,-347,9783,292,639
241,75,12,1,False,2020-11-08T16:30:00Z,1,1,8,27,0,0,0,0,0,0,0,0,0,0,0,6,6.4,0.8,0.0,0.7,53,-412,9482,168,580
241,83,9,11,True,2020-11-22T19:15:00Z,3,0,9,90,0,2,1,0,0,0,0,0,0,0,2,40,39.8,66.3,18.0,12.4,53,314,10186,891,577
241,90,3,3,False,2020-11-28T12:30:00Z,1,1,10,73,0,0,1,0,0,0,0,0,0,0,0,14,12.2,8.3,0.0,2.1,53,10371,22155,11685,1314
241,103,20,0,True,2020-12-06T19:15:00Z,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-6640,14048,603,7243
241,112,8,0,False,2020-12-13T16:30:00Z,1,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-3152,11349,39,3191
241,127,17,0,True,2020-12-16T20:00:00Z,2,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-1239,10160,21,1260
241,132,6,0,False,2020-12-19T12:30:00Z,0,7,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-763,9426,16,779
241,144,18,0,True,2020-12-27T16:30:00Z,1,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-592,8851,24,616
241,155,14,2,False,2020-12-30T20:00:00Z,0,0,16,72,0,0,1,0,0,0,0,1,0,0,0,12,11.6,7.3,15.0,3.4,53,-95,8805,78,173
241,166,16,1,False,2021-01-04T20:00:00Z,1,0,17,13,0,0,0,0,0,0,0,0,0,0,0,4,2.8,4.6,2.0,0.9,53,5,8887,191,186
241,184,13,1,True,2021-01-17T16:30:00Z,0,0,19,1,0,0,0,0,0,0,0,0,0,0,0,3,2.0,0.0,0.0,0.2,53,-19,8875,150,169
241,177,4,0,True,2021-01-21T20:00:00Z,0,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-19,8875,150,169
241,198,17,2,False,2021-01-28T20:00:00Z,1,3,20,90,0,0,0,1,0,0,0,0,0,0,0,22,21.2,49.2,4.0,7.4,53,-115,8833,130,245
241,208,19,1,False,2021-01-31T16:30:00Z,1,3,21,56,0,0,0,0,0,0,0,0,0,0,0,4,1.6,4.9,6.0,1.3,53,-54,8823,98,152
241,216,3,2,True,2021-02-03T20:15:00Z,0,1,22,90,0,0,0,1,0,0,0,0,0,0,0,11,12.8,8.1,10.0,3.1,53,11,8912,141,130
241,223,12,1,True,2021-02-07T16:30:00Z,1,4,23,22,0,0,0,3,0,0,0,0,0,0,0,4,3.6,1.3,2.0,0.7,53,-25,8988,139,164
241,234,9,1,False,2021-02-13T12:30:00Z,3,1,24,16,0,0,0,0,0,0,0,0,0,0,0,4,1.0,0.3,2.0,0.3,53,-49,9034,191,240
241,244,7,0,True,2021-02-20T17:30:00Z,0,2,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-299,8755,16,315
241,256,15,1,False,2021-02-28T19:15:00Z,0,2,26,14,0,0,0,0,0,0,0,0,0,0,0,5,9.6,0.9,0.0,1.1,53,-209,8547,18,227
241,283,5,1,True,2021-03-04T20:15:00Z,0,1,26,10,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.4,0.0,0.0,53,-209,8547,18,227
241,263,8,2,True,2021-03-07T14:00:00Z,0,1,27,75,0,0,0,1,0,0,0,0,0,0,0,10,5.2,8.3,4.0,1.8,53,12,8626,95,83
241,278,20,1,False,2021-03-15T20:00:00Z,0,1,28,23,0,0,0,0,0,0,0,0,0,0,0,5,5.2,10.4,0.0,1.6,53,12,8696,83,71
