element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
508,4,17,3,False,2020-09-13T15:30:00Z,0,1,1,90,0,0,1,0,0,0,0,0,0,0,0,16,17.0,58.6,23.0,9.9,75,0,471986,0,0
508,12,18,12,True,2020-09-19T11:30:00Z,5,2,2,77,1,1,0,2,0,0,0,0,0,0,2,42,57.0,39.7,9.0,10.6,75,277021,914403,363416,86395
508,21,6,2,False,2020-09-26T14:00:00Z,1,2,3,85,0,0,0,1,0,0,0,0,0,0,0,16,14.4,41.7,25.0,8.1,76,682098,1747659,806071,123973
508,32,3,18,True,2020-10-03T14:00:00Z,4,2,4,77,2,1,0,1,0,0,0,0,0,0,3,67,92.2,29.3,53.0,17.5,77,345974,2138184,455685,109711
508,41,11,4,True,2020-10-17T11:30:00Z,2,2,5,90,0,1,0,2,0,0,0,1,0,0,0,22,30.4,50.2,8.0,8.9,79,735240,2994469,817940,82700
508,56,16,2,False,2020-10-25T14:00:00Z,2,0,6,90,0,0,0,2,0,0,0,0,0,0,0,13,13.8,25.5,27.0,6.6,80,-143019,2822056,280064,423083
508,65,14,0,False,2020-11-01T14:00:00Z,2,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,80,-353780,2489808,81447,435227
508,73,13,2,True,2020-11-07T12:30:00Z,1,3,8,79,0,0,0,2,0,0,0,0,0,0,0,6,3.4,3.3,6.0,1.3,79,-355574,2138472,43512,399086
508,81,8,2,False,2020-11-22T12:00:00Z,2,3,9,73,0,0,0,2,0,0,0,0,0,0,0,19,13.8,15.0,29.0,5.8,79,50477,2246665,217058,166581
508,93,10,2,True,2020-11-28T17:30:00Z,0,1,10,90,0,0,0,1,0,0,0,0,0,0,0,18,24.8,65.8,17.0,10.8,79,-92342,2141893,97384,189726
508,101,4,2,False,2020-12-05T12:30:00Z,1,1,11,90,0,0,0,1,0,0,0,0,0,0,0,19,14.8,30.0,35.0,8.0,78,-276405,1865949,52014,328419
508,111,5,0,True,2020-12-12T20:00:00Z,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,77,-480284,1393862,12766,493050
508,123,9,0,False,2020-12-16T18:00:00Z,0,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,77,-313573,1088034,1062,314635
508,133,1,0,True,2020-12-19T17:30:00Z,2,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,77,-184755,908561,761,185516
508,146,15,0,False,2020-12-26T20:00:00Z,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,77,-137237,771233,1041,138278
508,163,19,1,True,2021-01-01T17:30:00Z,0,1,17,26,0,0,0,1,0,0,0,0,0,0,0,1,1.0,2.8,0.0,0.4,77,-43010,686522,484,43494
508,176,20,2,False,2021-01-12T20:15:00Z,1,2,18,85,0,0,0,1,0,0,0,0,0,0,0,15,9.6,28.8,4.0,4.2,77,1361,718228,28744,27383
508,191,9,8,True,2021-01-27T20:15:00Z,1,1,20,84,1,0,0,1,0,0,0,1,0,0,2,24,39.2,3.0,8.0,5.0,77,-3478,669786,16556,20034
508,203,14,1,True,2021-01-30T12:30:00Z,0,2,21,90,0,0,0,2,0,0,0,1,0,0,0,3,9.6,18.2,19.0,4.7,77,52491,726110,62552,10061
508,212,10,0,False,2021-02-03T19:30:00Z,1,2,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,77,-13664,711837,12897,26561
508,224,13,7,False,2021-02-06T20:00:00Z,3,3,23,68,1,0,0,2,0,0,0,0,0,0,0,23,34.0,1.3,17.0,5.2,77,-27273,685612,7856,35129
508,233,8,2,True,2021-02-14T19:00:00Z,0,2,24,67,0,0,0,2,0,0,0,0,0,0,0,18,10.2,24.3,0.0,3.5,77,162928,887185,192296,29368
508,153,12,1,True,2021-02-17T20:15:00Z,1,3,24,21,0,0,0,1,0,0,0,0,0,0,0,4,1.6,0.3,0.0,0.2,77,162928,887185,192296,29368
508,244,11,6,False,2021-02-20T17:30:00Z,0,2,25,61,0,1,1,0,0,0,0,0,0,0,0,21,29.2,15.2,7.0,5.1,77,-95866,756265,6764,102630
508,251,16,0,True,2021-03-01T20:00:00Z,1,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,77,76569,842022,104236,27667
508,287,18,0,False,2021-03-04T18:00:00Z,0,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,77,76569,842022,104236,27667
508,262,5,0,False,2021-03-08T18:00:00Z,2,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,77,-88779,749202,10819,99598
508,271,4,0,True,2021-03-13T17:30:00Z,1,2,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,77,-67603,682236,973,68576
