element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
370,1,6,2,False,2020-09-12T14:00:00Z,1,0,1,90,0,0,0,1,0,0,0,0,0,0,0,15,6.6,17.4,4.0,2.8,60,0,280881,0,0
370,17,17,2,True,2020-09-20T11:00:00Z,2,5,2,90,0,0,0,5,0,0,0,0,0,0,0,10,16.8,23.3,31.0,7.1,60,-43431,247080,8000,51431
370,20,4,3,False,2020-09-26T19:00:00Z,0,1,3,90,0,0,1,0,0,0,0,0,0,0,0,16,11.4,5.1,0.0,1.7,59,-54820,195769,6038,60858
370,37,18,3,True,2020-10-04T11:00:00Z,2,0,4,90,0,0,1,0,0,0,0,0,0,0,0,13,12.2,44.2,0.0,5.6,59,-16855,182780,9227,26082
370,39,5,2,False,2020-10-17T14:00:00Z,3,3,5,90,0,0,0,3,0,0,0,0,0,0,0,14,7.6,8.9,2.0,1.9,58,-34625,148113,2300,36925
370,56,7,11,True,2020-10-25T14:00:00Z,2,0,6,90,1,0,1,0,0,0,0,0,0,0,3,44,52.0,39.2,19.0,11.0,58,-17855,131902,1943,19798
370,59,2,17,False,2020-11-01T12:00:00Z,3,4,7,90,2,1,0,3,0,0,0,1,0,0,3,56,93.4,30.3,15.0,13.9,58,15915,151924,22669,6754
370,76,14,3,True,2020-11-06T20:00:00Z,2,0,8,90,0,0,1,0,0,0,0,0,0,0,0,13,19.8,36.3,0.0,5.6,59,348885,534013,362119,13234
370,88,20,2,False,2020-11-23T20:00:00Z,1,1,9,90,0,0,0,1,0,0,0,0,0,0,0,14,12.6,7.8,0.0,2.0,60,-9036,497927,111067,120103
370,96,13,11,True,2020-11-29T14:00:00Z,2,3,10,90,1,1,0,3,0,0,0,1,0,0,2,41,70.0,27.4,7.0,10.4,60,27878,540026,80121,52243
370,100,3,5,False,2020-12-07T20:00:00Z,1,2,11,90,0,1,0,1,0,0,0,0,0,0,0,23,26.2,41.1,0.0,6.7,61,366291,946651,389231,22940
370,117,15,3,True,2020-12-13T12:00:00Z,3,0,12,90,0,0,1,0,0,0,0,0,0,0,0,16,19.2,67.0,10.0,9.6,62,303262,1234364,335354,32092
370,119,1,2,False,2020-12-16T18:00:00Z,1,1,13,90,0,0,0,1,0,0,0,0,0,0,0,12,10.4,20.2,21.0,5.2,63,176477,1401251,239206,62729
370,136,12,1,True,2020-12-19T15:00:00Z,0,1,14,90,0,0,0,1,0,0,0,1,0,0,0,18,16.0,37.4,0.0,5.3,63,-24734,1378449,97458,122192
370,141,8,3,False,2020-12-26T15:00:00Z,0,0,15,90,0,0,1,0,0,0,0,0,0,0,0,15,19.2,17.0,7.0,4.3,63,4632,1391878,130420,125788
370,156,19,3,True,2020-12-29T18:00:00Z,0,0,16,90,0,0,1,0,0,0,0,0,0,0,0,15,9.6,21.8,1.0,3.2,63,-48726,1346373,56128,104854
370,166,11,6,True,2021-01-04T20:00:00Z,1,0,17,90,0,1,1,0,0,0,0,0,0,0,0,21,29.2,11.4,0.0,4.1,63,-173712,1174491,30726,204438
370,183,9,2,False,2021-01-16T20:00:00Z,2,0,19,90,0,0,0,2,0,0,0,0,0,0,0,9,3.0,17.3,4.0,2.4,62,-137714,863547,26678,164392
370,197,1,5,True,2021-01-26T20:15:00Z,1,3,20,90,0,1,0,3,0,0,0,0,0,0,0,30,39.2,37.2,7.0,8.3,61,-79321,810167,31474,110795
370,206,2,1,True,2021-01-30T20:00:00Z,0,1,21,90,0,0,0,1,0,0,0,1,0,0,0,17,18.4,38.0,10.0,6.6,61,-68885,742796,14810,83695
370,213,13,2,False,2021-02-02T20:15:00Z,9,0,22,90,0,0,0,9,0,0,0,0,0,0,0,16,23.6,0.2,8.0,3.2,60,-60398,683859,8873,69271
370,225,14,9,False,2021-02-06T15:00:00Z,3,2,23,90,1,0,0,3,0,0,0,0,0,0,2,34,50.2,53.7,9.0,11.3,60,-59628,625988,12092,71720
370,236,20,2,True,2021-02-14T12:00:00Z,1,2,24,90,0,0,0,2,0,0,0,0,0,0,0,15,15.6,3.5,7.0,2.6,60,-13215,612918,35854,49069
370,246,5,2,True,2021-02-20T12:30:00Z,1,1,25,90,0,0,0,1,0,0,0,0,0,0,0,8,9.0,19.5,0.0,2.9,60,86818,709815,126599,39781
370,172,10,2,False,2021-02-23T18:00:00Z,3,0,25,90,0,0,0,3,0,0,0,0,0,0,0,20,15.0,30.8,7.0,5.3,60,86818,709815,126599,39781
370,251,7,2,False,2021-03-01T20:00:00Z,1,0,26,90,0,0,0,1,0,0,0,0,0,0,0,21,15.2,16.8,0.0,3.2,60,-120747,580052,14403,135150
370,265,15,11,False,2021-03-06T15:00:00Z,0,2,27,90,1,0,1,0,0,0,0,0,0,0,3,36,40.8,1.8,17.0,6.0,59,137739,728610,161653,23914
370,325,12,7,False,2021-03-10T18:00:00Z,5,2,27,90,1,0,0,5,0,0,0,0,0,0,0,35,50.4,33.8,32.0,11.6,59,137739,728610,161653,23914
370,277,3,2,True,2021-03-14T12:00:00Z,1,2,28,90,0,0,0,2,0,0,0,0,0,0,0,9,10.0,3.0,27.0,4.0,59,144016,876255,164757,20741
