element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
210,3,11,1,False,2020-09-12T16:30:00Z,4,3,1,9,0,0,0,1,0,0,0,0,0,0,0,6,3.0,0.4,0.0,0.3,50,0,3045,0,0
210,13,8,0,True,2020-09-19T14:00:00Z,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-393,3315,187,580
210,25,15,0,False,2020-09-27T11:00:00Z,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-579,3001,211,790
210,33,12,0,True,2020-10-03T16:30:00Z,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-264,2898,180,444
210,42,20,0,True,2020-10-19T19:00:00Z,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-314,2709,89,403
210,50,2,3,False,2020-10-23T19:00:00Z,0,3,6,69,0,0,1,0,0,0,0,0,0,0,0,10,8.2,16.5,6.0,3.1,48,-148,2645,77,225
210,62,9,1,True,2020-11-02T20:00:00Z,1,4,7,45,0,0,0,2,0,0,0,0,0,0,0,3,2.6,3.8,4.0,1.0,48,162,2923,327,165
210,72,6,0,False,2020-11-07T15:00:00Z,4,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-43,2927,165,208
210,82,1,0,True,2020-11-22T16:30:00Z,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-374,2548,42,416
210,93,7,0,False,2020-11-28T17:30:00Z,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-198,2359,21,219
210,102,5,0,False,2020-12-05T20:00:00Z,3,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-105,2265,108,213
210,113,19,1,True,2020-12-11T20:00:00Z,1,2,12,45,0,0,0,1,0,0,0,0,0,0,0,5,7.6,12.8,2.0,2.2,48,-135,2150,22,157
210,122,14,1,True,2020-12-16T18:00:00Z,5,2,13,1,0,0,0,0,0,0,0,0,0,0,0,3,0.2,0.6,0.0,0.1,48,-22,2146,18,40
210,134,13,1,False,2020-12-20T16:30:00Z,6,2,14,45,0,0,0,2,0,0,0,0,0,0,0,3,9.8,1.4,0.0,1.1,48,4,2172,46,42
210,142,4,1,True,2020-12-27T12:00:00Z,1,0,15,24,0,0,0,0,0,0,0,0,0,0,0,4,2.8,0.5,0.0,0.3,48,5,2217,56,51
210,158,18,1,False,2020-12-29T18:00:00Z,0,5,16,32,0,0,0,0,0,0,0,0,0,0,0,6,4.6,2.7,2.0,0.9,48,-2,2224,33,35
210,167,17,1,False,2021-01-02T12:30:00Z,3,0,17,26,0,0,0,0,0,0,0,0,0,0,0,5,7.8,0.3,2.0,1.0,48,-20,2236,37,57
210,182,3,0,True,2021-01-16T15:00:00Z,0,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,4,2286,52,48
210,196,14,0,False,2021-01-26T18:00:00Z,1,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-47,2257,25,72
210,204,9,0,False,2021-01-31T14:00:00Z,1,3,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-44,2224,10,54
210,212,7,0,True,2021-02-03T19:30:00Z,1,2,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-31,2203,16,47
