element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
376,1,6,1,False,2020-09-12T14:00:00Z,1,0,1,45,0,0,0,1,0,0,0,0,0,0,0,11,8.8,1.3,0.0,1.0,45,0,196908,0,0
376,17,17,0,True,2020-09-20T11:00:00Z,2,5,2,90,0,0,0,5,0,0,0,0,0,0,0,13,12.4,1.5,0.0,1.4,45,-27099,173374,2287,29386
376,20,4,8,False,2020-09-26T19:00:00Z,0,1,3,90,0,0,1,0,0,0,0,0,0,0,2,28,25.8,0.1,4.0,3.0,45,-27904,147219,1959,29863
376,37,18,6,True,2020-10-04T11:00:00Z,2,0,4,90,0,0,1,0,0,0,0,0,0,0,0,25,10.4,0.7,17.0,2.8,45,2402,154299,11046,8644
376,39,5,1,False,2020-10-17T14:00:00Z,3,3,5,90,0,0,0,3,0,0,0,0,0,0,0,12,12.4,10.8,0.0,2.3,45,1980,158031,15164,13184
376,56,7,6,True,2020-10-25T14:00:00Z,2,0,6,90,0,0,1,0,0,0,0,0,0,0,0,27,18.6,0.0,2.0,2.1,45,-5949,152499,5411,11360
376,59,2,1,False,2020-11-01T12:00:00Z,3,4,7,45,0,0,0,0,0,0,0,0,0,0,0,6,10.4,0.0,0.0,1.0,45,4761,159172,8790,4029
376,76,14,6,True,2020-11-06T20:00:00Z,2,0,8,90,0,0,1,0,0,0,0,0,0,0,0,25,16.8,0.2,35.0,5.2,45,-18637,139106,1982,20619
376,88,20,2,False,2020-11-23T20:00:00Z,1,1,9,90,0,0,0,1,0,0,0,0,0,0,0,15,21.2,0.2,0.0,2.1,45,2880,144580,8310,5430
376,96,13,8,True,2020-11-29T14:00:00Z,2,3,10,90,1,0,0,3,0,0,0,0,0,0,1,28,60.4,0.4,33.0,9.4,45,-61,144318,4142,4203
376,100,3,2,False,2020-12-07T20:00:00Z,1,2,11,90,0,0,0,1,0,0,0,0,0,0,0,16,13.6,0.5,0.0,1.4,45,84099,245712,88670,4571
376,117,15,12,True,2020-12-13T12:00:00Z,3,0,12,90,0,1,1,0,0,0,0,0,0,0,3,43,41.0,10.8,4.0,5.6,45,32940,268062,42387,9447
376,119,1,1,False,2020-12-16T18:00:00Z,1,1,13,90,0,0,0,1,0,0,0,1,0,0,0,14,21.8,1.9,0.0,2.4,46,76503,349010,82814,6311
376,136,12,2,True,2020-12-19T15:00:00Z,0,1,14,90,0,0,0,1,0,0,0,0,0,0,0,14,8.0,1.0,0.0,0.9,46,48885,398669,63272,14387
376,141,8,9,False,2020-12-26T15:00:00Z,0,0,15,90,0,0,1,0,0,0,0,0,0,0,3,27,33.4,0.5,0.0,3.4,47,133470,545357,149532,16062
376,156,19,7,True,2020-12-29T18:00:00Z,0,0,16,90,0,0,1,0,0,0,0,0,0,0,1,26,15.4,11.3,0.0,2.7,48,294066,844879,306029,11963
376,166,11,7,True,2021-01-04T20:00:00Z,1,0,17,90,0,0,1,0,0,0,0,0,0,0,1,29,23.0,0.0,0.0,2.3,49,126911,968435,165269,38358
376,183,9,1,False,2021-01-16T20:00:00Z,2,0,19,90,0,0,0,2,0,0,0,0,0,0,0,13,22.8,0.8,0.0,2.4,49,-10974,969831,80121,91095
376,197,1,1,True,2021-01-26T20:15:00Z,1,3,20,90,0,0,0,3,0,0,0,0,0,0,0,11,17.0,0.7,0.0,1.8,49,25601,1029702,94094,68493
376,206,2,2,True,2021-01-30T20:00:00Z,0,1,21,90,0,0,0,1,0,0,0,0,0,0,0,14,14.4,0.3,34.0,4.9,49,-34892,995117,33646,68538
376,213,13,-7,False,2021-02-02T20:15:00Z,9,0,22,85,0,0,0,9,1,0,0,0,1,0,0,-5,4.4,0.0,0.0,0.4,49,-31279,965347,18812,50091
376,225,14,0,False,2021-02-06T15:00:00Z,3,2,23,90,0,0,0,3,0,0,0,1,0,0,0,10,9.0,2.0,4.0,1.5,49,-239701,725124,5353,245054
376,236,20,0,True,2021-02-14T12:00:00Z,1,2,24,90,0,0,0,2,0,0,0,1,0,0,0,9,14.2,0.3,0.0,1.5,49,-91117,629805,7760,98877
