element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
641,195,19,0,True,2021-01-26T18:00:00Z,2,3,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,915,981,1495,580
641,202,20,0,True,2021-01-30T15:00:00Z,1,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,1342,2390,1634,292
641,217,14,0,False,2021-02-02T20:15:00Z,1,2,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,615,3110,1163,548
641,222,10,2,False,2021-02-08T20:00:00Z,2,0,23,64,0,0,0,2,0,0,0,0,0,0,0,8,9.2,11.9,0.0,2.1,60,-382,2841,466,848
641,232,4,1,True,2021-02-13T15:00:00Z,0,3,24,14,0,0,0,0,0,0,0,0,0,0,0,2,1.0,0.8,26.0,2.8,59,231,3215,1074,843
641,241,3,8,False,2021-02-22T20:00:00Z,1,2,25,74,1,0,0,1,0,0,0,0,0,0,2,25,31.2,2.7,33.0,6.7,59,-589,2651,319,908
641,250,8,0,True,2021-02-28T12:00:00Z,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,58,6123,9318,7117,994
641,281,13,0,True,2021-03-03T20:15:00Z,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,58,6123,9318,7117,994
641,266,17,1,False,2021-03-07T19:15:00Z,4,1,27,16,0,0,0,1,0,0,0,0,0,0,0,1,0.0,0.1,4.0,0.2,58,-2368,6645,512,2880
641,270,18,0,True,2021-03-13T15:00:00Z,1,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,57,-1066,5658,601,1667
