element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
571,46,15,0,False,2020-10-18T11:00:00Z,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,91,232,153,62
571,53,6,0,True,2020-10-24T14:00:00Z,1,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-47,181,20,67
571,61,18,6,True,2020-11-02T17:30:00Z,2,0,7,90,0,0,1,0,0,0,0,0,0,0,0,22,14.6,0.6,1.0,1.6,45,-8,183,36,44
571,78,19,2,False,2020-11-07T20:00:00Z,1,0,8,90,0,0,0,1,0,0,0,0,0,0,0,12,7.8,0.6,4.0,1.2,45,141,434,170,29
571,81,7,1,True,2020-11-22T12:00:00Z,2,3,9,90,0,0,0,3,0,0,0,0,0,0,0,12,20.6,2.6,0.0,2.3,45,102,728,160,58
571,94,9,2,False,2020-11-30T17:30:00Z,1,2,10,90,0,0,0,1,0,0,0,0,0,0,0,15,21.0,0.1,0.0,2.1,45,39,883,114,75
571,104,12,1,False,2020-12-05T15:00:00Z,2,0,11,90,0,0,0,2,0,0,0,0,0,0,0,13,9.2,0.3,0.0,1.0,45,101,1112,193,92
571,112,11,1,True,2020-12-13T16:30:00Z,1,1,12,90,0,0,0,1,0,0,0,1,0,0,0,5,10.0,0.1,0.0,1.0,45,13,1226,134,121
571,121,3,8,True,2020-12-16T20:00:00Z,0,0,13,90,0,0,1,0,0,0,0,0,0,0,2,29,26.4,0.4,0.0,2.7,45,336,1692,439,103
571,135,14,-1,False,2020-12-19T20:00:00Z,1,1,14,61,0,0,0,1,0,0,0,0,1,0,0,2,3.0,10.7,2.0,1.6,45,681,2477,861,180
571,141,16,6,True,2020-12-26T15:00:00Z,0,0,15,90,0,0,1,0,0,0,0,0,0,0,0,24,20.0,0.8,2.0,2.3,45,-506,1979,222,728
571,157,17,1,False,2021-01-13T20:15:00Z,1,1,18,90,0,0,0,1,0,0,0,1,0,0,0,7,13.6,1.2,4.0,1.9,45,17,2970,406,389
571,181,5,2,True,2021-01-16T17:30:00Z,0,1,19,90,0,0,0,1,0,0,0,0,0,0,0,17,31.6,0.1,0.0,3.2,45,134,3011,350,216
571,171,13,1,True,2021-01-20T20:15:00Z,1,2,19,90,0,0,0,2,0,0,0,0,0,0,0,17,27.4,0.5,0.0,2.8,45,134,3011,350,216
571,189,3,6,False,2021-01-27T19:30:00Z,0,0,20,90,0,0,1,0,0,0,0,0,0,0,0,26,18.2,0.5,0.0,1.9,45,177,3250,510,333
571,207,18,1,False,2021-01-30T15:00:00Z,2,2,21,90,0,0,0,2,0,0,0,0,0,0,0,15,15.8,1.7,0.0,1.8,45,567,3946,831,264
571,211,9,1,True,2021-02-03T18:00:00Z,0,2,22,90,0,0,0,2,0,0,0,0,0,0,0,12,19.2,1.9,0.0,2.1,45,-306,3667,203,509
571,221,19,6,True,2021-02-06T17:30:00Z,0,0,23,90,0,0,1,0,0,0,0,1,0,0,1,26,21.8,10.3,6.0,3.8,45,-106,3652,223,329
571,233,7,6,False,2021-02-14T19:00:00Z,0,2,24,90,0,0,1,0,0,0,0,0,0,0,0,27,15.8,11.3,2.0,2.9,45,2073,7215,2665,592
571,160,4,7,False,2021-02-17T18:00:00Z,1,1,24,90,0,1,0,1,0,0,0,0,0,0,2,19,32.4,10.9,2.0,4.5,45,2073,7215,2665,592
