element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
340,6,19,1,False,2020-09-12T19:00:00Z,0,2,1,15,0,0,0,0,0,0,0,0,0,0,0,4,7.2,11.2,8.0,2.6,60,0,26389,0,0
340,16,3,1,True,2020-09-20T13:00:00Z,0,3,2,18,0,0,0,1,0,0,0,0,0,0,0,3,2.2,0.8,0.0,0.3,60,-4777,24573,1618,6395
340,26,17,1,False,2020-09-27T13:00:00Z,1,1,3,90,0,0,0,1,0,0,0,1,0,0,0,6,8.8,6.2,0.0,1.5,59,-5887,19628,844,6731
340,36,4,1,True,2020-10-03T19:00:00Z,3,1,4,90,0,0,0,1,0,0,0,1,0,0,0,9,14.2,16.0,21.0,5.1,59,-2101,18563,1302,3403
340,45,13,2,True,2020-10-17T19:00:00Z,1,4,5,71,0,0,0,1,0,0,0,0,0,0,0,10,6.6,10.9,2.0,2.0,58,-2118,16897,823,2941
340,58,20,1,False,2020-10-25T16:30:00Z,1,1,6,12,0,0,0,1,0,0,0,0,0,0,0,4,1.2,0.3,2.0,0.4,58,-801,16497,656,1457
340,65,7,0,True,2020-11-01T14:00:00Z,2,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,58,-1077,15624,295,1372
340,76,16,1,False,2020-11-06T20:00:00Z,2,0,8,11,0,0,0,1,0,0,0,0,0,0,0,2,3.2,0.1,17.0,2.0,57,-845,14866,325,1170
340,85,5,2,True,2020-11-21T12:30:00Z,0,2,9,90,0,0,0,2,0,0,0,0,0,0,0,6,2.0,23.3,5.0,3.0,57,-641,14396,380,1021
340,92,6,11,False,2020-11-27T20:00:00Z,0,2,10,90,1,1,1,0,0,0,0,0,0,0,2,35,60.0,13.9,62.0,13.6,57,-85,14469,541,626
340,116,18,5,True,2020-12-12T15:00:00Z,2,1,12,90,0,1,0,1,0,0,0,0,0,0,0,16,26.8,19.5,39.0,8.5,57,11027,32102,13788,2761
340,122,10,2,False,2020-12-16T18:00:00Z,5,2,13,73,0,0,0,2,0,0,0,0,0,0,0,8,6.4,3.6,8.0,1.8,57,9861,43276,12940,3079
340,135,8,2,True,2020-12-19T20:00:00Z,1,1,14,74,0,0,0,1,0,0,0,0,0,0,0,6,4.0,1.0,25.0,3.0,57,6037,49612,11257,5220
340,145,12,2,False,2020-12-26T20:00:00Z,2,0,15,70,0,0,0,2,0,0,0,0,0,0,0,1,0.6,1.9,6.0,0.9,57,-6890,42664,4985,11875
340,155,11,2,True,2020-12-30T20:00:00Z,0,0,16,90,0,0,1,0,0,0,0,0,0,0,0,10,7.2,11.8,16.0,3.5,57,-2959,40060,1871,4830
340,165,9,2,True,2021-01-03T14:15:00Z,1,2,17,64,0,0,0,1,0,0,0,0,0,0,0,5,8.6,3.9,17.0,3.0,57,-2343,37919,2301,4644
340,174,15,0,False,2021-01-12T18:00:00Z,1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,57,14655,76253,24401,9746
340,179,1,2,False,2021-01-18T20:00:00Z,3,0,19,90,0,0,0,3,0,0,0,0,0,0,0,7,10.8,0.9,2.0,1.4,57,-7514,44593,3906,11420
340,99,2,0,False,2021-01-23T20:00:00Z,2,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,57,-7514,44593,3906,11420
340,196,10,0,True,2021-01-26T18:00:00Z,1,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,57,-6479,39124,1601,8080
340,203,7,0,False,2021-01-30T12:30:00Z,0,2,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,57,-4927,34300,392,5319
340,217,6,0,True,2021-02-02T20:15:00Z,1,2,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,57,-3145,31278,881,4026
340,225,16,1,True,2021-02-06T15:00:00Z,3,2,23,54,0,0,0,1,0,0,0,0,0,0,0,4,6.4,0.5,2.0,0.9,57,-2797,28601,464,3261
340,231,5,1,False,2021-02-15T20:00:00Z,2,0,24,26,0,0,0,0,0,0,0,0,0,0,0,7,6.2,0.8,0.0,0.7,57,-1170,27547,1389,2559
340,245,13,0,False,2021-02-21T19:00:00Z,3,1,25,55,0,0,0,1,0,0,0,1,0,0,0,1,12.8,32.1,27.0,7.2,57,-799,26921,966,1765
340,255,20,2,True,2021-02-27T20:00:00Z,1,1,26,90,0,0,0,1,0,0,0,0,0,0,0,7,18.2,23.4,58.0,10.0,57,-1187,25804,1323,2510
340,267,18,2,False,2021-03-07T12:00:00Z,0,0,27,90,0,0,1,0,0,0,0,0,0,0,0,7,7.6,3.0,62.0,7.3,57,1509,27558,2833,1324
340,276,2,2,True,2021-03-12T20:00:00Z,1,1,28,90,0,0,0,1,0,0,0,0,0,0,0,6,9.8,18.9,30.0,5.9,57,1739,29470,3396,1657
