element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
353,8,20,0,True,2020-09-14T17:00:00Z,0,2,1,90,0,0,0,2,0,0,0,1,0,0,0,4,8.8,0.8,6.0,1.6,50,0,1006715,0,0
353,10,2,-2,False,2020-09-21T17:00:00Z,1,0,2,11,0,0,0,1,0,0,0,0,1,0,0,-5,0.0,0.0,0.0,0.0,50,-142331,885692,18701,161032
353,25,10,0,True,2020-09-27T11:00:00Z,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-389862,493796,4111,393973
353,29,1,1,False,2020-10-04T13:00:00Z,2,1,4,90,0,0,0,2,0,0,0,0,0,0,0,9,11.2,0.9,2.0,1.4,49,-94514,411407,1222,95736
353,46,8,2,True,2020-10-18T11:00:00Z,1,1,5,90,0,0,0,1,0,0,0,0,0,0,0,15,17.0,0.9,2.0,2.0,49,-78423,334285,2038,80461
353,54,11,1,False,2020-10-24T19:00:00Z,2,1,6,90,0,0,0,2,0,0,0,0,0,0,0,14,17.2,0.3,4.0,2.2,49,-38978,298178,817,39795
353,66,12,2,True,2020-10-31T12:30:00Z,0,1,7,90,0,0,0,1,0,0,0,0,0,0,0,13,16.4,0.4,0.0,1.7,49,-22002,277843,773,22775
353,71,5,-1,False,2020-11-07T17:30:00Z,4,1,8,90,0,0,0,4,0,0,0,1,0,0,0,6,17.6,0.2,0.0,1.8,49,-18488,259518,706,19194
353,86,19,2,True,2020-11-22T14:00:00Z,0,1,9,90,0,0,0,1,0,0,0,0,0,0,0,15,26.2,11.2,0.0,3.7,48,-30097,227799,540,30637
353,97,18,1,False,2020-11-28T20:00:00Z,1,0,10,90,0,0,0,1,0,0,0,1,0,0,0,10,21.8,0.4,0.0,2.2,48,-9102,221596,1472,10574
353,105,9,1,True,2020-12-06T14:15:00Z,1,2,11,90,0,0,0,2,0,0,0,0,0,0,0,12,17.0,1.8,0.0,1.9,48,-12486,208448,282,12768
353,117,16,1,False,2020-12-13T12:00:00Z,3,0,12,90,0,0,0,3,0,0,0,0,0,0,0,9,16.4,0.5,7.0,2.4,48,-9247,200129,284,9531
353,124,13,0,True,2020-12-17T20:00:00Z,2,3,13,90,0,0,0,3,0,0,0,1,0,0,0,9,13.2,0.1,8.0,2.1,47,-7627,192626,149,7776
353,129,3,2,False,2020-12-20T12:00:00Z,1,1,14,90,0,0,0,1,0,0,0,0,0,0,0,15,32.2,0.5,2.0,3.5,47,-6371,186552,438,6809
353,146,7,2,True,2020-12-26T20:00:00Z,0,1,15,90,0,0,0,1,0,0,0,0,0,0,0,14,5.8,0.6,25.0,3.1,47,-7383,179131,385,7768
353,150,4,2,False,2020-12-29T18:00:00Z,1,0,16,90,0,0,0,1,0,0,0,0,0,0,0,10,7.2,1.2,1.0,0.9,47,-4308,175150,602,4910
353,162,6,1,False,2021-01-02T15:00:00Z,2,0,17,90,0,0,0,2,0,0,0,0,0,0,0,13,22.4,0.8,0.0,2.3,47,-3809,171463,459,4268
353,174,14,7,True,2021-01-12T18:00:00Z,1,0,18,90,0,0,1,0,0,0,0,0,0,0,1,22,16.4,1.0,0.0,1.7,47,-2824,172236,3011,5835
353,186,17,0,True,2021-01-17T14:00:00Z,1,3,19,90,0,0,0,3,0,0,0,1,0,0,0,15,25.8,0.5,0.0,2.6,47,-4075,163766,556,4631
353,192,13,0,False,2021-01-27T20:15:00Z,1,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,47,-9810,155068,156,9966
353,205,12,1,False,2021-01-30T15:00:00Z,1,0,21,90,0,0,0,1,0,0,0,1,0,0,0,10,25.8,0.3,0.0,2.6,47,-2785,152567,174,2959
353,214,18,7,True,2021-02-02T18:00:00Z,2,1,22,90,0,1,0,1,0,0,0,0,0,0,2,30,32.6,11.3,6.0,5.0,47,-189,152556,1380,1569
