element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
346,8,20,2,True,2020-09-14T17:00:00Z,0,2,1,90,0,0,0,2,0,0,0,0,0,0,0,10,10.2,36.0,14.0,6.0,60,0,33140,0,0
346,10,2,2,False,2020-09-21T17:00:00Z,1,0,2,62,0,0,0,1,0,0,0,0,0,0,0,10,4.6,0.8,0.0,0.5,60,-3434,32626,2704,6138
346,25,10,0,True,2020-09-27T11:00:00Z,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,59,-6034,27408,1709,7743
346,29,1,1,False,2020-10-04T13:00:00Z,2,1,4,27,0,0,0,1,0,0,0,0,0,0,0,5,3.2,12.0,0.0,1.5,58,-6120,21706,458,6578
346,46,8,0,True,2020-10-18T11:00:00Z,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,58,-4871,17150,396,5267
346,54,11,0,False,2020-10-24T19:00:00Z,2,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,57,-4432,12826,54,4486
346,66,12,0,True,2020-10-31T12:30:00Z,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,57,-2206,10781,30,2236
346,71,5,0,False,2020-11-07T17:30:00Z,4,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,57,-1186,9622,25,1211
346,86,19,2,True,2020-11-22T14:00:00Z,0,1,9,90,0,0,0,1,0,0,0,0,0,0,0,16,17.8,23.8,7.0,4.9,56,-678,8987,115,793
346,97,18,2,False,2020-11-28T20:00:00Z,1,0,10,90,0,0,0,1,0,0,0,0,0,0,0,12,9.2,28.8,12.0,5.0,56,113,9216,359,246
346,105,9,2,True,2020-12-06T14:15:00Z,1,2,11,90,0,0,0,2,0,0,0,0,0,0,0,9,5.4,18.0,0.0,2.3,56,-214,9074,237,451
346,117,16,2,False,2020-12-13T12:00:00Z,3,0,12,90,0,0,0,3,0,0,0,0,0,0,0,11,12.6,16.9,0.0,3.0,56,-177,8987,150,327
346,124,13,5,True,2020-12-17T20:00:00Z,2,3,13,90,0,1,0,3,0,0,0,0,0,0,0,21,6.8,23.6,10.0,4.0,56,-84,8946,116,200
346,129,3,1,False,2020-12-20T12:00:00Z,1,1,14,32,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.3,0.0,0.0,56,266,9297,471,205
346,146,7,0,True,2020-12-26T20:00:00Z,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,56,-114,9291,349,463
346,150,4,1,False,2020-12-29T18:00:00Z,1,0,16,33,0,0,0,0,0,0,0,0,0,0,0,10,3.4,6.2,0.0,1.0,56,-47,9285,241,288
346,162,6,1,False,2021-01-02T15:00:00Z,2,0,17,90,0,0,0,2,0,0,0,1,0,0,0,5,7.0,15.0,11.0,3.3,56,-207,9123,201,408
346,174,14,3,True,2021-01-12T18:00:00Z,1,0,18,90,0,0,1,0,0,0,0,0,0,0,0,17,13.8,29.2,12.0,5.5,56,802,11368,1539,737
346,186,17,6,True,2021-01-17T14:00:00Z,1,3,19,90,0,1,0,3,0,0,0,0,0,0,1,28,42.2,38.8,9.0,9.0,56,-649,9404,128,777
346,192,13,5,False,2021-01-27T20:15:00Z,1,2,20,90,0,1,0,1,0,0,0,0,0,0,0,17,33.0,29.6,2.0,6.5,56,-229,9313,211,440
346,205,12,2,False,2021-01-30T15:00:00Z,1,0,21,90,0,0,0,1,0,0,0,0,0,0,0,1,5.6,11.0,5.0,2.2,56,198,9570,514,316
346,214,18,1,True,2021-02-02T18:00:00Z,2,1,22,90,0,0,0,1,0,0,0,1,0,0,0,10,22.2,32.9,23.0,7.8,56,949,10654,1540,591
