element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
38,10,15,2,True,2020-09-21T17:00:00Z,1,0,2,90,0,0,1,0,0,0,0,1,0,0,0,6,4.8,36.4,19.0,6.0,55,-823,34888,2703,3526
38,22,8,10,False,2020-09-28T16:45:00Z,0,3,3,90,0,2,1,0,0,0,0,1,0,0,2,35,45.0,55.4,31.0,13.1,55,-2945,32594,1806,4751
38,30,11,10,True,2020-10-04T18:15:00Z,7,2,4,90,1,1,0,2,0,0,0,0,0,0,0,46,67.2,14.3,11.0,9.3,55,14247,50152,20155,5908
38,43,9,5,False,2020-10-18T18:15:00Z,0,1,5,90,0,1,1,0,0,0,0,1,0,0,0,14,21.4,36.6,3.0,6.1,55,40927,98414,57006,16079
38,50,10,2,True,2020-10-23T19:00:00Z,0,3,6,90,0,0,0,3,0,0,0,0,0,0,0,6,2.2,0.9,8.0,1.1,55,84413,189102,100045,15632
38,59,16,2,True,2020-11-01T12:00:00Z,3,4,7,90,0,0,0,4,0,0,0,0,0,0,0,5,7.4,12.7,4.0,2.4,55,13944,203486,34058,20114
38,69,1,3,False,2020-11-08T19:15:00Z,0,3,8,90,0,0,1,0,0,0,0,0,0,0,0,17,12.4,36.5,6.0,5.5,55,-27781,174706,9199,36980
38,79,3,2,True,2020-11-21T15:00:00Z,1,2,9,90,0,0,0,2,0,0,0,0,0,0,0,14,7.8,17.4,3.0,2.8,55,-4125,172965,22059,26184
38,98,19,2,False,2020-11-30T20:00:00Z,2,1,10,90,0,0,0,2,0,0,0,0,0,0,0,9,8.4,6.6,18.0,3.3,55,-6684,167461,12572,19256
38,118,20,5,False,2020-12-12T12:30:00Z,0,1,12,90,0,1,1,0,0,0,0,1,0,0,0,13,2.8,14.3,12.0,2.9,55,-9501,128090,4010,13511
38,120,4,3,True,2020-12-17T18:00:00Z,0,0,13,90,0,0,1,0,0,0,0,0,0,0,0,11,10.6,13.7,2.0,2.6,55,10173,139192,16110,5937
38,138,18,3,False,2020-12-20T19:15:00Z,0,3,14,90,0,0,1,0,0,0,0,0,0,0,0,11,8.0,4.1,16.0,2.8,55,-3619,135720,5859,9478
38,140,6,3,True,2020-12-26T15:00:00Z,3,0,15,90,0,0,1,0,0,0,0,0,0,0,0,5,9.6,2.2,0.0,1.2,55,-7276,128904,5729,13005
38,151,5,2,False,2020-12-28T17:30:00Z,1,1,16,90,0,0,0,1,0,0,0,0,0,0,0,12,20.2,21.6,1.0,4.3,55,-8761,120563,2498,11259
38,164,13,2,False,2021-01-01T20:00:00Z,2,1,17,90,0,0,0,2,0,0,0,0,0,0,0,15,13.0,6.3,17.0,3.6,55,-7108,114091,4825,11933
38,380,12,1,False,2021-01-20T18:00:00Z,2,0,19,90,0,0,0,2,0,0,0,1,0,0,0,4,1.8,0.3,6.0,0.8,55,-2322,104877,6796,9118
38,99,14,0,True,2021-01-23T20:00:00Z,2,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-2322,104877,6796,9118
38,190,4,2,False,2021-01-27T18:00:00Z,3,2,20,90,0,0,0,3,0,0,0,0,0,0,0,15,15.0,26.0,9.0,5.0,55,-8911,96069,1867,10778
38,206,16,3,False,2021-01-30T20:00:00Z,0,1,21,90,0,0,1,0,0,0,0,0,0,0,0,9,23.2,3.4,0.0,2.7,55,-9370,86859,460,9830
38,209,19,2,True,2021-02-03T20:15:00Z,1,3,22,90,0,0,0,3,0,0,0,0,0,0,0,13,7.2,5.7,4.0,1.7,55,-4473,82623,592,5065
38,219,1,3,True,2021-02-06T12:30:00Z,1,0,23,90,0,0,1,0,0,0,0,0,0,0,0,13,17.2,2.1,9.0,2.8,55,-4603,78215,535,5138
38,230,3,3,False,2021-02-13T20:00:00Z,0,0,24,90,0,0,1,0,0,0,0,0,0,0,0,18,20.4,13.7,0.0,3.4,55,-4264,73916,942,5206
