element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
219,5,18,0,False,2020-09-13T13:00:00Z,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,0,7125,0,0
219,14,4,0,True,2020-09-20T18:00:00Z,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-1029,6808,202,1231
219,24,12,2,False,2020-09-27T15:30:00Z,2,5,3,79,0,0,0,1,0,0,0,0,0,0,0,6,12.4,0.2,0.0,1.3,55,553,9235,1668,1115
219,34,19,0,True,2020-10-04T11:00:00Z,0,3,4,90,0,0,0,3,0,0,0,1,0,0,0,11,18.2,1.1,0.0,1.9,55,-24,10221,1333,1357
219,43,2,1,True,2020-10-18T18:15:00Z,0,1,5,90,0,0,0,1,0,0,0,1,0,0,0,10,19.2,0.3,0.0,2.0,55,529,12496,2139,1610
219,49,1,5,False,2020-10-25T19:15:00Z,0,1,6,90,0,0,1,0,0,0,0,1,0,0,0,21,11.8,0.6,0.0,1.2,55,1200,14530,2308,1108
219,62,10,0,False,2020-11-02T20:00:00Z,1,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,1798,17366,3150,1352
219,74,20,5,True,2020-11-08T14:00:00Z,1,0,8,90,0,0,1,0,0,0,0,1,0,0,0,18,13.6,3.2,6.0,2.3,55,-2445,14796,197,2642
219,83,11,-1,False,2020-11-22T19:15:00Z,3,0,9,90,0,0,0,3,1,0,0,0,0,0,0,7,5.6,0.6,0.0,0.6,55,3823,20304,5030,1207
219,94,8,1,True,2020-11-30T17:30:00Z,1,2,10,90,0,0,0,2,0,0,0,0,0,0,0,14,16.2,2.2,2.0,2.0,55,6790,28991,8426,1636
219,105,15,2,False,2020-12-06T14:15:00Z,1,2,11,90,0,0,0,1,0,0,0,0,0,0,0,19,30.2,11.8,2.0,4.4,55,3331,33152,5750,2419
219,114,3,5,True,2020-12-13T19:15:00Z,3,0,12,90,0,0,1,0,0,0,0,1,0,0,0,25,10.8,0.3,0.0,1.1,55,284,32917,2978,2694
219,123,7,0,True,2020-12-16T18:00:00Z,0,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-6469,26122,439,6908
219,137,17,6,False,2020-12-20T14:15:00Z,0,2,14,90,0,0,1,0,0,0,0,0,0,0,0,24,9.0,0.5,0.0,1.0,55,-1350,25212,814,2164
219,143,13,1,True,2020-12-26T12:30:00Z,2,2,15,90,0,0,0,2,0,0,0,0,0,0,0,15,11.0,0.8,6.0,1.8,55,1063,27118,2406,1343
219,152,6,8,False,2020-12-28T15:00:00Z,1,1,16,90,0,1,0,1,0,0,0,0,0,0,3,32,37.6,31.8,0.0,6.9,55,3190,30882,4076,886
219,165,14,2,False,2021-01-03T14:15:00Z,1,2,17,90,0,0,0,1,0,0,0,0,0,0,0,15,13.4,0.4,0.0,1.4,55,8871,41036,10875,2004
219,183,16,7,True,2021-01-16T20:00:00Z,2,0,19,90,0,0,1,0,0,0,0,0,0,0,1,25,17.2,0.5,2.0,2.0,55,2966,44029,5096,2130
219,173,5,7,True,2021-01-19T20:15:00Z,2,0,19,90,0,0,1,0,0,0,0,0,0,0,1,25,19.6,0.7,17.0,3.7,55,2966,44029,5096,2130
219,191,7,2,False,2021-01-27T20:15:00Z,1,1,20,76,0,0,0,1,0,0,0,0,0,0,0,14,11.0,1.8,2.0,1.5,55,9713,54502,13104,3391
219,204,10,1,True,2021-01-31T14:00:00Z,1,3,21,90,0,0,0,3,0,0,0,0,0,0,0,14,12.0,10.9,9.0,3.2,55,-1449,52916,4463,5912
219,211,8,7,False,2021-02-03T18:00:00Z,0,2,22,90,0,0,1,0,0,0,0,0,0,0,1,31,25.2,0.3,0.0,2.6,55,4225,57904,6581,2356
219,228,20,6,False,2021-02-07T14:00:00Z,0,0,23,90,0,0,1,0,0,0,0,1,0,0,1,25,20.8,1.3,0.0,2.2,55,3056,61890,6223,3167
219,234,11,1,True,2021-02-13T12:30:00Z,3,1,24,90,0,0,0,1,0,0,0,1,0,0,0,12,19.8,0.1,0.0,2.0,55,4188,67593,9877,5689
219,240,2,2,False,2021-02-21T14:05:00Z,1,2,25,90,0,0,0,1,0,0,0,0,0,0,0,13,15.8,10.9,4.0,3.1,55,7208,76048,12043,4835
219,253,1,1,True,2021-02-28T12:00:00Z,1,3,26,68,0,0,0,3,0,0,0,0,0,0,0,12,3.6,0.1,0.0,0.4,55,22536,101566,29223,6687
219,280,4,0,False,2021-03-03T18:00:00Z,1,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,22536,101566,29223,6687
219,260,3,0,False,2021-03-06T20:00:00Z,1,2,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-19832,79975,3117,22949
219,274,15,6,True,2021-03-14T14:00:00Z,5,0,28,90,0,0,1,0,0,0,0,0,0,0,0,24,21.2,0.9,7.0,2.9,55,-12277,67956,829,13106
