element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
105,7,3,12,False,2020-09-14T19:15:00Z,1,3,1,84,1,1,0,1,0,0,0,0,0,0,2,43,60.8,23.2,17.0,10.1,50,0,104796,0,0
105,11,11,0,True,2020-09-20T15:30:00Z,0,2,2,78,0,0,0,2,0,0,1,0,0,0,0,0,14.4,1.6,19.0,3.5,50,137736,342805,177637,39901
105,27,18,0,False,2020-09-26T16:30:00Z,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,51,88001,453345,173083,85082
105,31,6,15,True,2020-10-03T11:30:00Z,4,0,4,90,2,0,1,0,0,0,0,0,0,0,2,49,79.2,31.3,40.0,15.1,51,-44619,412226,48051,92670
105,39,16,5,True,2020-10-17T14:00:00Z,3,3,5,90,0,1,0,3,0,0,0,0,0,0,0,23,16.2,6.0,0.0,2.2,52,303609,781585,374657,71048
105,55,13,3,False,2020-10-24T16:30:00Z,0,0,6,90,0,0,1,0,0,0,0,0,0,0,0,14,2.2,2.3,1.0,0.6,52,140287,923955,189777,49490
105,60,4,1,False,2020-10-31T15:00:00Z,0,3,7,4,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.1,0.0,0.0,53,102550,1036955,152049,49499
105,71,15,1,True,2020-11-07T17:30:00Z,4,1,8,19,0,0,0,0,0,0,0,0,0,0,0,3,2.4,0.5,0.0,0.3,53,-114879,915848,46750,161629
105,85,14,0,False,2020-11-21T12:30:00Z,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,52,-155701,759988,31366,187067
105,91,17,0,True,2020-11-29T16:30:00Z,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,51,-122039,648772,12829,134868
105,102,10,0,True,2020-12-05T20:00:00Z,3,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-120188,526772,9585,129773
105,111,7,0,False,2020-12-12T20:00:00Z,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-75395,462321,6985,82380
105,126,20,0,False,2020-12-15T18:00:00Z,2,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-43885,419808,5003,48888
105,131,19,3,True,2020-12-21T20:00:00Z,3,0,14,65,0,0,1,0,0,0,0,0,0,0,0,9,8.6,2.0,1.0,1.2,48,-41237,379968,3137,44374
105,139,1,-1,False,2020-12-26T17:30:00Z,3,1,15,45,0,0,0,1,0,0,1,0,0,0,0,4,15.6,16.3,17.0,4.9,48,-12670,369040,13411,26081
105,151,2,2,True,2020-12-28T17:30:00Z,1,1,16,71,0,0,0,1,0,0,0,0,0,0,0,19,14.0,2.2,0.0,1.6,48,-13729,355766,4742,18471
105,161,12,0,True,2021-01-03T16:30:00Z,1,3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-13627,342927,6048,19675
105,181,8,3,False,2021-01-16T17:30:00Z,0,1,19,64,0,0,1,0,0,0,0,0,0,0,0,10,14.2,14.0,4.0,3.2,47,-6928,315251,9860,16788
105,173,9,0,False,2021-01-19T20:15:00Z,2,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,47,-6928,315251,9860,16788
105,194,20,3,True,2021-01-27T18:00:00Z,0,0,20,90,0,0,1,0,0,0,0,0,0,0,0,13,16.6,24.1,2.0,4.3,47,-13509,302304,4695,18204
105,201,4,3,True,2021-01-31T12:00:00Z,2,0,21,90,0,0,1,0,0,0,0,0,0,0,0,26,23.2,48.1,0.0,7.1,47,-12480,290136,2794,15274
105,218,17,11,False,2021-02-04T20:00:00Z,0,1,22,90,1,0,1,0,0,0,0,0,0,0,3,36,45.6,25.0,19.0,9.0,47,-6118,284510,3335,9453
105,226,15,10,False,2021-02-07T19:15:00Z,1,2,23,90,1,0,0,1,0,0,0,0,0,0,3,35,50.0,14.7,17.0,8.2,47,9693,295397,16706,7013
105,231,14,3,True,2021-02-15T20:00:00Z,2,0,24,90,0,0,1,0,0,0,0,0,0,0,0,15,14.4,3.6,0.0,1.8,47,34489,333571,45836,11347
105,246,16,1,False,2021-02-20T12:30:00Z,1,1,25,14,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.3,0.0,0.0,47,9885,344193,25767,15882
105,249,13,0,True,2021-02-28T16:30:00Z,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,47,10432,358107,37663,27231
105,283,11,3,False,2021-03-04T20:15:00Z,0,1,26,90,0,0,1,0,0,0,0,0,0,0,0,15,25.4,2.0,0.0,2.7,47,10432,358107,37663,27231
105,262,7,10,True,2021-03-08T18:00:00Z,2,0,27,90,1,0,1,0,0,0,0,0,0,0,2,29,47.4,18.3,19.0,8.5,47,-5468,351816,12371,17839
105,273,10,3,False,2021-03-13T12:30:00Z,0,0,28,90,0,0,1,0,0,0,0,0,0,0,0,12,9.8,7.7,0.0,1.8,47,30289,384127,41222,10933
