element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
20,2,8,0,False,2020-09-12T11:30:00Z,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,7504,0,0
20,9,19,0,True,2020-09-19T19:00:00Z,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-1555,6935,261,1816
20,23,11,0,False,2020-09-28T19:00:00Z,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-943,6446,528,1471
20,29,15,0,True,2020-10-04T13:00:00Z,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-637,6061,277,914
20,44,12,0,False,2020-10-17T16:30:00Z,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-562,5732,288,850
20,49,9,0,True,2020-10-25T19:15:00Z,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-130,5819,389,519
20,64,13,0,False,2020-11-01T16:30:00Z,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-163,5778,251,414
20,69,2,0,True,2020-11-08T19:15:00Z,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-184,5707,292,476
20,82,10,1,False,2020-11-22T16:30:00Z,0,0,9,56,0,0,0,0,0,0,0,0,0,0,0,1,2.8,2.2,2.0,0.7,48,-126,5783,314,440
20,89,20,2,True,2020-11-29T19:15:00Z,1,2,10,90,0,0,0,2,0,0,0,0,0,0,0,12,8.8,4.3,28.0,4.1,48,20,5891,293,273
20,106,17,0,False,2020-12-06T16:30:00Z,2,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-110,5837,215,325
20,109,4,0,True,2020-12-13T19:15:00Z,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-111,5797,176,287
20,119,16,1,True,2020-12-16T18:00:00Z,1,1,13,23,0,0,0,0,0,0,0,0,0,0,0,4,1.2,0.1,0.0,0.1,48,-84,5759,116,200
20,133,7,0,False,2020-12-19T17:30:00Z,2,1,14,26,0,0,0,0,0,0,0,1,0,0,0,-3,4.2,12.3,10.0,2.7,48,-116,5677,94,210
20,139,5,1,True,2020-12-26T17:30:00Z,3,1,15,25,0,0,0,1,0,0,0,0,0,0,0,1,4.2,10.5,6.0,2.1,47,-22,5739,249,271
20,149,3,0,False,2020-12-29T18:00:00Z,0,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,47,-27,5754,165,192
20,168,18,1,False,2021-01-02T20:00:00Z,0,4,17,13,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.3,6.0,0.4,47,-97,5698,139,236
20,169,6,0,True,2021-01-14T20:00:00Z,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,47,-68,5839,288,356
20,179,14,0,True,2021-01-18T20:00:00Z,3,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,47,-98,5654,76,174
20,197,16,1,False,2021-01-26T20:15:00Z,1,3,20,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,47,-122,5589,160,282
20,203,7,0,False,2021-01-30T12:30:00Z,0,2,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,47,-150,5434,45,85
20,217,6,0,True,2021-02-02T20:15:00Z,1,2,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,47,245,5695,280,35
20,225,16,9,True,2021-02-06T15:00:00Z,3,2,23,90,1,0,0,2,0,0,0,0,0,0,2,34,55.4,20.9,23.0,9.9,47,158,5896,353,195
20,231,5,2,False,2021-02-15T20:00:00Z,2,0,24,78,0,0,0,2,0,0,0,0,0,0,0,2,7.2,1.9,23.0,3.2,47,2121,8186,2599,478
