element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
500,7,3,2,False,2020-09-14T19:15:00Z,1,3,1,79,0,0,0,1,0,0,0,0,0,0,0,8,8.4,14.8,0.0,2.3,85,0,755977,0,0
500,11,11,1,True,2020-09-20T15:30:00Z,0,2,2,45,0,0,0,0,0,0,0,0,0,0,0,2,1.6,0.9,0.0,0.3,85,-184734,638996,47344,232078
500,27,18,5,False,2020-09-26T16:30:00Z,3,3,3,90,0,1,0,3,0,0,0,0,0,0,0,20,33.2,28.9,32.0,9.4,84,-78935,601436,132850,211785
500,31,6,6,True,2020-10-03T11:30:00Z,4,0,4,90,0,1,1,0,0,0,0,0,0,0,0,20,17.0,38.3,10.0,6.5,84,18647,633799,110346,91699
500,39,16,7,True,2020-10-17T14:00:00Z,3,3,5,90,1,0,0,3,0,0,0,0,0,0,0,25,32.8,9.7,25.0,6.8,84,-11232,646767,102135,113367
500,55,13,2,False,2020-10-24T16:30:00Z,0,0,6,71,0,0,1,0,0,0,0,1,0,0,0,3,3.4,15.2,0.0,1.9,84,-21025,626460,53692,74717
500,60,4,3,False,2020-10-31T15:00:00Z,0,3,7,85,0,0,1,0,0,0,0,0,0,0,0,14,12.6,18.6,17.0,4.8,84,-29416,603864,45665,75081
500,71,15,0,True,2020-11-07T17:30:00Z,4,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,84,-201179,398791,20547,221726
500,85,14,0,False,2020-11-21T12:30:00Z,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,83,-122484,279426,2059,124543
500,91,17,1,True,2020-11-29T16:30:00Z,0,0,10,7,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.7,0.0,0.0,83,-18517,267152,3449,21966
500,102,10,2,True,2020-12-05T20:00:00Z,3,1,11,66,0,0,0,1,0,0,0,0,0,0,0,6,5.0,15.2,9.0,2.9,83,-12574,256073,4528,17102
500,111,7,2,False,2020-12-12T20:00:00Z,1,0,12,67,0,0,0,1,0,0,0,0,0,0,0,10,7.0,14.8,12.0,3.4,83,-4063,253406,10600,14663
500,126,20,2,False,2020-12-15T18:00:00Z,2,1,13,70,0,0,0,1,0,0,0,0,0,0,0,8,11.4,3.9,6.0,2.1,83,-3352,250952,7251,10603
500,131,19,1,True,2020-12-21T20:00:00Z,3,0,14,6,0,0,0,0,0,0,0,0,0,0,0,5,2.2,1.0,0.0,0.3,83,-8281,243167,4179,12460
500,139,1,1,False,2020-12-26T17:30:00Z,3,1,15,16,0,0,0,0,0,0,0,0,0,0,0,1,2.4,1.3,4.0,0.8,82,-13133,230728,2687,15820
500,151,2,1,True,2020-12-28T17:30:00Z,1,1,16,18,0,0,0,0,0,0,0,0,0,0,0,3,2.8,3.4,4.0,1.0,82,-6016,225529,1597,7613
500,161,12,4,True,2021-01-03T16:30:00Z,1,3,17,13,0,1,0,0,0,0,0,0,0,0,0,15,16.6,12.2,18.0,4.7,82,-7225,218820,880,8105
500,181,8,0,False,2021-01-16T17:30:00Z,0,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,82,469,213891,3374,2905
500,173,9,1,False,2021-01-19T20:15:00Z,2,0,19,66,0,0,0,2,0,0,0,1,0,0,0,4,3.4,4.0,6.0,1.3,82,469,213891,3374,2905
500,194,20,3,True,2021-01-27T18:00:00Z,0,0,20,90,0,0,1,0,0,0,0,0,0,0,0,10,0.0,20.1,36.0,5.5,82,-4712,209441,2293,7005
500,201,4,1,True,2021-01-31T12:00:00Z,2,0,21,10,0,0,0,0,0,0,0,0,0,0,0,3,5.2,11.1,2.0,1.8,82,4668,214902,7868,3200
500,218,17,0,False,2021-02-04T20:00:00Z,0,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,82,-3757,211333,1800,5557
500,226,15,0,False,2021-02-07T19:15:00Z,1,2,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,82,-6304,205315,1163,7467
500,231,14,0,True,2021-02-15T20:00:00Z,2,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,82,-7198,198089,148,7346
500,246,16,0,False,2021-02-20T12:30:00Z,1,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,82,-3043,195340,370,3413
500,249,13,0,True,2021-02-28T16:30:00Z,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,82,-1347,194537,939,2286
500,283,11,1,False,2021-03-04T20:15:00Z,0,1,26,1,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,82,-1347,194537,939,2286
500,262,7,9,True,2021-03-08T18:00:00Z,2,0,27,90,0,2,1,0,0,0,0,0,0,0,0,27,0.2,6.3,28.0,3.5,82,-1020,193889,758,1778
500,273,10,3,False,2021-03-13T12:30:00Z,0,0,28,90,0,0,1,0,0,0,0,0,0,0,0,10,16.0,25.5,90.0,13.2,82,20409,215367,22253,1844
