element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
325,6,19,7,False,2020-09-12T19:00:00Z,0,2,1,90,0,0,1,0,0,0,0,0,0,3,0,26,27.0,0.0,0.0,2.7,50,0,13715,0,0
325,16,3,2,True,2020-09-20T13:00:00Z,0,3,2,90,0,0,0,3,0,0,0,0,0,4,0,16,17.8,0.0,0.0,1.8,50,6661,33351,11384,4723
325,26,17,8,False,2020-09-27T13:00:00Z,1,1,3,90,0,0,0,1,0,0,0,0,0,11,3,34,75.6,0.0,0.0,7.6,50,-3469,31277,13018,16487
325,36,4,2,True,2020-10-03T19:00:00Z,3,1,4,90,0,0,0,1,0,0,0,0,0,2,0,17,19.8,0.0,0.0,2.0,50,34849,85192,42714,7865
325,45,13,8,True,2020-10-17T19:00:00Z,1,4,5,90,0,0,0,4,0,1,0,0,0,8,1,41,75.6,0.0,0.0,7.6,50,23495,119216,39368,15873
325,58,20,3,False,2020-10-25T16:30:00Z,1,1,6,90,0,0,0,1,0,0,0,0,0,3,0,14,18.2,0.0,0.0,1.8,50,-1032,117415,14217,15249
325,65,7,3,True,2020-11-01T14:00:00Z,2,1,7,90,0,0,0,1,0,0,0,0,0,3,0,16,24.0,0.0,0.0,2.4,50,3022,123516,10564,7542
325,76,16,2,False,2020-11-06T20:00:00Z,2,0,8,90,0,0,0,2,0,0,0,0,0,5,0,17,30.6,0.0,0.0,3.1,50,10038,136869,16401,6363
325,85,5,1,True,2020-11-21T12:30:00Z,0,2,9,90,0,0,0,2,0,0,0,0,0,2,0,12,17.6,0.0,0.0,1.8,50,-4510,132236,5988,10498
325,92,6,8,False,2020-11-27T20:00:00Z,0,2,10,90,0,0,1,0,0,0,0,0,0,3,1,28,23.2,0.0,0.0,2.3,50,-2818,131310,5464,8282
325,116,18,2,True,2020-12-12T15:00:00Z,2,1,12,90,0,0,0,1,0,0,0,0,0,2,0,12,9.6,0.0,0.0,1.0,50,11947,146925,17937,5990
325,122,10,1,False,2020-12-16T18:00:00Z,5,2,13,90,0,0,0,5,0,0,0,0,0,5,0,18,43.2,0.0,0.0,4.3,50,-6721,138020,2589,9310
325,135,8,3,True,2020-12-19T20:00:00Z,1,1,14,90,0,0,0,1,0,0,0,0,0,4,0,16,31.6,0.0,0.0,3.2,50,1958,141758,8808,6850
325,145,12,2,False,2020-12-26T20:00:00Z,2,0,15,90,0,0,0,2,0,0,0,0,0,4,0,17,31.4,0.0,0.0,3.1,50,-13974,127233,1872,15846
325,155,11,8,True,2020-12-30T20:00:00Z,0,0,16,90,0,0,1,0,0,0,0,0,0,4,1,28,30.6,0.0,0.0,3.1,50,-6093,121815,1065,7158
325,165,9,1,True,2021-01-03T14:15:00Z,1,2,17,90,0,0,0,2,0,0,0,0,0,1,0,10,10.4,0.0,0.0,1.0,50,1576,124621,8328,6752
325,174,15,2,False,2021-01-12T18:00:00Z,1,0,18,90,0,0,0,1,0,0,0,1,0,3,0,12,25.4,0.0,0.0,2.5,50,79410,553863,101820,22410
325,179,1,2,False,2021-01-18T20:00:00Z,3,0,19,90,0,0,0,3,0,0,0,0,0,3,0,14,27.8,0.0,0.0,2.8,50,-17920,184078,13288,31208
325,99,2,2,False,2021-01-23T20:00:00Z,2,0,19,90,0,0,0,2,0,0,0,0,0,3,0,14,22.4,0.0,0.0,2.2,50,-17920,184078,13288,31208
325,196,10,1,True,2021-01-26T18:00:00Z,1,2,20,90,0,0,0,2,0,0,0,0,0,1,0,11,11.0,0.0,0.0,1.1,50,-15214,173120,4688,19902
325,203,7,6,False,2021-01-30T12:30:00Z,0,2,21,90,0,0,1,0,0,0,0,1,0,3,0,24,21.2,0.0,0.0,2.1,50,-11933,161578,1358,13291
325,217,6,1,True,2021-02-02T20:15:00Z,1,2,22,90,0,0,0,2,0,0,0,0,0,1,0,9,7.0,0.0,0.0,0.7,50,-773,161798,4459,5232
325,225,16,1,True,2021-02-06T15:00:00Z,3,2,23,90,0,0,0,2,0,0,0,1,0,3,0,10,24.8,0.0,0.0,2.5,50,-5087,157413,4568,9655
325,231,5,2,False,2021-02-15T20:00:00Z,2,0,24,90,0,0,0,2,0,0,0,0,0,3,0,17,31.4,0.0,0.0,3.1,50,-14690,142069,1581,16271
