element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
50,10,15,1,True,2020-09-21T17:00:00Z,1,0,2,28,0,0,0,0,0,0,0,0,0,0,0,3,4.4,12.9,6.0,2.3,45,50916,1061409,159041,108125
50,22,8,0,False,2020-09-28T16:45:00Z,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-74542,1015076,136592,211134
50,30,11,0,True,2020-10-04T18:15:00Z,7,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-124870,902961,43293,168163
50,43,9,0,False,2020-10-18T18:15:00Z,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-137106,777537,36935,174041
50,50,10,0,True,2020-10-23T19:00:00Z,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-90028,694530,22851,112879
50,59,16,0,True,2020-11-01T12:00:00Z,3,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-50993,652499,20146,71139
50,69,1,0,False,2020-11-08T19:15:00Z,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-30818,625454,20229,51047
50,79,3,0,True,2020-11-21T15:00:00Z,1,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-40400,587693,25659,66059
50,98,19,0,False,2020-11-30T20:00:00Z,2,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-17788,577018,17581,35369
50,118,20,0,False,2020-12-12T12:30:00Z,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-6954,558015,25382,32336
50,120,4,1,True,2020-12-17T18:00:00Z,0,0,13,10,0,0,0,0,0,0,0,0,0,0,0,3,0.2,1.4,2.0,0.4,43,-6092,553397,17382,23474
50,138,18,0,False,2020-12-20T19:15:00Z,0,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,1165,555406,21768,20603
50,140,6,0,True,2020-12-26T15:00:00Z,3,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,27599,591110,52670,25071
50,151,5,1,False,2020-12-28T17:30:00Z,1,1,16,3,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.3,2.0,0.2,43,3148,593216,26521,23373
50,164,13,1,False,2021-01-01T20:00:00Z,2,1,17,6,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,44.0,4.3,43,6038,601214,36682,30644
50,380,12,0,False,2021-01-20T18:00:00Z,2,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,84333,795857,121339,37006
50,99,14,0,True,2021-01-23T20:00:00Z,2,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,84333,795857,121339,37006
50,190,4,1,False,2021-01-27T18:00:00Z,3,2,20,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,1.3,4.0,0.5,43,-6733,733181,63416,70149
50,206,16,0,False,2021-01-30T20:00:00Z,0,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,2655,738192,42463,39808
50,209,19,0,True,2021-02-03T20:15:00Z,1,3,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-21534,717456,25568,47102
