element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
421,5,9,1,True,2020-09-13T13:00:00Z,0,3,1,22,0,0,0,2,0,0,0,0,0,0,0,3,4.6,0.5,20.0,2.5,50,0,2162,0,0
421,12,7,1,False,2020-09-19T11:30:00Z,5,2,2,19,0,0,0,0,0,0,0,0,0,0,0,3,0.2,0.0,0.0,0.0,50,-263,2409,155,418
421,27,5,0,True,2020-09-26T16:30:00Z,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-346,2283,99,445
421,37,16,1,False,2020-10-04T11:00:00Z,2,0,4,45,0,0,0,1,0,0,0,0,0,0,0,1,1.0,0.2,17.0,1.8,49,-226,2171,84,310
421,48,4,0,True,2020-10-19T16:30:00Z,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-178,2071,50,228
421,51,3,1,False,2020-10-26T17:30:00Z,1,1,6,27,0,0,0,0,0,0,0,0,0,0,0,7,7.0,11.3,2.0,2.0,49,-135,1989,30,165
421,61,8,0,False,2020-11-02T17:30:00Z,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-77,1967,31,108
421,77,17,1,True,2020-11-08T12:00:00Z,0,1,8,1,0,0,0,0,0,0,0,0,0,0,0,1,0.2,0.8,0.0,0.1,48,-47,1973,59,106
421,84,13,0,False,2020-11-21T20:00:00Z,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-63,1967,56,119
421,97,15,0,True,2020-11-28T20:00:00Z,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-56,1941,39,95
421,107,6,0,True,2020-12-06T12:00:00Z,1,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-76,1890,23,99
421,116,14,0,False,2020-12-12T15:00:00Z,2,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-67,1845,11,78
421,128,12,0,False,2020-12-15T20:00:00Z,1,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-23,1833,24,47
421,138,2,0,True,2020-12-20T19:15:00Z,0,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,47,-34,1824,19,53
421,144,11,0,False,2020-12-27T16:30:00Z,1,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,47,-7,1857,41,48
421,158,10,0,True,2020-12-29T18:00:00Z,0,5,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,47,0,1870,28,28
421,168,1,0,True,2021-01-02T20:00:00Z,0,4,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,47,-18,1864,30,48
421,188,20,0,False,2021-01-16T12:30:00Z,2,3,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,47,-17,1834,23,40
421,175,19,0,False,2021-01-19T18:00:00Z,2,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,47,-17,1834,23,40
421,193,12,0,True,2021-01-26T20:15:00Z,0,5,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,47,-5,1860,58,63
421,207,8,0,True,2021-01-30T15:00:00Z,2,2,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,47,-36,1839,14,50
421,214,15,0,False,2021-02-02T18:00:00Z,2,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,47,-18,1833,20,38
