element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
69,7,5,8,True,2020-09-14T19:15:00Z,1,3,1,90,1,0,0,3,0,0,0,0,0,0,1,28,40.8,27.6,11.0,7.9,60,0,24123,0,0
69,16,14,6,False,2020-09-20T13:00:00Z,0,3,2,90,0,1,1,0,0,0,0,0,0,0,0,19,25.0,36.9,13.0,7.5,60,11942,47806,19867,7925
69,19,13,1,True,2020-09-26T11:30:00Z,2,3,3,90,0,0,0,3,0,0,0,1,0,0,0,-3,3.0,25.0,23.0,5.1,60,17274,71199,34630,17356
69,32,7,5,False,2020-10-03T14:00:00Z,4,2,4,90,0,1,0,4,0,0,0,0,0,0,0,14,0.0,17.4,43.0,5.9,60,59207,138726,81893,22686
69,40,6,2,False,2020-10-18T13:00:00Z,1,1,5,77,0,0,0,1,0,0,0,0,0,0,0,5,4.6,27.7,9.0,4.1,60,30407,174078,65427,35020
69,51,18,3,True,2020-10-26T17:30:00Z,1,1,6,78,0,0,1,0,0,0,0,0,0,0,0,11,9.2,4.7,14.0,2.8,60,1052,175554,25479,24427
69,67,17,2,False,2020-11-01T19:15:00Z,2,1,7,73,0,0,0,2,0,0,0,0,0,0,0,8,3.0,15.7,26.0,4.5,60,-28176,147073,4842,33018
69,70,4,0,True,2020-11-06T17:30:00Z,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,-10525,139788,12320,22845
69,79,2,0,False,2020-11-21T15:00:00Z,1,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,-51022,85200,419,51441
69,90,11,2,True,2020-11-28T12:30:00Z,1,1,10,65,0,0,0,1,0,0,0,0,0,0,0,3,0.0,2.3,1.0,0.2,60,-15381,72928,809,16190
69,100,16,1,True,2020-12-07T20:00:00Z,1,2,11,8,0,0,0,0,0,0,0,0,0,0,0,2,6.2,10.3,19.0,3.6,59,-6503,67198,1892,8395
69,114,9,0,False,2020-12-13T19:15:00Z,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,59,-5749,61917,1094,6843
69,121,8,3,False,2020-12-16T20:00:00Z,0,0,13,78,0,0,1,0,0,0,0,0,0,0,0,9,12.4,40.8,3.0,5.6,59,-2993,59240,1822,4815
69,129,15,3,True,2020-12-20T12:00:00Z,1,1,14,90,0,0,0,1,0,0,0,0,0,0,1,17,14.8,81.3,27.0,12.3,58,-1454,57980,2172,3626
69,147,19,2,False,2020-12-27T14:15:00Z,2,2,15,90,0,0,0,2,0,0,0,0,0,0,0,10,8.6,39.6,26.0,7.4,58,-3837,54155,744,4581
69,149,1,1,True,2020-12-29T18:00:00Z,0,1,16,15,0,0,0,0,0,0,0,0,0,0,0,3,0.2,0.8,0.0,0.1,58,-2072,52287,610,2682
69,159,20,11,True,2021-01-02T17:30:00Z,3,3,17,90,0,2,0,3,0,0,0,0,0,0,3,32,48.2,45.3,20.0,11.4,57,-2588,49833,707,3295
69,178,12,2,False,2021-01-13T18:00:00Z,1,0,18,85,0,0,0,1,0,0,0,0,0,0,0,12,11.4,27.1,12.0,5.1,57,1312,52936,4661,3349
69,182,10,3,False,2021-01-16T15:00:00Z,0,1,19,72,0,0,1,0,0,0,0,0,0,0,0,3,1.4,2.4,8.0,1.2,57,-587,50808,2620,3207
69,189,8,3,True,2021-01-27T19:30:00Z,0,0,20,90,0,0,1,0,0,0,0,0,0,0,0,13,21.2,25.8,61.0,10.8,57,-544,50991,3207,3751
69,200,17,10,True,2021-01-31T19:15:00Z,1,0,21,78,1,0,1,0,0,0,0,0,0,0,2,32,44.6,28.9,35.0,10.9,57,-3151,47843,271,3422
69,216,11,6,False,2021-02-03T20:15:00Z,0,1,22,86,0,1,1,0,0,0,0,0,0,0,0,21,26.4,23.4,19.0,6.9,57,461,48587,1936,1475
69,220,4,1,False,2021-02-06T15:00:00Z,1,1,23,28,0,0,0,0,0,0,0,0,0,0,0,1,0.2,0.8,2.0,0.3,57,8437,57691,10383,1946
69,230,2,2,True,2021-02-13T20:00:00Z,0,0,24,90,0,0,1,0,0,0,0,1,0,0,0,6,15.6,29.3,62.0,10.7,57,-4017,53568,3361,7378
69,241,6,2,True,2021-02-22T20:00:00Z,1,2,25,90,0,0,0,2,0,0,0,0,0,0,0,4,17.2,28.9,66.0,11.2,57,-241,53939,3747,3988
69,258,18,2,False,2021-02-27T15:00:00Z,1,0,26,90,0,0,0,1,0,0,0,0,0,0,0,2,14.2,14.8,9.0,3.8,57,-1048,53213,4105,5153
69,260,9,2,True,2021-03-06T20:00:00Z,1,2,27,90,0,0,0,2,0,0,0,0,0,0,0,3,8.8,9.0,2.0,2.0,57,1728,55410,5210,3482
69,277,16,10,False,2021-03-14T12:00:00Z,1,2,28,85,1,0,0,1,0,0,0,0,0,0,3,31,46.8,2.3,28.0,7.7,57,6276,61882,9639,3363
