element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
214,3,11,0,False,2020-09-12T16:30:00Z,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,0,87393,0,0
214,13,8,0,True,2020-09-19T14:00:00Z,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-7471,91425,4858,12329
214,25,15,0,False,2020-09-27T11:00:00Z,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-7571,88152,5387,12958
214,33,12,1,True,2020-10-03T16:30:00Z,1,1,4,13,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.3,0.0,0.0,40,-5006,85332,2962,7968
214,42,20,0,True,2020-10-19T19:00:00Z,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,3048,93522,12354,9306
214,50,2,0,False,2020-10-23T19:00:00Z,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,4355,100377,11160,6805
214,62,9,0,True,2020-11-02T20:00:00Z,1,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-790,100063,5508,6298
214,72,6,0,False,2020-11-07T15:00:00Z,4,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-2790,97648,2803,5593
214,82,1,0,True,2020-11-22T16:30:00Z,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-3367,95188,2622,5989
214,93,7,0,False,2020-11-28T17:30:00Z,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-1926,93879,1803,3729
214,102,5,0,False,2020-12-05T20:00:00Z,3,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-2560,91666,1554,4114
214,113,19,0,True,2020-12-11T20:00:00Z,1,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,39,1297,94594,4475,3178
214,122,14,0,True,2020-12-16T18:00:00Z,5,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,39,1643,97141,4341,2698
214,134,13,1,False,2020-12-20T16:30:00Z,6,2,14,18,0,0,0,0,0,0,0,0,0,0,0,4,2.8,0.3,0.0,0.3,39,72,97154,2853,2781
214,142,4,0,True,2020-12-27T12:00:00Z,1,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,39,7845,107881,11820,3975
214,158,18,0,False,2020-12-29T18:00:00Z,0,5,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,39,-715,106278,2951,3666
214,167,17,0,False,2021-01-02T12:30:00Z,3,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,39,-3479,103039,1792,5271
214,182,3,0,True,2021-01-16T15:00:00Z,0,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,39,-2228,98438,1239,3467
214,196,14,0,False,2021-01-26T18:00:00Z,1,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,39,-3265,95479,1214,4479
214,204,9,0,False,2021-01-31T14:00:00Z,1,3,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,39,-2357,93319,526,2883
214,212,7,0,True,2021-02-03T19:30:00Z,1,2,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,39,-1799,91727,696,2495
214,222,6,0,True,2021-02-08T20:00:00Z,2,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,39,-1824,90218,862,2686
214,229,1,0,False,2021-02-14T16:30:00Z,4,2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,39,-1755,88723,1213,2968
214,248,20,0,False,2021-02-19T20:00:00Z,1,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,39,-1552,87517,945,2497
214,172,16,0,True,2021-02-23T18:00:00Z,3,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,39,-1552,87517,945,2497
214,252,2,0,True,2021-02-27T17:30:00Z,0,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,39,-1497,86483,1359,2856
214,268,19,0,False,2021-03-08T20:00:00Z,2,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,39,-414,86323,1028,1442
214,273,5,0,True,2021-03-13T12:30:00Z,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,39,-415,86145,969,1384
