element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
155,4,17,12,False,2020-09-13T15:30:00Z,0,1,1,90,0,1,1,0,0,0,0,0,0,0,3,38,40.8,19.9,0.0,6.1,60,0,397204,0,0
155,12,18,1,True,2020-09-19T11:30:00Z,5,2,2,90,0,0,0,2,0,0,0,0,0,0,0,19,21.8,75.5,12.0,10.9,61,275313,878954,323021,47708
155,21,6,6,False,2020-09-26T14:00:00Z,1,2,3,90,0,1,0,1,0,0,0,0,0,0,1,22,26.8,17.3,12.0,5.6,61,43922,965634,160549,116627
155,32,3,1,True,2020-10-03T14:00:00Z,4,2,4,90,0,0,0,2,0,0,0,0,0,0,0,16,14.8,20.7,4.0,4.0,61,95825,1119737,150459,54634
155,41,11,7,True,2020-10-17T11:30:00Z,2,2,5,90,0,1,0,2,0,0,0,0,0,0,3,34,42.2,29.5,0.0,7.2,61,-45422,1082084,98120,143542
155,56,16,-2,False,2020-10-25T14:00:00Z,2,0,6,71,0,0,0,2,0,0,0,0,1,0,0,-3,0.0,3.1,2.0,0.5,62,236689,1358086,275939,39250
155,65,14,0,False,2020-11-01T14:00:00Z,2,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,62,-434149,902771,26260,460409
155,73,13,1,True,2020-11-07T12:30:00Z,1,3,8,90,0,0,0,3,0,0,0,0,0,0,0,12,8.2,11.4,8.0,2.8,61,-35744,885629,29131,64875
155,81,8,8,False,2020-11-22T12:00:00Z,2,3,9,90,0,2,0,2,0,0,0,0,0,0,1,42,50.8,54.9,4.0,11.0,61,65487,982149,109808,44321
155,93,10,0,True,2020-11-28T17:30:00Z,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,62,-130807,827721,67628,198435
155,101,4,0,False,2020-12-05T12:30:00Z,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,61,-261832,563548,984,262816
155,111,5,0,True,2020-12-12T20:00:00Z,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,61,-88262,488547,390,88652
155,123,9,0,False,2020-12-16T18:00:00Z,0,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,61,-38541,451651,171,38712
155,133,1,0,True,2020-12-19T17:30:00Z,2,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,-26469,425854,190,26659
155,146,15,0,False,2020-12-26T20:00:00Z,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,-30122,395503,669,30791
155,163,19,0,True,2021-01-01T17:30:00Z,0,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,-9501,377231,462,9963
155,176,20,5,False,2021-01-12T20:15:00Z,1,2,18,90,0,1,0,1,0,0,0,0,0,0,0,12,17.6,14.4,4.0,3.6,60,1962,398596,13339,11377
155,191,9,2,True,2021-01-27T20:15:00Z,1,1,20,90,0,0,0,1,0,0,0,0,0,0,0,14,15.8,34.7,20.0,7.1,60,15909,403214,24647,8738
155,203,14,1,True,2021-01-30T12:30:00Z,0,2,21,90,0,0,0,2,0,0,0,0,0,0,0,18,28.6,24.4,3.0,5.6,60,106760,514112,112508,5748
155,212,10,5,False,2021-02-03T19:30:00Z,1,2,22,90,0,1,0,1,0,0,0,0,0,0,0,22,37.2,19.3,0.0,5.7,61,-4383,508466,16177,20560
155,224,13,1,False,2021-02-06T20:00:00Z,3,3,23,90,0,0,0,3,0,0,0,0,0,0,0,7,0.0,5.4,8.0,1.3,61,14277,525016,30485,16208
155,233,8,1,True,2021-02-14T19:00:00Z,0,2,24,90,0,0,0,2,0,0,0,0,0,0,0,7,2.0,2.4,0.0,0.4,61,61671,602381,94700,33029
155,153,12,4,True,2021-02-17T20:15:00Z,1,3,24,90,0,1,0,3,0,0,0,0,0,0,0,17,9.8,4.3,4.0,1.8,61,61671,602381,94700,33029
155,244,11,7,False,2021-02-20T17:30:00Z,0,2,25,90,0,0,1,0,0,0,0,0,0,0,1,27,20.2,19.4,1.0,4.1,61,-24822,564737,14072,38894
155,251,16,6,True,2021-03-01T20:00:00Z,1,0,26,90,0,0,1,0,0,0,0,0,0,0,0,21,22.0,16.5,2.0,4.1,61,244963,834717,262448,17485
155,287,18,8,False,2021-03-04T18:00:00Z,0,1,26,90,0,0,1,0,0,0,0,0,0,0,2,30,28.0,27.5,4.0,6.0,61,244963,834717,262448,17485
155,262,5,0,False,2021-03-08T18:00:00Z,2,0,27,90,0,0,0,2,0,0,0,1,0,0,0,7,10.6,15.8,8.0,3.4,62,-11074,806107,21412,32486
155,271,4,1,True,2021-03-13T17:30:00Z,1,2,28,90,0,0,0,2,0,0,0,0,0,0,0,18,12.8,50.2,0.0,6.3,62,18572,827731,40212,21640
