element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
138,1,16,1,True,2020-09-12T14:00:00Z,1,0,1,16,0,0,0,0,0,0,0,0,0,0,0,6,6.0,28.3,0.0,3.4,60,0,57448,0,0
138,15,13,1,False,2020-09-19T16:30:00Z,1,3,2,2,0,0,0,0,0,0,0,0,0,0,0,5,8.2,0.2,0.0,0.8,60,-10435,52037,1828,12263
138,21,7,0,True,2020-09-26T14:00:00Z,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,59,-12339,41247,1443,13782
138,31,5,1,False,2020-10-03T11:30:00Z,4,0,4,23,0,0,0,2,0,0,0,0,0,0,0,5,5.6,5.5,0.0,1.1,58,-8374,33894,978,9352
138,40,3,1,True,2020-10-18T13:00:00Z,1,1,5,7,0,0,0,1,0,0,0,0,0,0,0,3,0.2,0.0,0.0,0.0,58,-4885,29715,779,5664
138,53,8,2,False,2020-10-24T14:00:00Z,1,2,6,90,0,0,0,1,0,0,0,0,0,0,0,10,7.2,11.9,1.0,2.0,57,-2749,27329,472,3221
138,68,20,-1,False,2020-10-30T20:00:00Z,2,0,7,85,0,0,0,2,0,0,0,0,1,0,0,3,3.6,3.6,1.0,0.8,57,-1574,26090,451,2025
138,72,10,0,True,2020-11-07T15:00:00Z,4,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,57,-5020,21021,55,5075
138,80,4,0,False,2020-11-23T17:30:00Z,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,56,-2891,18172,23,2914
138,92,14,0,True,2020-11-27T20:00:00Z,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,56,-984,17295,49,1033
138,107,18,1,False,2020-12-06T12:00:00Z,1,5,11,90,0,0,0,1,0,0,0,1,0,0,0,6,5.4,19.3,3.0,2.8,56,-282,17166,272,554
138,110,17,1,True,2020-12-13T14:15:00Z,1,1,12,72,0,0,0,1,0,0,0,1,0,0,0,11,10.8,11.5,16.0,3.8,56,-97,17189,312,409
138,125,19,1,False,2020-12-16T20:00:00Z,1,1,13,90,0,0,0,1,0,0,0,1,0,0,0,13,19.6,16.4,1.0,3.7,56,19,17301,316,297
138,132,11,2,True,2020-12-19T12:30:00Z,0,7,14,90,0,0,0,7,0,0,0,0,0,0,0,20,14.6,19.6,13.0,4.7,56,-136,17233,197,333
138,140,2,1,False,2020-12-26T15:00:00Z,3,0,15,68,0,0,0,2,0,0,0,1,0,0,0,7,10.6,3.3,22.0,3.6,56,-105,17303,339,444
138,152,9,2,True,2020-12-28T15:00:00Z,1,1,16,90,0,0,0,1,0,0,0,0,0,0,0,9,9.4,1.6,0.0,1.1,56,-127,17249,180,307
138,162,15,3,True,2021-01-02T15:00:00Z,2,0,17,90,0,0,1,0,0,0,0,0,0,0,0,20,16.8,26.0,0.0,4.3,56,98,17450,444,346
138,169,1,3,False,2021-01-14T20:00:00Z,0,0,18,89,0,0,1,0,0,0,0,0,0,0,0,7,8.4,0.9,0.0,0.9,56,-334,17500,372,706
138,185,12,2,False,2021-01-17T19:15:00Z,4,0,19,67,0,0,0,3,0,0,0,0,0,0,0,11,7.8,0.7,2.0,1.1,56,-209,17023,139,348
138,195,19,2,True,2021-01-26T18:00:00Z,2,3,20,72,0,0,0,3,0,0,0,0,0,0,0,11,9.2,2.3,2.0,1.4,56,-121,17044,211,332
138,202,20,3,True,2021-01-30T15:00:00Z,1,0,21,90,0,0,1,0,0,0,0,0,0,0,0,9,26.8,2.3,9.0,3.8,56,-234,16857,57,291
138,217,14,1,False,2021-02-02T20:15:00Z,1,2,22,90,0,0,0,1,0,0,0,1,0,0,0,12,27.2,2.9,0.0,3.0,56,-109,16803,82,191
138,222,10,1,False,2021-02-08T20:00:00Z,2,0,23,90,0,0,0,2,0,0,0,1,0,0,0,5,1.0,4.1,0.0,0.5,56,-170,16696,85,255
138,232,4,2,True,2021-02-13T15:00:00Z,0,3,24,90,0,0,0,3,0,0,0,0,0,0,0,5,7.0,15.5,4.0,2.7,56,-120,16661,242,362
