element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
197,3,11,0,False,2020-09-12T16:30:00Z,4,3,1,90,0,0,0,4,0,0,0,0,0,0,0,15,35.6,4.3,0.0,4.0,45,0,237865,0,0
197,13,8,1,True,2020-09-19T14:00:00Z,4,3,2,90,0,0,0,3,0,0,0,0,0,0,0,12,18.8,1.3,0.0,2.0,45,21987,284510,50630,28643
197,25,15,7,False,2020-09-27T11:00:00Z,0,1,3,90,0,0,1,0,0,0,0,0,0,0,1,28,23.2,12.3,10.0,4.6,45,-26160,260991,22371,48531
197,33,12,2,True,2020-10-03T16:30:00Z,1,1,4,90,0,0,0,1,0,0,0,0,0,0,0,12,32.0,14.8,23.0,7.0,45,-3015,262791,18146,21161
197,42,20,1,True,2020-10-19T19:00:00Z,0,1,5,90,0,0,0,1,0,0,0,1,0,0,0,11,25.2,45.6,22.0,9.3,45,27121,299049,61956,34835
197,50,2,6,False,2020-10-23T19:00:00Z,0,3,6,90,0,0,1,0,0,0,0,0,0,0,0,27,22.6,10.7,0.0,3.3,45,2262,301258,23420,21158
197,62,9,0,True,2020-11-02T20:00:00Z,1,4,7,90,0,0,0,4,0,0,0,0,0,0,0,20,15.6,30.3,4.0,5.0,45,18994,324419,27978,8984
197,72,6,0,False,2020-11-07T15:00:00Z,4,1,8,90,0,0,0,4,0,0,0,0,0,0,0,14,23.4,3.6,10.0,3.7,45,-5960,318044,11063,17023
197,82,1,6,True,2020-11-22T16:30:00Z,0,0,9,69,0,0,1,0,0,0,0,0,0,0,0,22,7.6,3.8,10.0,2.1,45,-26515,290303,5262,31777
197,93,7,5,False,2020-11-28T17:30:00Z,0,1,10,90,0,0,1,0,0,0,0,1,0,0,0,22,18.0,42.6,13.0,7.4,45,-5593,287669,6079,11672
197,102,5,1,False,2020-12-05T20:00:00Z,3,1,11,90,0,0,0,3,0,0,0,0,0,0,0,12,13.4,1.6,0.0,1.5,45,-377,287339,9375,9752
197,113,19,1,True,2020-12-11T20:00:00Z,1,2,12,90,0,0,0,2,0,0,0,0,0,0,0,20,44.0,16.3,7.0,6.7,45,6435,297337,16635,10200
197,122,14,1,True,2020-12-16T18:00:00Z,5,2,13,90,0,0,0,2,0,0,0,0,0,0,0,19,24.2,11.8,18.0,5.4,45,779,298833,12232,11453
197,134,13,-1,False,2020-12-20T16:30:00Z,6,2,14,90,0,0,0,6,0,0,0,0,0,0,0,18,23.6,0.9,26.0,5.1,45,-11454,287262,6132,17586
197,142,4,6,True,2020-12-27T12:00:00Z,1,0,15,90,0,0,1,0,0,0,0,0,0,0,0,26,25.2,13.2,0.0,3.8,45,-7903,280490,12657,20560
197,158,18,6,False,2020-12-29T18:00:00Z,0,5,16,90,0,0,1,0,0,0,0,0,0,0,0,28,23.6,1.8,9.0,3.4,45,-2433,279121,10506,12939
197,167,17,1,False,2021-01-02T12:30:00Z,3,0,17,90,0,0,0,3,0,0,0,0,0,0,0,17,20.0,0.9,0.0,2.1,45,-6934,272375,10332,17266
197,182,3,1,True,2021-01-16T15:00:00Z,0,1,19,90,0,0,0,1,0,0,0,1,0,0,0,11,25.2,22.9,6.0,5.4,45,-16846,231791,5901,22747
197,196,14,2,False,2021-01-26T18:00:00Z,1,2,20,90,0,0,0,1,0,0,0,0,0,0,0,16,24.4,12.8,6.0,4.3,45,-15355,221228,4163,19518
197,204,9,1,False,2021-01-31T14:00:00Z,1,3,21,90,0,0,0,1,0,0,0,1,0,0,0,9,26.2,1.3,10.0,3.8,45,-12904,208538,1930,14834
197,212,7,0,True,2021-02-03T19:30:00Z,1,2,22,90,0,0,0,2,0,0,0,1,0,0,0,13,26.4,27.8,28.0,8.2,45,-6069,202908,2236,8305
197,222,6,6,True,2021-02-08T20:00:00Z,2,0,23,90,0,0,1,0,0,0,0,0,0,0,0,30,28.4,34.4,4.0,6.7,44,-7050,196257,3225,10275
197,229,1,0,False,2021-02-14T16:30:00Z,4,2,24,90,0,0,0,4,0,0,0,0,0,0,0,12,14.8,1.2,2.0,1.8,44,-4285,191812,5238,9523
