element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
127,1,16,0,True,2020-09-12T14:00:00Z,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,1486,0,0
127,15,13,2,False,2020-09-19T16:30:00Z,1,3,2,90,0,0,0,1,0,0,0,0,0,0,0,12,17.2,0.8,0.0,1.8,45,303,3758,657,354
127,21,7,1,True,2020-09-26T14:00:00Z,1,2,3,90,0,0,0,2,0,0,0,0,0,0,0,12,11.2,0.3,2.0,1.4,45,6181,15556,8132,1951
127,31,5,0,False,2020-10-03T11:30:00Z,4,0,4,90,0,0,0,4,0,0,0,0,0,0,0,4,5.2,0.5,4.0,1.0,45,1030,18389,3497,2467
127,40,3,0,True,2020-10-18T13:00:00Z,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,2035,22351,5422,3387
127,53,8,1,False,2020-10-24T14:00:00Z,1,2,6,5,0,0,0,1,0,0,0,0,0,0,0,5,3.0,0.0,0.0,0.3,45,-576,22186,2330,2906
127,68,20,0,False,2020-10-30T20:00:00Z,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-1005,21718,1419,2424
127,72,10,0,True,2020-11-07T15:00:00Z,4,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-1401,20582,1011,2412
127,80,4,0,False,2020-11-23T17:30:00Z,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-1089,19963,961,2050
127,92,14,0,True,2020-11-27T20:00:00Z,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-636,19591,629,1265
127,107,18,0,False,2020-12-06T12:00:00Z,1,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-968,18811,441,1409
127,110,17,0,True,2020-12-13T14:15:00Z,1,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-795,18211,410,1205
127,125,19,0,False,2020-12-16T20:00:00Z,1,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-563,17766,289,852
127,132,11,0,True,2020-12-19T12:30:00Z,0,7,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-1386,16371,22,1408
127,140,2,0,False,2020-12-26T15:00:00Z,3,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-1679,14658,38,1717
127,152,9,0,True,2020-12-28T15:00:00Z,1,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-539,14182,14,553
127,162,15,0,True,2021-01-02T15:00:00Z,2,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-21,14289,339,360
127,169,1,0,False,2021-01-14T20:00:00Z,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-244,14128,431,675
127,185,12,0,False,2021-01-17T19:15:00Z,4,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-457,13685,13,470
127,195,19,0,True,2021-01-26T18:00:00Z,2,3,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-647,13064,19,666
127,202,20,0,True,2021-01-30T15:00:00Z,1,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-260,12822,19,279
127,217,14,0,False,2021-02-02T20:15:00Z,1,2,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-236,12592,11,247
127,222,10,0,False,2021-02-08T20:00:00Z,2,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-234,12363,15,249
127,232,4,0,True,2021-02-13T15:00:00Z,0,3,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-263,12109,25,288
127,241,3,0,False,2021-02-22T20:00:00Z,1,2,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-160,11953,21,181
127,250,8,0,True,2021-02-28T12:00:00Z,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-145,11816,23,168
127,281,13,0,True,2021-03-03T20:15:00Z,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-145,11816,23,168
127,266,17,0,False,2021-03-07T19:15:00Z,4,1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-96,11732,13,109
127,270,18,0,True,2021-03-13T15:00:00Z,1,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-70,11667,28,98
