element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
221,5,18,1,False,2020-09-13T13:00:00Z,0,3,1,23,0,0,0,0,0,0,0,0,0,0,0,3,0.4,0.8,0.0,0.1,55,0,12864,0,0
221,14,4,1,True,2020-09-20T18:00:00Z,4,2,2,7,0,0,0,0,0,0,0,0,0,0,0,3,0.2,0.1,2.0,0.2,55,-1284,13995,1006,2290
221,24,12,0,False,2020-09-27T15:30:00Z,2,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-2087,12534,621,2708
221,34,19,0,True,2020-10-04T11:00:00Z,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-1261,11647,695,1956
221,43,2,0,True,2020-10-18T18:15:00Z,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-1356,10556,305,1661
221,49,1,1,False,2020-10-25T19:15:00Z,0,1,6,5,0,0,0,0,0,0,0,0,0,0,0,7,2.4,10.9,0.0,1.3,53,-878,9789,118,996
221,62,10,2,False,2020-11-02T20:00:00Z,1,4,7,90,0,0,0,1,0,0,0,0,0,0,0,7,19.0,22.9,2.0,4.4,53,-502,9414,118,620
221,74,20,1,True,2020-11-08T14:00:00Z,1,0,8,45,0,0,0,0,0,0,0,0,0,0,0,8,12.0,15.7,0.0,2.8,53,-320,9156,185,505
221,83,11,2,False,2020-11-22T19:15:00Z,3,0,9,90,0,0,0,3,0,0,0,0,0,0,0,13,19.6,11.7,4.0,3.5,53,-352,8889,192,544
221,94,8,0,True,2020-11-30T17:30:00Z,1,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,38,9028,356,318
221,105,15,5,False,2020-12-06T14:15:00Z,1,2,11,90,0,1,0,1,0,0,0,0,0,0,0,22,12.6,6.8,25.0,4.4,53,-307,8745,157,464
221,114,3,3,True,2020-12-13T19:15:00Z,3,0,12,90,0,0,1,0,0,0,0,0,0,0,0,18,20.0,32.0,27.0,7.9,53,216,9096,510,294
221,123,7,0,True,2020-12-16T18:00:00Z,0,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-39,9092,249,288
221,137,17,2,False,2020-12-20T14:15:00Z,0,2,14,90,0,0,1,0,0,0,0,1,0,0,0,9,14.2,26.1,26.0,6.6,53,-257,8850,118,375
221,143,13,2,True,2020-12-26T12:30:00Z,2,2,15,80,0,0,0,2,0,0,0,0,0,0,0,7,3.2,2.1,10.0,1.5,53,34,8995,392,358
221,152,6,0,False,2020-12-28T15:00:00Z,1,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,191,9241,432,241
221,165,14,5,False,2021-01-03T14:15:00Z,1,2,17,90,0,1,0,1,0,0,0,0,0,0,0,17,31.8,13.1,10.0,5.5,53,-153,9123,309,462
221,183,16,2,True,2021-01-16T20:00:00Z,2,0,19,90,0,0,1,0,0,0,0,1,0,0,0,7,13.8,37.5,4.0,5.5,53,679,10154,1065,386
221,173,5,6,True,2021-01-19T20:15:00Z,2,0,19,76,0,1,1,0,0,0,0,0,0,0,0,22,30.4,38.9,9.0,7.8,53,679,10154,1065,386
221,191,7,2,False,2021-01-27T20:15:00Z,1,1,20,67,0,0,0,1,0,0,0,0,0,0,0,6,3.0,2.1,19.0,2.4,53,429,10491,1113,684
221,204,10,1,True,2021-01-31T14:00:00Z,1,3,21,45,0,0,0,1,0,0,0,0,0,0,0,0,9.6,2.9,48.0,6.1,53,-212,10319,399,611
221,211,8,1,False,2021-02-03T18:00:00Z,0,2,22,29,0,0,0,0,0,0,0,0,0,0,0,1,3.6,0.4,0.0,0.4,53,-139,10247,405,544
221,228,20,1,False,2021-02-07T14:00:00Z,0,0,23,29,0,0,0,0,0,0,0,0,0,0,0,9,8.2,25.3,1.0,3.5,52,-460,9816,154,614
221,234,11,2,True,2021-02-13T12:30:00Z,3,1,24,73,0,0,0,1,0,0,0,0,0,0,0,9,8.4,0.2,2.0,1.1,52,-429,9421,201,630
221,240,2,0,False,2021-02-21T14:05:00Z,1,2,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,52,-196,9300,173,369
221,253,1,1,True,2021-02-28T12:00:00Z,1,3,26,45,0,0,0,1,0,0,0,0,0,0,0,9,16.4,21.9,22.0,6.0,52,54,9431,518,464
221,280,4,1,False,2021-03-03T18:00:00Z,1,1,26,23,0,0,0,0,0,0,0,0,0,0,0,4,6.0,25.9,8.0,4.0,52,54,9431,518,464
221,260,3,4,False,2021-03-06T20:00:00Z,1,2,27,18,0,1,0,0,0,0,0,0,0,0,0,15,18.0,14.8,0.0,3.3,52,309,9782,710,401
221,274,15,4,True,2021-03-14T14:00:00Z,5,0,28,45,0,1,0,0,0,0,0,0,0,0,0,14,21.4,20.7,2.0,4.4,52,528,10374,985,457
