element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
294,15,6,0,True,2020-09-19T16:30:00Z,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-354,4997,211,565
294,19,3,0,False,2020-09-26T11:30:00Z,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-748,4764,97,845
294,35,17,0,True,2020-10-04T15:30:00Z,1,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-519,4577,69,588
294,45,14,0,False,2020-10-17T19:00:00Z,1,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-326,4582,101,427
294,55,5,0,True,2020-10-24T16:30:00Z,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-177,4615,108,285
294,64,1,0,True,2020-11-01T16:30:00Z,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-179,4604,79,258
294,73,7,0,False,2020-11-07T12:30:00Z,1,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-153,4570,68,221
294,84,18,0,True,2020-11-21T20:00:00Z,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-172,4566,96,268
294,96,16,0,False,2020-11-29T14:00:00Z,2,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-242,4332,10,252
294,108,19,0,False,2020-12-05T17:30:00Z,1,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-111,4227,17,128
294,115,12,0,True,2020-12-12T17:30:00Z,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-93,4153,13,106
294,124,15,0,False,2020-12-17T20:00:00Z,2,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-59,4103,8,67
294,134,10,0,True,2020-12-20T16:30:00Z,6,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-58,4044,9,67
294,143,9,0,False,2020-12-26T12:30:00Z,2,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-80,3968,21,101
294,154,20,0,True,2020-12-29T20:00:00Z,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-37,3939,5,42
294,164,2,0,True,2021-01-01T20:00:00Z,2,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-28,3908,10,38
294,379,4,0,False,2021-01-12T20:15:00Z,0,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-38,3871,25,63
294,184,11,0,False,2021-01-17T16:30:00Z,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-12,3869,18,30
294,171,8,0,False,2021-01-20T20:15:00Z,1,2,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-12,3869,18,30
294,192,15,0,True,2021-01-27T20:15:00Z,1,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-23,3853,23,46
294,199,1,0,False,2021-01-30T17:30:00Z,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,0,3856,29,29
294,213,16,0,True,2021-02-02T20:15:00Z,9,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-10,3849,30,40
294,224,7,0,True,2021-02-06T20:00:00Z,3,3,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-38,3809,1,39
294,237,18,0,False,2021-02-14T14:00:00Z,1,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-33,3777,0,33
