element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
427,6,14,2,True,2020-09-12T19:00:00Z,0,2,1,66,0,0,0,1,0,0,0,0,0,0,0,8,4.4,12.2,0.0,1.7,50,0,143896,0,0
427,9,1,0,False,2020-09-19T19:00:00Z,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-29130,115916,1800,30930
427,28,20,1,True,2020-09-27T18:00:00Z,4,0,3,2,0,0,0,0,0,0,0,0,0,0,0,3,2.6,0.5,0.0,0.3,49,-34931,81800,587,35518
427,34,9,1,False,2020-10-04T11:00:00Z,0,3,4,2,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.1,0.0,0.0,49,-10582,72826,1143,11725
427,47,17,0,False,2020-10-18T15:30:00Z,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-13096,60073,801,13897
427,57,12,0,True,2020-10-24T11:30:00Z,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-7471,53146,876,8347
427,63,11,0,False,2020-10-31T17:30:00Z,2,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-5278,48222,454,5732
427,78,8,0,True,2020-11-07T20:00:00Z,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,47,-4633,43720,638,5271
427,86,15,1,False,2020-11-22T14:00:00Z,0,1,9,1,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.3,0.0,0.0,47,-6842,36540,118,6960
427,98,2,1,True,2020-11-30T20:00:00Z,2,1,10,11,0,0,0,0,0,0,0,0,0,0,0,3,0.4,0.0,0.0,0.0,47,-1189,35974,555,1744
427,108,13,0,True,2020-12-05T17:30:00Z,1,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,47,-1611,34360,552,2163
427,113,10,0,False,2020-12-11T20:00:00Z,1,2,12,6,0,0,0,0,0,0,0,1,0,0,0,-1,0.0,0.7,0.0,0.1,47,-1071,33487,499,1570
427,125,6,0,True,2020-12-16T20:00:00Z,1,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,47,-935,32610,307,1242
427,131,5,2,False,2020-12-21T20:00:00Z,3,0,14,90,0,0,0,3,0,0,0,0,0,0,0,13,7.4,3.9,6.0,1.7,46,-682,32003,354,1036
427,147,3,1,True,2020-12-27T14:15:00Z,2,2,15,45,0,0,0,1,0,0,0,0,0,0,0,4,4.0,16.9,0.0,2.1,46,104,32358,1407,1303
427,156,16,0,False,2020-12-29T18:00:00Z,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,46,-420,31942,579,999
427,163,7,0,False,2021-01-01T17:30:00Z,0,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,46,-528,31483,558,1086
427,187,4,0,True,2021-01-16T15:00:00Z,1,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,46,-416,30242,522,938
427,175,18,1,True,2021-01-19T18:00:00Z,2,1,19,6,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.3,0.0,0.0,46,-416,30242,522,938
427,195,6,1,False,2021-01-26T18:00:00Z,2,3,20,3,0,0,0,1,0,0,0,0,0,0,0,3,0.2,0.1,0.0,0.0,46,-827,29514,319,1146
427,208,11,1,True,2021-01-31T16:30:00Z,1,3,21,11,0,0,0,1,0,0,0,0,0,0,0,3,0.8,0.8,0.0,0.2,46,-837,28719,126,963
427,209,2,0,False,2021-02-03T20:15:00Z,1,3,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,46,-482,28282,170,652
