element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
44,10,15,0,True,2020-09-21T17:00:00Z,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-2676,36986,2097,4773
44,22,8,1,False,2020-09-28T16:45:00Z,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,5,7.2,0.3,0.0,0.8,45,-3991,33838,1765,5756
44,30,11,0,True,2020-10-04T18:15:00Z,7,2,4,10,0,0,0,0,0,0,0,1,0,0,0,-1,1.2,0.3,7.0,0.9,45,-3003,31291,758,3761
44,43,9,0,False,2020-10-18T18:15:00Z,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-2927,28864,1468,4395
44,50,10,0,True,2020-10-23T19:00:00Z,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-235,29308,2826,3061
44,59,16,0,True,2020-11-01T12:00:00Z,3,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-903,28613,1220,2123
44,69,1,0,False,2020-11-08T19:15:00Z,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-1350,27353,626,1976
44,79,3,0,True,2020-11-21T15:00:00Z,1,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-1524,25987,815,2339
44,98,19,0,False,2020-11-30T20:00:00Z,2,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-749,25451,544,1293
44,118,20,1,False,2020-12-12T12:30:00Z,0,1,12,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,43,7540,38615,10330,2790
44,120,4,3,True,2020-12-17T18:00:00Z,0,0,13,90,0,0,1,0,0,0,0,0,0,0,0,5,2.8,11.2,0.0,1.4,43,6479,45093,9525,3046
44,138,18,0,False,2020-12-20T19:15:00Z,0,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,4495,49633,7830,3335
44,140,6,0,True,2020-12-26T15:00:00Z,3,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,8706,60878,14276,5570
44,151,5,0,False,2020-12-28T17:30:00Z,1,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,1383,61355,5693,4310
44,164,13,0,False,2021-01-01T20:00:00Z,2,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-1112,60186,5066,6178
44,380,12,0,False,2021-01-20T18:00:00Z,2,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-1808,56893,3271,5079
44,99,14,3,True,2021-01-23T20:00:00Z,2,0,19,90,0,0,1,0,0,0,0,0,0,0,0,18,12.0,5.0,1.0,1.8,43,-1808,56893,3271,5079
44,190,4,0,False,2021-01-27T18:00:00Z,3,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-3810,52088,2161,5971
44,206,16,1,False,2021-01-30T20:00:00Z,0,1,21,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,43,-4814,47302,408,5222
44,209,19,0,True,2021-02-03T20:15:00Z,1,3,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-3080,44366,258,3338
44,219,1,2,True,2021-02-06T12:30:00Z,1,0,23,90,0,0,1,0,0,0,0,1,0,0,0,3,14.4,10.8,0.0,2.5,43,-2595,41838,278,2873
44,230,3,0,False,2021-02-13T20:00:00Z,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-2286,39602,515,2801
44,240,9,0,True,2021-02-21T14:05:00Z,1,2,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-1609,38135,210,1819
44,252,10,3,False,2021-02-27T17:30:00Z,0,1,26,90,0,0,1,0,0,0,0,0,0,0,0,12,14.6,0.3,0.0,1.5,43,-1362,36858,354,1716
44,285,15,2,False,2021-03-03T18:00:00Z,1,0,26,67,0,0,0,1,0,0,0,0,0,0,0,17,8.2,2.0,2.0,1.2,43,-1362,36858,354,1716
44,259,20,0,True,2021-03-06T17:30:00Z,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,243,37258,1042,799
44,276,14,0,False,2021-03-12T20:00:00Z,1,1,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-453,36848,506,959
