element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
165,4,17,0,False,2020-09-13T15:30:00Z,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,8203,0,0
165,12,18,0,True,2020-09-19T11:30:00Z,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-2513,5773,77,2590
165,21,6,0,False,2020-09-26T14:00:00Z,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-1560,4411,73,1633
165,32,3,0,True,2020-10-03T14:00:00Z,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-676,3804,36,712
165,41,11,0,True,2020-10-17T11:30:00Z,2,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-427,3431,48,475
165,56,16,0,False,2020-10-25T14:00:00Z,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-265,3201,27,292
165,65,14,0,False,2020-11-01T14:00:00Z,2,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-158,3057,32,190
165,73,13,0,True,2020-11-07T12:30:00Z,1,3,8,90,0,0,0,3,0,0,0,1,0,0,0,18,22.0,0.3,0.0,2.2,48,-101,2967,46,147
165,81,8,0,False,2020-11-22T12:00:00Z,2,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,1137,4646,1426,289
165,93,10,2,True,2020-11-28T17:30:00Z,0,1,10,81,0,0,0,1,0,0,0,0,0,0,0,14,20.4,0.7,19.0,4.0,48,66,4730,482,416
165,101,4,0,False,2020-12-05T12:30:00Z,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,819,6071,1262,443
165,111,5,6,True,2020-12-12T20:00:00Z,1,0,12,90,0,0,1,0,0,0,0,0,0,0,0,23,22.0,0.8,0.0,2.3,48,-600,5299,230,830
165,123,9,14,False,2020-12-16T18:00:00Z,0,2,13,90,1,0,1,0,0,0,0,1,0,0,3,34,50.0,10.8,33.0,9.4,48,418,5916,659,241
165,133,1,2,True,2020-12-19T17:30:00Z,2,1,14,90,0,0,0,1,0,0,0,0,0,0,0,14,11.2,16.3,4.0,3.2,48,22864,30465,23974,1110
165,146,15,7,False,2020-12-26T20:00:00Z,0,1,15,90,0,0,1,0,0,0,0,0,0,0,1,29,19.4,1.9,3.0,2.4,48,16398,48646,21175,4777
165,163,19,2,True,2021-01-01T17:30:00Z,0,1,17,90,0,0,0,1,0,0,0,0,0,0,0,18,32.8,21.2,2.0,5.6,48,46172,108462,53530,7358
165,176,20,1,False,2021-01-12T20:15:00Z,1,2,18,90,0,0,0,1,0,0,0,1,0,0,0,7,4.2,1.2,0.0,0.5,48,18895,165687,38165,19270
165,191,9,2,True,2021-01-27T20:15:00Z,1,1,20,79,0,0,0,1,0,0,0,0,0,0,0,12,11.4,14.2,0.0,2.6,48,-12815,84799,1547,14362
165,203,14,0,True,2021-01-30T12:30:00Z,0,2,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-3634,81594,2851,6485
165,212,10,1,False,2021-02-03T19:30:00Z,1,2,22,90,0,0,0,1,0,0,0,1,0,0,0,3,7.0,1.5,0.0,0.9,48,-10197,71437,287,10484
165,224,13,1,False,2021-02-06T20:00:00Z,3,3,23,90,0,0,0,3,0,0,0,0,0,0,0,15,19.6,0.3,0.0,2.0,48,-7388,64311,455,7843
165,233,8,1,True,2021-02-14T19:00:00Z,0,2,24,90,0,0,0,2,0,0,0,0,0,0,0,26,34.6,19.6,0.0,5.4,48,1470,66393,6586,5116
165,153,12,1,True,2021-02-17T20:15:00Z,1,3,24,90,0,0,0,3,0,0,0,0,0,0,0,12,15.4,0.1,0.0,1.6,48,1470,66393,6586,5116
165,244,11,6,False,2021-02-20T17:30:00Z,0,2,25,90,0,0,1,0,0,0,0,0,0,0,0,20,8.0,0.6,0.0,0.9,48,-4272,62086,1525,5797
165,251,16,6,True,2021-03-01T20:00:00Z,1,0,26,90,0,0,1,0,0,0,0,0,0,0,0,19,18.4,0.4,0.0,1.9,48,22884,86995,28183,5299
165,287,18,5,False,2021-03-04T18:00:00Z,0,1,26,90,0,0,1,0,0,0,0,1,0,0,0,25,17.6,0.9,0.0,1.9,48,22884,86995,28183,5299
165,262,5,0,False,2021-03-08T18:00:00Z,2,0,27,90,0,0,0,2,0,0,0,1,0,0,0,6,3.0,1.3,0.0,0.4,48,-1325,84657,2923,4248
165,271,4,1,True,2021-03-13T17:30:00Z,1,2,28,72,0,0,0,2,0,0,0,0,0,0,0,8,6.8,6.3,2.0,1.5,48,1266,86250,4811,3545
