element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
107,7,3,0,False,2020-09-14T19:15:00Z,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,0,7235,0,0
107,11,11,2,True,2020-09-20T15:30:00Z,0,2,2,78,0,0,0,2,0,0,0,0,0,0,0,12,2.8,7.8,0.0,1.1,55,1793,15328,3838,2045
107,27,18,1,False,2020-09-26T16:30:00Z,3,3,3,45,0,0,0,3,0,0,0,0,0,0,0,9,5.6,2.8,1.0,0.9,55,3183,24340,7357,4174
107,31,6,1,True,2020-10-03T11:30:00Z,4,0,4,7,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.3,0.0,0.0,55,-278,26520,4658,4936
107,39,16,0,True,2020-10-17T14:00:00Z,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-3630,24648,2319,5949
107,55,13,0,False,2020-10-24T16:30:00Z,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-2864,22553,914,3778
107,60,4,0,False,2020-10-31T15:00:00Z,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-2134,20884,480,2614
107,71,15,5,True,2020-11-07T17:30:00Z,4,1,8,70,0,1,0,1,0,0,0,0,0,0,0,21,26.2,15.7,13.0,5.5,53,-1852,19233,346,2198
107,85,14,3,False,2020-11-21T12:30:00Z,0,2,9,90,0,0,1,0,0,0,0,0,0,0,0,21,14.6,46.4,12.0,7.3,53,-797,18733,797,1594
107,91,17,3,True,2020-11-29T16:30:00Z,0,0,10,90,0,0,1,0,0,0,0,0,0,0,0,21,21.8,6.3,8.0,3.6,53,407,19423,1073,666
107,102,10,1,True,2020-12-05T20:00:00Z,3,1,11,23,0,0,0,0,0,0,0,0,0,0,0,5,5.4,10.8,0.0,1.6,53,848,20618,1836,988
107,111,7,2,False,2020-12-12T20:00:00Z,1,0,12,81,0,0,0,1,0,0,0,0,0,0,0,12,11.0,17.2,4.0,3.2,53,-418,20286,908,1326
107,126,20,1,False,2020-12-15T18:00:00Z,2,1,13,19,0,0,0,1,0,0,0,0,0,0,0,4,7.0,0.8,15.0,2.3,53,65,20543,808,743
107,131,19,1,True,2020-12-21T20:00:00Z,3,0,14,24,0,0,0,0,0,0,0,0,0,0,0,2,1.2,1.6,0.0,0.3,53,-502,20139,448,950
107,139,1,1,False,2020-12-26T17:30:00Z,3,1,15,45,0,0,0,2,0,0,0,0,0,0,0,3,1.8,1.5,0.0,0.3,53,-453,19966,684,1137
107,151,2,0,True,2020-12-28T17:30:00Z,1,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-282,19799,341,623
107,161,12,1,True,2021-01-03T16:30:00Z,1,3,17,76,0,0,0,3,0,0,0,1,0,0,0,6,0.0,4.6,9.0,1.4,53,-583,19321,245,828
107,181,8,3,False,2021-01-16T17:30:00Z,0,1,19,90,0,0,1,0,0,0,0,0,0,0,0,13,15.8,18.7,4.0,3.9,53,8,19009,396,388
107,173,9,1,False,2021-01-19T20:15:00Z,2,0,19,90,0,0,0,2,0,0,0,1,0,0,0,19,19.6,5.7,2.0,2.7,53,8,19009,396,388
107,194,20,3,True,2021-01-27T18:00:00Z,0,0,20,90,0,0,1,0,0,0,0,0,0,0,0,19,29.6,33.7,1.0,6.4,53,-310,18819,287,597
107,201,4,3,True,2021-01-31T12:00:00Z,2,0,21,90,0,0,1,0,0,0,0,0,0,0,0,12,22.0,33.0,8.0,6.3,53,-86,18861,277,363
107,218,17,3,False,2021-02-04T20:00:00Z,0,1,22,73,0,0,1,0,0,0,0,0,0,0,0,14,6.2,5.1,22.0,3.3,53,172,19159,521,349
107,226,15,2,False,2021-02-07T19:15:00Z,1,2,23,90,0,0,0,1,0,0,0,0,0,0,0,17,18.4,21.5,1.0,4.1,53,128,19523,636,508
107,231,14,3,True,2021-02-15T20:00:00Z,2,0,24,90,0,0,1,0,0,0,0,0,0,0,0,26,24.6,32.3,12.0,6.9,53,142,19991,863,721
