element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
481,5,9,2,True,2020-09-13T13:00:00Z,0,3,1,90,0,0,0,3,0,0,0,0,0,0,0,9,8.6,14.7,26.0,4.9,60,0,182852,0,0
481,12,7,10,False,2020-09-19T11:30:00Z,5,2,2,70,1,1,0,5,0,0,0,0,0,0,0,33,55.0,12.0,11.0,7.8,60,-36160,150712,4945,41105
481,27,5,5,True,2020-09-26T16:30:00Z,3,3,3,90,0,1,0,2,0,0,0,0,0,0,0,21,28.8,28.3,0.0,5.7,60,8997,170094,42449,33452
481,37,16,2,False,2020-10-04T11:00:00Z,2,0,4,90,0,0,0,2,0,0,0,0,0,0,0,9,7.2,18.3,10.0,3.6,60,82914,264047,111024,28110
481,48,4,3,True,2020-10-19T16:30:00Z,0,0,5,87,0,0,1,0,0,0,0,0,0,0,0,15,15.2,59.3,34.0,10.9,60,-23505,240207,30711,54216
481,51,3,2,False,2020-10-26T17:30:00Z,1,1,6,90,0,0,0,1,0,0,0,0,0,0,0,9,4.4,17.0,8.0,2.9,60,-32315,207851,6770,39085
481,61,8,1,False,2020-11-02T17:30:00Z,2,0,7,55,0,0,0,2,0,0,0,0,0,0,0,1,1.4,0.8,10.0,1.2,60,-20615,189643,7807,28422
481,77,17,0,True,2020-11-08T12:00:00Z,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,59,-48937,139822,1156,50093
481,84,13,2,False,2020-11-21T20:00:00Z,1,0,9,90,0,0,0,1,0,0,0,0,0,0,0,11,10.8,25.8,1.0,3.8,58,-36751,103075,675,37426
481,97,15,2,True,2020-11-28T20:00:00Z,1,0,10,90,0,0,1,0,0,0,0,1,0,0,0,17,22.8,123.9,21.0,16.8,58,-4835,101361,5425,10260
481,107,6,-2,True,2020-12-06T12:00:00Z,1,5,11,33,0,0,0,5,0,0,0,0,1,0,0,-4,3.4,23.1,19.0,4.6,57,-8799,92595,3549,12348
481,116,14,0,False,2020-12-12T15:00:00Z,2,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,57,-22974,69403,228,23202
481,128,12,0,False,2020-12-15T20:00:00Z,1,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,56,-8225,61551,41,8266
481,138,2,0,True,2020-12-20T19:15:00Z,0,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,56,-5368,56364,28,5396
481,144,11,4,False,2020-12-27T16:30:00Z,1,1,15,17,0,1,0,0,0,0,0,0,0,0,0,17,22.2,14.5,0.0,3.7,56,-2620,53809,282,2902
481,158,10,1,True,2020-12-29T18:00:00Z,0,5,16,29,0,0,0,1,0,0,0,0,0,0,0,1,0.0,4.1,0.0,0.4,56,-155,53887,1108,1263
481,168,1,2,True,2021-01-02T20:00:00Z,0,4,17,90,0,0,0,4,0,0,0,0,0,0,0,17,13.4,33.0,2.0,4.8,56,-1686,52215,419,2105
481,188,20,15,False,2021-01-16T12:30:00Z,2,3,19,81,2,0,0,2,0,0,0,0,0,0,3,48,74.0,24.4,41.0,13.9,56,275,50842,1629,1354
481,175,19,9,False,2021-01-19T18:00:00Z,2,1,19,90,1,0,0,2,0,0,0,0,0,0,2,29,37.2,3.5,15.0,5.6,56,275,50842,1629,1354
481,193,12,2,True,2021-01-26T20:15:00Z,0,5,20,90,0,0,0,5,0,0,0,0,0,0,0,10,10.0,15.3,0.0,2.5,56,17099,70363,25197,8098
481,207,8,13,True,2021-01-30T15:00:00Z,2,2,21,90,1,1,0,2,0,0,0,0,0,0,3,35,36.8,7.1,18.0,6.2,56,17906,89542,25076,7170
481,214,15,1,False,2021-02-02T18:00:00Z,2,1,22,90,0,0,0,2,0,0,0,1,0,0,0,1,6.6,20.9,16.0,4.4,56,99376,193613,105745,6369
481,227,17,1,False,2021-02-07T12:00:00Z,2,0,23,10,0,0,0,0,0,0,0,0,0,0,0,3,3.8,10.5,0.0,1.4,56,-44032,149207,10875,54907
481,237,13,2,True,2021-02-14T14:00:00Z,1,1,24,90,0,0,0,1,0,0,0,0,0,0,0,8,5.6,34.8,4.0,4.4,55,-29117,121014,8827,37944
