element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
70,7,5,1,True,2020-09-14T19:15:00Z,1,3,1,90,0,0,0,3,0,0,0,0,0,2,0,12,11.6,0.0,0.0,1.2,45,0,1121565,0,0
70,16,14,6,False,2020-09-20T13:00:00Z,0,3,2,90,0,0,1,0,0,0,0,0,0,0,0,22,4.2,0.0,0.0,0.4,45,-21416,1159789,61649,83065
70,19,13,1,True,2020-09-26T11:30:00Z,2,3,3,90,0,0,0,3,0,0,0,0,0,1,0,10,8.4,0.0,0.0,0.8,45,33686,1227969,143115,109429
70,32,7,0,False,2020-10-03T14:00:00Z,4,2,4,90,0,0,0,4,0,0,0,0,0,2,0,11,10.2,0.0,0.0,1.0,45,-23063,1214001,46393,69456
70,40,6,1,False,2020-10-18T13:00:00Z,1,1,5,90,0,0,0,1,0,0,0,1,0,0,0,4,3.4,0.0,0.0,0.3,45,-48683,1174518,55150,103833
70,51,18,2,True,2020-10-26T17:30:00Z,1,1,6,90,0,0,0,1,0,0,0,0,0,2,0,14,12.2,0.3,0.0,1.3,45,-40165,1140776,24877,65042
70,67,17,0,False,2020-11-01T19:15:00Z,2,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-49697,1091946,6086,55783
70,70,4,6,True,2020-11-06T17:30:00Z,0,0,8,90,0,0,1,0,0,0,0,0,0,1,0,27,12.0,0.0,0.0,1.2,45,-49506,1044465,9222,58728
70,79,2,3,False,2020-11-21T15:00:00Z,1,2,9,90,0,0,0,1,0,0,0,0,0,3,0,19,20.2,0.0,0.0,2.0,45,-29558,1013226,11732,41290
70,90,11,2,True,2020-11-28T12:30:00Z,1,1,10,90,0,0,0,1,0,0,0,0,0,1,0,10,8.4,0.0,0.0,0.8,45,-25792,990709,5071,30863
70,100,16,1,True,2020-12-07T20:00:00Z,1,2,11,90,0,0,0,2,0,0,0,0,0,1,0,12,12.0,0.0,0.0,1.2,45,-15494,976199,11247,26741
70,114,9,2,False,2020-12-13T19:15:00Z,3,0,12,90,0,0,0,3,0,0,0,0,0,3,0,20,29.8,0.0,0.0,3.0,44,-9295,973038,12610,21905
70,121,8,0,False,2020-12-16T20:00:00Z,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-4650,970286,13263,17913
70,129,15,0,True,2020-12-20T12:00:00Z,1,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-40082,932077,10976,51058
70,147,19,0,False,2020-12-27T14:15:00Z,2,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-63107,868073,6654,69761
70,149,1,0,True,2020-12-29T18:00:00Z,0,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-51746,818452,4511,56257
70,159,20,0,True,2021-01-02T17:30:00Z,3,3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-57760,762122,9073,66833
70,178,12,0,False,2021-01-13T18:00:00Z,1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-51785,650934,16240,68025
70,179,14,0,True,2021-01-18T20:00:00Z,3,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,42,-46755,653914,5894,25019
70,197,16,0,False,2021-01-26T20:15:00Z,1,3,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,42,-16359,637379,1860,18219
70,199,13,0,True,2021-01-30T17:30:00Z,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,42,-25842,611844,2388,28230
70,215,20,0,False,2021-02-02T18:00:00Z,2,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,42,-26741,585247,1193,27934
70,219,2,4,False,2021-02-06T12:30:00Z,1,0,23,90,0,0,0,1,0,0,0,0,0,7,0,22,45.6,0.0,0.0,4.6,42,-29298,556136,2574,31872
70,229,10,0,True,2021-02-14T16:30:00Z,4,2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,42,-9518,547090,8624,18142
