element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
457,4,7,2,True,2020-09-13T15:30:00Z,0,1,1,75,0,0,0,1,0,0,0,0,0,0,0,6,20.0,3.5,35.0,5.9,60,0,1485702,0,0
457,17,16,0,False,2020-09-20T11:00:00Z,2,5,2,90,0,0,0,2,0,0,0,1,0,0,0,-1,3.0,1.2,0.0,0.4,60,-180742,1368719,39131,219873
457,26,14,2,True,2020-09-27T13:00:00Z,1,1,3,90,0,0,0,1,0,0,0,0,0,0,0,16,24.2,26.7,8.0,5.9,60,-242759,1155317,45516,288275
457,35,13,0,False,2020-10-04T15:30:00Z,1,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,59,-195429,965580,10153,205582
457,47,19,0,True,2020-10-18T15:30:00Z,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,59,-167597,809078,16188,183785
457,52,4,6,False,2020-10-26T20:00:00Z,0,1,6,90,0,0,1,0,0,0,0,0,0,0,0,27,17.4,17.1,4.0,3.9,58,-140145,672424,9182,149327
457,67,3,2,True,2020-11-01T19:15:00Z,2,1,7,90,0,0,0,1,0,0,0,0,0,0,0,9,14.4,2.0,2.0,1.8,58,-27835,652178,16073,43908
457,77,18,12,False,2020-11-08T12:00:00Z,0,1,8,90,0,1,1,0,0,0,0,0,0,0,3,40,34.0,30.6,0.0,6.5,58,-27243,628408,12188,39431
457,87,12,0,True,2020-11-21T17:30:00Z,2,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,58,-89379,530730,16860,106239
457,91,5,0,False,2020-11-29T16:30:00Z,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,58,-33068,506424,4847,37915
457,106,1,0,True,2020-12-06T16:30:00Z,2,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,58,-17360,491654,12283,29643
457,110,6,0,False,2020-12-13T14:15:00Z,1,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,58,-34158,459079,5593,39751
457,127,11,0,False,2020-12-16T20:00:00Z,2,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,58,-27312,432404,1424,28736
457,137,9,0,True,2020-12-20T14:15:00Z,0,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,57,-22927,410332,1197,24124
457,148,20,2,False,2020-12-27T19:15:00Z,1,1,15,90,0,0,0,1,0,0,0,0,0,0,0,12,18.4,2.2,0.0,2.1,57,-23087,387456,2097,25184
457,167,10,3,True,2021-01-02T12:30:00Z,3,0,17,90,0,0,1,0,0,0,0,0,1,0,0,11,3.0,11.5,4.0,1.9,57,-6467,378522,2074,8541
457,157,8,0,True,2021-01-13T20:15:00Z,1,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,57,-5019,380944,6383,11402
457,186,15,0,False,2021-01-17T14:00:00Z,1,3,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,57,-7652,365723,632,8284
457,198,11,1,True,2021-01-28T20:00:00Z,1,3,20,90,0,0,0,3,0,0,0,0,0,0,0,7,1.2,3.8,0.0,0.5,57,-15322,351740,419,15741
457,200,3,0,False,2021-01-31T19:15:00Z,1,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,56,-4236,348124,1908,6144
457,218,5,0,True,2021-02-04T20:00:00Z,0,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,56,-3451,344879,884,4335
