element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
156,4,17,6,False,2020-09-13T15:30:00Z,0,1,1,90,0,0,1,0,0,0,0,0,0,0,0,29,25.8,0.1,0.0,2.6,50,0,101537,0,0
156,12,18,7,True,2020-09-19T11:30:00Z,5,2,2,90,1,0,0,2,0,0,0,0,0,0,0,28,49.6,11.0,41.0,10.2,50,20084,145252,33108,13024
156,21,6,2,False,2020-09-26T14:00:00Z,1,2,3,90,0,0,0,1,0,0,0,0,0,0,0,15,15.4,0.4,2.0,1.8,50,105206,284812,138666,33460
156,32,3,1,True,2020-10-03T14:00:00Z,4,2,4,90,0,0,0,2,0,0,0,0,0,0,0,11,8.6,0.4,0.0,0.9,50,23250,312616,47762,24512
156,41,11,8,True,2020-10-17T11:30:00Z,2,2,5,90,1,0,0,2,0,0,0,0,0,0,1,28,58.0,10.2,33.0,10.1,50,-15862,299234,21908,37770
156,56,16,1,False,2020-10-25T14:00:00Z,2,0,6,90,0,0,0,2,0,0,0,0,0,0,0,17,21.8,0.4,0.0,2.2,51,117006,436920,132389,15383
156,65,14,1,False,2020-11-01T14:00:00Z,2,1,7,90,0,0,0,2,0,0,0,0,0,0,0,13,20.8,1.2,8.0,3.0,51,21131,457550,37022,15891
156,73,13,1,True,2020-11-07T12:30:00Z,1,3,8,90,0,0,0,3,0,0,0,0,0,0,0,11,8.8,0.3,0.0,0.9,51,-18114,438545,12046,30160
156,81,8,1,False,2020-11-22T12:00:00Z,2,3,9,90,0,0,0,2,0,0,0,0,0,0,0,12,9.8,1.3,0.0,1.1,51,2432,449352,29256,26824
156,93,10,2,True,2020-11-28T17:30:00Z,0,1,10,90,0,0,0,1,0,0,0,0,0,0,0,9,20.6,0.2,4.0,2.5,51,-17435,430121,10662,28097
156,101,4,2,False,2020-12-05T12:30:00Z,1,1,11,90,0,0,0,1,0,0,0,0,0,0,0,18,21.6,0.8,0.0,2.2,51,-1702,438177,22944,24646
156,111,5,6,True,2020-12-12T20:00:00Z,1,0,12,90,0,0,1,0,0,0,0,0,0,0,0,23,18.0,0.1,18.0,3.6,51,-43841,386932,3101,46942
156,123,9,6,False,2020-12-16T18:00:00Z,0,2,13,90,0,0,1,0,0,0,0,0,0,0,0,24,30.2,0.0,33.0,6.3,51,-9546,379891,4907,14453
156,133,1,2,True,2020-12-19T17:30:00Z,2,1,14,90,0,0,0,1,0,0,0,0,0,0,0,12,18.8,0.9,3.0,2.3,51,18161,401468,25738,7577
156,146,15,8,False,2020-12-26T20:00:00Z,0,1,15,65,0,0,1,0,0,0,0,0,0,0,2,30,15.2,10.4,0.0,2.6,51,26500,432166,43282,16782
156,163,19,0,True,2021-01-01T17:30:00Z,0,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,51,28757,476529,47124,18367
156,176,20,11,False,2021-01-12T20:15:00Z,1,2,18,90,1,0,0,1,0,0,0,0,0,0,3,35,69.8,0.9,17.0,8.8,51,-21578,470913,32590,54168
156,191,9,2,True,2021-01-27T20:15:00Z,1,1,20,90,0,0,0,1,0,0,0,0,0,0,0,11,18.0,0.1,4.0,2.2,51,-4265,410520,24103,28368
156,203,14,0,True,2021-01-30T12:30:00Z,0,2,21,90,0,0,0,2,0,0,0,1,0,0,0,12,23.0,0.4,2.0,2.5,51,15021,427498,29635,14614
156,212,10,1,False,2021-02-03T19:30:00Z,1,2,22,10,0,0,0,0,0,0,0,0,0,0,0,3,5.4,0.0,0.0,0.5,51,-22241,404549,4499,26740
