element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
437,6,14,2,True,2020-09-12T19:00:00Z,0,2,1,90,0,0,0,2,0,0,0,0,0,0,0,0,5.4,11.8,63.0,8.0,65,0,642088,0,0
437,9,1,6,False,2020-09-19T19:00:00Z,2,1,2,90,1,0,0,2,0,0,0,0,0,0,0,17,29.4,2.6,70.0,10.2,64,-172615,495278,17622,190237
437,28,20,2,True,2020-09-27T18:00:00Z,4,0,3,87,0,0,1,0,0,0,0,0,0,0,0,5,18.0,14.3,44.0,7.6,64,-78588,437401,27950,106538
437,34,9,8,False,2020-10-04T11:00:00Z,0,3,4,87,1,0,1,0,0,0,0,0,0,0,2,36,44.4,22.8,73.0,14.0,63,-81092,362949,13628,94720
437,47,17,1,False,2020-10-18T15:30:00Z,3,3,5,76,0,0,0,3,0,0,0,1,0,0,0,-4,6.4,21.4,41.0,6.9,63,-11522,364653,46069,57591
437,57,12,8,True,2020-10-24T11:30:00Z,1,1,6,51,1,0,0,1,0,0,0,0,0,0,3,23,30.4,0.9,23.0,5.4,63,-73133,289545,7458,80591
437,63,11,0,False,2020-10-31T17:30:00Z,2,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,63,-47243,246455,12059,59302
437,78,8,0,True,2020-11-07T20:00:00Z,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,62,-58418,188161,1827,60245
437,86,15,0,False,2020-11-22T14:00:00Z,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,62,-29877,159300,3401,33278
437,98,2,1,True,2020-11-30T20:00:00Z,2,1,10,45,0,0,0,1,0,0,0,0,0,0,0,1,0.0,0.5,4.0,0.3,62,-7098,153653,2095,9193
437,108,13,0,True,2020-12-05T17:30:00Z,1,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,62,-907,153858,14468,15375
437,113,10,0,False,2020-12-11T20:00:00Z,1,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,62,-15748,137628,446,16194
437,125,6,0,True,2020-12-16T20:00:00Z,1,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,62,-5147,132865,387,5534
437,131,5,0,False,2020-12-21T20:00:00Z,3,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,62,-3648,129348,476,4124
437,147,3,0,True,2020-12-27T14:15:00Z,2,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,62,-3107,126298,1643,4750
437,156,16,1,False,2020-12-29T18:00:00Z,0,0,16,13,0,0,0,0,0,0,0,0,0,0,0,3,0.2,1.8,0.0,0.2,62,-1197,125276,1550,2747
437,163,7,1,False,2021-01-01T17:30:00Z,0,1,17,31,0,0,0,0,0,0,0,0,0,0,0,2,8.6,11.3,21.0,4.1,62,19377,145386,23931,4554
437,187,4,9,True,2021-01-16T15:00:00Z,1,0,19,90,1,0,1,0,0,0,0,0,0,0,3,28,40.2,3.3,57.0,10.1,63,496242,729174,513920,17678
437,175,18,9,True,2021-01-19T18:00:00Z,2,1,19,83,1,0,0,1,0,0,0,0,0,0,3,39,40.6,25.7,24.0,9.0,63,496242,729174,513920,17678
437,195,6,5,False,2021-01-26T18:00:00Z,2,3,20,82,0,1,0,1,0,0,0,0,0,0,0,8,16.2,24.8,69.0,11.0,64,432078,1112259,469558,37480
437,208,11,2,True,2021-01-31T16:30:00Z,1,3,21,78,0,0,0,2,0,0,0,0,0,0,0,5,8.0,1.0,40.0,4.9,65,200892,1312879,249213,48321
437,209,2,8,False,2021-02-03T20:15:00Z,1,3,22,90,0,2,0,1,0,0,0,0,0,0,0,18,34.8,21.6,70.0,12.6,66,220300,1538818,257668,37368
437,221,8,2,False,2021-02-06T17:30:00Z,0,0,23,73,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.7,2.0,0.1,67,280952,1830242,301977,21025
437,238,15,0,True,2021-02-15T18:00:00Z,3,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,67,-289225,1518522,55611,344836
