element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
254,3,10,20,True,2020-09-12T16:30:00Z,4,3,1,90,3,0,0,3,0,0,0,0,0,0,3,69,117.2,50.1,161.0,32.8,120,0,1883241,0,0
254,11,5,3,False,2020-09-20T15:30:00Z,0,2,2,90,0,0,1,0,0,0,0,0,0,0,0,14,15.4,61.5,51.0,12.8,120,156301,2378499,311338,155037
254,23,1,5,True,2020-09-28T19:00:00Z,3,1,3,90,0,1,0,1,0,0,0,0,0,0,0,18,7.0,27.3,44.0,7.8,121,95854,2576134,232019,136165
254,30,2,13,False,2020-10-04T18:15:00Z,7,2,4,90,2,0,0,7,0,0,0,0,0,0,1,54,78.2,41.8,44.0,16.4,122,279768,2941545,343946,64178
254,41,7,7,False,2020-10-17T11:30:00Z,2,2,5,90,1,0,0,2,0,0,0,0,0,0,0,24,48.4,20.2,96.0,16.5,123,330864,3337859,392085,61221
254,54,15,2,True,2020-10-24T19:00:00Z,2,1,6,90,0,0,0,1,0,0,0,0,0,0,0,-2,8.2,27.2,62.0,9.7,123,138491,3490524,191448,52957
254,63,19,8,True,2020-10-31T17:30:00Z,2,1,7,89,1,0,0,1,0,0,0,0,0,0,1,23,35.0,16.6,58.0,11.0,124,-8171,3491118,75003,83174
254,75,12,9,False,2020-11-08T16:30:00Z,1,1,8,90,1,0,0,1,0,0,0,0,0,0,2,20,40.4,38.0,35.0,11.3,124,-21187,3473894,58253,79440
254,83,9,0,True,2020-11-22T19:15:00Z,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,123,-1347561,2049762,47839,1395400
254,90,3,6,False,2020-11-28T12:30:00Z,1,1,10,63,0,1,1,0,0,0,0,0,0,0,0,11,15.4,14.4,4.0,3.4,122,56393,2222608,211556,155163
254,103,20,14,True,2020-12-06T19:15:00Z,4,0,11,90,1,1,1,0,0,0,0,0,0,0,3,43,57.0,23.2,29.0,10.9,122,66389,2290651,152729,86340
254,112,8,8,False,2020-12-13T16:30:00Z,1,1,12,83,1,0,0,1,0,0,0,0,0,0,1,23,39.0,2.2,36.0,7.7,123,382059,2709743,401154,19095
254,127,17,7,True,2020-12-16T20:00:00Z,2,1,13,90,1,0,0,1,0,0,0,0,0,0,0,26,50.2,19.3,74.0,14.4,123,-49191,2635318,88018,137209
254,132,6,16,False,2020-12-19T12:30:00Z,0,7,14,33,2,1,0,0,0,0,0,0,0,0,2,52,86.6,14.2,26.0,12.7,124,264071,2925498,280489,16418
254,144,18,2,True,2020-12-27T16:30:00Z,1,1,15,90,0,0,0,1,0,0,0,0,0,0,0,6,0.0,21.0,33.0,5.3,126,508149,3477161,520607,12458
254,155,14,3,False,2020-12-30T20:00:00Z,0,0,16,90,0,0,1,0,0,0,0,0,0,0,0,-5,1.6,3.9,27.0,3.3,126,79807,3544294,108826,29019
254,166,16,2,False,2021-01-04T20:00:00Z,1,0,17,90,0,0,0,1,0,0,0,0,0,0,0,-1,4.2,17.1,24.0,4.5,126,12437,3563431,87003,74566
254,184,13,3,True,2021-01-17T16:30:00Z,0,0,19,90,0,0,1,0,0,0,0,0,0,0,0,6,7.2,28.4,45.0,8.1,125,89606,3168283,195898,106292
254,177,4,1,True,2021-01-21T20:00:00Z,0,1,19,33,0,0,0,1,0,0,0,0,0,0,0,2,5.8,14.6,47.0,6.7,125,89606,3168283,195898,106292
254,198,17,2,False,2021-01-28T20:00:00Z,1,3,20,90,0,0,0,1,0,0,0,0,0,0,0,12,5.0,28.8,22.0,5.6,125,-142302,2966969,130312,272614
254,208,19,15,False,2021-01-31T16:30:00Z,1,3,21,90,2,0,0,1,0,0,0,0,0,0,3,47,75.0,18.1,83.0,17.6,125,45974,3022589,146599,100625
254,216,3,2,True,2021-02-03T20:15:00Z,0,1,22,90,0,0,0,1,0,0,0,0,0,0,0,0,0.0,15.6,38.0,5.4,126,610263,3650389,620430,10167
