element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
382,1,6,1,False,2020-09-12T14:00:00Z,1,0,1,13,0,0,0,0,0,0,0,0,0,0,0,4,3.4,0.3,0.0,0.4,55,0,5118,0,0
382,17,17,5,True,2020-09-20T11:00:00Z,2,5,2,90,0,1,0,5,0,0,0,0,0,0,0,13,0.8,3.1,17.0,2.1,55,-1035,4746,127,1162
382,20,4,3,False,2020-09-26T19:00:00Z,0,1,3,76,0,0,1,0,0,0,0,0,0,0,0,2,0.0,3.0,8.0,0.9,55,3336,9556,5549,2213
382,37,18,5,True,2020-10-04T11:00:00Z,2,0,4,54,1,0,0,0,0,0,0,1,0,0,0,18,31.2,0.8,21.0,5.3,55,2317,12534,4318,2001
382,39,5,0,False,2020-10-17T14:00:00Z,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-2878,9560,1833,4711
382,56,7,0,True,2020-10-25T14:00:00Z,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-3070,6658,92,3162
382,59,2,0,False,2020-11-01T12:00:00Z,3,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-1531,5246,27,1558
382,76,14,3,True,2020-11-06T20:00:00Z,2,0,8,73,0,0,1,0,0,0,0,0,0,0,0,12,18.4,12.0,26.0,5.6,54,-304,5046,189,493
382,88,20,2,False,2020-11-23T20:00:00Z,1,1,9,78,0,0,0,1,0,0,0,0,0,0,0,19,12.0,22.6,2.0,3.7,54,122,5275,473,351
382,96,13,5,True,2020-11-29T14:00:00Z,2,3,10,71,0,1,0,1,0,0,0,0,0,0,0,17,9.6,11.5,19.0,4.0,54,6,5320,259,253
382,100,3,0,False,2020-12-07T20:00:00Z,1,2,11,45,0,0,0,1,0,0,0,1,0,0,0,-4,0.0,0.8,11.0,1.0,54,2123,7786,2555,432
382,117,15,0,True,2020-12-13T12:00:00Z,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-254,7385,654,908
382,119,1,1,False,2020-12-16T18:00:00Z,1,1,13,27,0,0,0,0,0,0,0,0,0,0,0,5,4.6,14.3,4.0,2.3,54,-716,6687,254,970
382,136,12,1,True,2020-12-19T15:00:00Z,0,1,14,58,0,0,0,1,0,0,0,0,0,0,0,0,1.8,0.8,4.0,0.7,54,-511,6219,182,693
382,141,8,1,False,2020-12-26T15:00:00Z,0,0,15,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,54,-96,6230,495,591
382,156,19,2,True,2020-12-29T18:00:00Z,0,0,16,77,0,0,1,0,0,0,0,1,0,0,0,1,14.8,2.0,10.0,2.7,54,-303,5945,131,434
382,166,11,1,True,2021-01-04T20:00:00Z,1,0,17,31,0,0,0,0,0,0,0,0,0,0,0,1,2.2,0.1,1.0,0.3,54,-347,5617,116,463
382,183,9,0,False,2021-01-16T20:00:00Z,2,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-341,4737,14,355
382,197,1,0,True,2021-01-26T20:15:00Z,1,3,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-362,4398,25,387
382,206,2,1,True,2021-01-30T20:00:00Z,0,1,21,31,0,0,0,0,0,0,0,0,0,0,0,-3,4.6,1.0,8.0,1.4,54,-114,4297,21,135
382,213,13,2,False,2021-02-02T20:15:00Z,9,0,22,77,0,0,0,6,0,0,0,0,0,0,0,8,11.8,0.4,0.0,1.2,54,-21,4293,57,78
382,225,14,0,False,2021-02-06T15:00:00Z,3,2,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,18,4335,123,105
382,236,20,1,True,2021-02-14T12:00:00Z,1,2,24,28,0,0,0,1,0,0,0,0,0,0,0,5,2.4,0.8,0.0,0.3,54,-132,4238,58,190
