element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
385,4,7,1,True,2020-09-13T15:30:00Z,0,1,1,45,0,0,0,1,0,0,0,0,0,0,0,4,2.4,4.3,0.0,0.7,50,0,33970,0,0
385,17,16,0,False,2020-09-20T11:00:00Z,2,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-4149,37035,2277,6426
385,26,14,0,True,2020-09-27T13:00:00Z,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-6573,32482,2162,8735
385,35,13,2,False,2020-10-04T15:30:00Z,1,6,4,90,0,0,0,1,0,0,0,0,0,0,0,18,17.2,12.9,0.0,3.0,49,-5323,28150,1114,6437
385,47,19,2,True,2020-10-18T15:30:00Z,3,3,5,90,0,0,0,3,0,0,0,0,0,0,0,18,29.0,12.0,0.0,4.1,48,-639,29221,3324,3963
385,52,4,3,False,2020-10-26T20:00:00Z,0,1,6,90,0,0,1,0,0,0,0,0,0,0,0,11,5.6,2.3,0.0,0.8,48,739,30985,3624,2885
385,67,3,2,True,2020-11-01T19:15:00Z,2,1,7,90,0,0,0,1,0,0,0,0,0,0,0,8,5.2,2.2,0.0,0.7,48,292,31907,2650,2358
385,77,18,3,False,2020-11-08T12:00:00Z,0,1,8,77,0,0,1,0,0,0,0,0,0,0,0,14,5.0,2.3,0.0,0.7,48,-126,32233,2325,2451
385,87,12,2,True,2020-11-21T17:30:00Z,2,0,9,90,0,0,1,0,0,0,0,1,0,0,0,7,6.8,1.7,0.0,0.9,48,-401,32667,2313,2714
385,91,5,3,False,2020-11-29T16:30:00Z,0,0,10,90,0,0,1,0,0,0,0,0,0,0,0,6,4.8,0.9,0.0,0.6,48,714,33949,2581,1867
385,106,1,3,True,2020-12-06T16:30:00Z,2,0,11,90,0,0,1,0,0,0,0,0,0,0,0,7,4.8,0.9,0.0,0.6,48,199,34749,2474,2275
385,110,6,3,False,2020-12-13T14:15:00Z,1,1,12,90,0,0,0,1,0,0,0,1,0,0,2,22,14.6,3.3,0.0,1.8,48,740,35790,2738,1998
385,127,11,2,False,2020-12-16T20:00:00Z,2,1,13,90,0,0,0,2,0,0,0,0,0,0,0,7,8.2,1.1,0.0,0.9,48,227,36296,1828,1601
385,137,9,2,True,2020-12-20T14:15:00Z,0,2,14,90,0,0,0,2,0,0,0,0,0,0,0,10,5.6,4.4,2.0,1.2,48,351,36954,2132,1781
385,148,20,1,False,2020-12-27T19:15:00Z,1,1,15,20,0,0,0,1,0,0,0,0,0,0,0,3,1.0,1.0,2.0,0.4,48,1563,39302,4167,2604
385,167,10,1,True,2021-01-02T12:30:00Z,3,0,17,14,0,0,0,0,0,0,0,0,0,0,0,2,0.8,0.9,0.0,0.2,48,-1063,38244,1231,2294
385,157,8,2,True,2021-01-13T20:15:00Z,1,1,18,90,0,0,0,1,0,0,0,0,0,0,0,15,16.6,4.1,43.0,6.4,48,-372,40061,3379,3751
385,186,15,0,False,2021-01-17T14:00:00Z,1,3,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-1060,37379,1117,2177
385,198,11,0,True,2021-01-28T20:00:00Z,1,3,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-2273,35608,738,3011
385,200,3,2,False,2021-01-31T19:15:00Z,1,0,21,90,0,0,0,1,0,0,0,0,0,0,0,14,15.8,18.7,2.0,3.7,48,-1730,34055,268,1998
385,218,5,2,True,2021-02-04T20:00:00Z,0,1,22,90,0,0,0,1,0,0,0,0,0,0,0,14,15.8,13.3,0.0,2.9,48,-866,33376,306,1172
385,227,18,0,True,2021-02-07T12:00:00Z,2,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-864,32707,319,1183
385,235,12,1,False,2021-02-13T17:30:00Z,3,0,24,45,0,0,0,2,0,0,0,0,0,0,0,6,5.2,2.3,0.0,0.8,48,-1126,31699,377,1503
