element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
518,5,18,3,False,2020-09-13T13:00:00Z,0,3,1,90,0,0,1,0,0,0,0,0,0,0,0,11,9.8,3.5,0.0,1.3,45,0,17814,0,0
518,14,4,1,True,2020-09-20T18:00:00Z,4,2,2,90,0,0,0,2,0,0,0,1,0,0,0,9,8.2,7.5,0.0,1.6,45,50657,108906,69301,18644
518,24,12,5,False,2020-09-27T15:30:00Z,2,5,3,90,0,1,0,2,0,0,0,0,0,0,0,20,32.6,20.8,0.0,5.3,45,11683,124069,32855,21172
518,34,19,1,True,2020-10-04T11:00:00Z,0,3,4,88,0,0,0,3,0,0,0,1,0,0,0,8,8.2,7.9,8.0,2.4,45,92477,236816,117672,25195
518,43,2,3,True,2020-10-18T18:15:00Z,0,1,5,77,0,0,1,0,0,0,0,0,0,0,0,13,9.8,2.2,0.0,1.2,45,-11967,218984,24076,36043
518,49,1,3,False,2020-10-25T19:15:00Z,0,1,6,90,0,0,1,0,0,0,0,0,0,0,0,14,8.6,3.6,0.0,1.2,45,3074,227833,24367,21293
518,62,10,2,False,2020-11-02T20:00:00Z,1,4,7,90,0,0,0,1,0,0,0,0,0,0,0,14,5.2,2.1,0.0,0.7,45,365,230367,15585,15220
518,74,20,3,True,2020-11-08T14:00:00Z,1,0,8,90,0,0,1,0,0,0,0,0,0,0,0,20,10.8,5.9,0.0,1.7,45,-5414,225689,12676,18090
518,83,11,1,False,2020-11-22T19:15:00Z,3,0,9,90,0,0,0,3,0,0,0,1,0,0,0,8,2.0,3.5,0.0,0.6,45,-1590,225328,18897,20487
518,94,8,2,True,2020-11-30T17:30:00Z,1,2,10,69,0,0,0,2,0,0,0,0,0,0,0,13,3.0,3.8,0.0,0.7,45,8921,237876,21537,12616
518,105,15,2,False,2020-12-06T14:15:00Z,1,2,11,68,0,0,0,1,0,0,0,0,0,0,0,20,9.0,6.1,0.0,1.5,45,-6276,231557,12478,18754
518,114,3,1,True,2020-12-13T19:15:00Z,3,0,12,10,0,0,0,0,0,0,0,0,0,0,0,3,1.0,0.7,0.0,0.2,45,-868,232444,11897,12765
518,123,7,1,True,2020-12-16T18:00:00Z,0,2,13,72,0,0,0,2,0,0,0,1,0,0,0,10,0.8,2.7,0.0,0.4,45,-9004,223126,3994,12998
518,137,17,0,False,2020-12-20T14:15:00Z,0,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-11492,212438,2557,14049
518,143,13,0,True,2020-12-26T12:30:00Z,2,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-7784,205523,7310,15094
518,152,6,2,False,2020-12-28T15:00:00Z,1,1,16,90,0,0,0,1,0,0,0,0,0,0,0,11,7.0,5.7,0.0,1.3,45,-11509,194420,1843,13352
518,165,14,0,False,2021-01-03T14:15:00Z,1,2,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-10226,184871,3120,13346
518,183,16,0,True,2021-01-16T20:00:00Z,2,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-6350,165277,9546,15896
518,173,5,0,True,2021-01-19T20:15:00Z,2,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-6350,165277,9546,15896
518,191,7,1,False,2021-01-27T20:15:00Z,1,1,20,48,0,0,0,0,0,0,0,0,0,0,0,8,3.6,1.9,1.0,0.7,44,-13669,152063,4081,17750
518,204,10,2,True,2021-01-31T14:00:00Z,1,3,21,90,0,0,0,3,0,0,0,0,0,0,0,9,9.2,12.4,7.0,2.9,44,-14645,137634,1239,15884
518,211,8,0,False,2021-02-03T18:00:00Z,0,2,22,29,0,0,0,0,0,0,0,1,0,0,0,4,3.2,0.5,0.0,0.4,43,-5169,133097,2864,8033
518,228,20,0,False,2021-02-07T14:00:00Z,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,-6480,126993,1788,8268
518,234,11,1,True,2021-02-13T12:30:00Z,3,1,24,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,43,-6350,120750,2073,8423
