element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
577,40,3,0,True,2020-10-18T13:00:00Z,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,1006,1176,1303,297
577,53,8,6,False,2020-10-24T14:00:00Z,1,2,6,71,0,0,1,0,0,0,0,0,0,0,0,20,4.2,0.4,0.0,0.5,45,617,2042,1005,388
577,68,20,1,False,2020-10-30T20:00:00Z,2,0,7,90,0,0,0,2,0,0,0,0,0,0,0,17,14.2,16.8,18.0,4.9,45,4902,7783,5595,693
577,72,10,2,True,2020-11-07T15:00:00Z,4,1,8,90,0,0,0,1,0,0,0,0,0,0,0,12,13.4,0.6,0.0,1.4,45,4049,12295,5607,1558
577,80,4,2,False,2020-11-23T17:30:00Z,1,0,9,90,0,0,0,1,0,0,0,0,0,0,0,12,14.0,3.6,9.0,2.7,45,6282,19505,8855,2573
577,92,14,1,True,2020-11-27T20:00:00Z,0,2,10,90,0,0,0,2,0,0,0,0,0,0,0,10,8.2,5.5,2.0,1.6,45,4418,24715,6253,1835
577,107,18,5,False,2020-12-06T12:00:00Z,1,5,11,90,0,1,0,1,0,0,0,0,0,0,0,24,28.4,15.3,0.0,4.4,45,1066,26071,4035,2969
577,110,17,2,True,2020-12-13T14:15:00Z,1,1,12,90,0,0,0,1,0,0,0,0,0,0,0,11,9.0,0.9,0.0,1.0,45,314,25770,3781,3467
577,125,19,0,False,2020-12-16T20:00:00Z,1,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,1088,27188,2936,1848
577,132,11,-2,True,2020-12-19T12:30:00Z,0,7,14,90,0,0,0,7,0,0,0,1,0,0,0,5,8.4,5.7,0.0,1.4,45,-2967,24289,1354,4321
577,140,2,0,False,2020-12-26T15:00:00Z,3,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-308,24339,2922,3230
577,152,9,2,True,2020-12-28T15:00:00Z,1,1,16,90,0,0,0,1,0,0,0,0,0,0,0,15,17.8,0.7,0.0,1.9,45,-2743,21662,826,3569
577,162,15,0,True,2021-01-02T15:00:00Z,2,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,6613,29167,9428,2815
577,169,1,0,False,2021-01-14T20:00:00Z,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-4943,20684,1591,6534
577,185,12,0,False,2021-01-17T19:15:00Z,4,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-5725,17621,191,5916
577,195,19,0,True,2021-01-26T18:00:00Z,2,3,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-2899,15964,322,3221
577,202,20,6,True,2021-01-30T15:00:00Z,1,0,21,84,0,0,1,0,0,0,0,0,0,0,0,21,6.2,2.3,5.0,1.4,45,-1930,14098,150,2080
577,217,14,1,False,2021-02-02T20:15:00Z,1,2,22,90,0,0,0,1,0,0,0,1,0,0,0,6,12.8,1.4,0.0,1.4,45,343,14621,932,589
577,222,10,1,False,2021-02-08T20:00:00Z,2,0,23,90,0,0,0,2,0,0,0,0,0,0,0,7,0.8,0.7,0.0,0.2,45,-520,14191,443,963
577,232,4,1,True,2021-02-13T15:00:00Z,0,3,24,90,0,0,0,3,0,0,0,0,0,0,0,12,13.4,30.4,0.0,4.4,45,234,14561,1423,1189
577,241,3,0,False,2021-02-22T20:00:00Z,1,2,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-658,14064,550,1208
577,250,8,0,True,2021-02-28T12:00:00Z,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-1694,12415,398,2092
577,281,13,0,True,2021-03-03T20:15:00Z,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-1694,12415,398,2092
577,266,17,0,False,2021-03-07T19:15:00Z,4,1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-1503,10976,8,1511
577,270,18,0,True,2021-03-13T15:00:00Z,1,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-975,10008,17,992
