element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
589,54,15,0,True,2020-10-24T19:00:00Z,2,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,0,0,0,0
589,63,19,2,True,2020-10-31T17:30:00Z,2,1,7,90,0,0,0,1,0,0,0,0,0,0,0,14,22.2,11.7,0.0,3.4,40,873,1380,1054,181
589,75,12,0,False,2020-11-08T16:30:00Z,1,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,27137,32747,30332,3195
589,83,9,0,True,2020-11-22T19:15:00Z,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,19380,54385,26820,7440
589,90,3,2,False,2020-11-28T12:30:00Z,1,1,10,90,0,0,0,1,0,0,0,0,0,0,0,16,24.0,0.7,2.0,2.7,40,-934,51241,6391,7325
589,103,20,0,True,2020-12-06T19:15:00Z,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,18768,77075,24211,5443
589,112,8,0,False,2020-12-13T16:30:00Z,1,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-4462,66757,4844,9306
589,127,17,0,True,2020-12-16T20:00:00Z,2,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-3368,64080,2869,6237
589,132,6,0,False,2020-12-19T12:30:00Z,0,7,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-4614,59661,2189,6803
589,144,18,0,True,2020-12-27T16:30:00Z,1,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-6187,53874,2439,8626
589,155,14,5,False,2020-12-30T20:00:00Z,0,0,16,90,0,0,1,0,0,0,0,1,0,0,0,18,13.0,1.9,4.0,1.9,40,-3426,50810,1463,4889
589,166,16,0,False,2021-01-04T20:00:00Z,1,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,11692,63504,17471,5779
589,184,13,0,True,2021-01-17T16:30:00Z,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-3577,58147,6511,10088
589,177,4,0,True,2021-01-21T20:00:00Z,0,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-3577,58147,6511,10088
589,198,17,0,False,2021-01-28T20:00:00Z,1,3,20,45,0,0,0,1,0,0,0,1,0,0,0,4,6.6,0.0,0.0,0.7,40,-6826,49970,1903,8729
589,208,19,2,False,2021-01-31T16:30:00Z,1,3,21,90,0,0,0,1,0,0,0,0,0,0,0,15,21.0,1.3,0.0,2.2,40,-2533,47731,2618,5151
589,216,3,2,True,2021-02-03T20:15:00Z,0,1,22,90,0,0,0,1,0,0,0,0,0,0,0,14,13.2,1.8,0.0,1.5,40,7079,55329,10249,3170
589,223,12,0,True,2021-02-07T16:30:00Z,1,4,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-2766,52730,2910,5676
589,234,9,0,False,2021-02-13T12:30:00Z,3,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-4511,48331,2147,6658
589,244,7,2,True,2021-02-20T17:30:00Z,0,2,25,60,0,0,0,1,0,0,0,0,0,0,0,11,11.2,1.0,8.0,2.0,40,-3215,45562,914,4129
589,256,15,6,False,2021-02-28T19:15:00Z,0,2,26,90,0,0,1,0,0,0,0,0,0,0,0,22,17.8,0.5,18.0,3.6,40,6347,53275,11738,5391
589,283,5,0,True,2021-03-04T20:15:00Z,0,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,6347,53275,11738,5391
589,263,8,2,True,2021-03-07T14:00:00Z,0,1,27,90,0,0,0,1,0,0,0,0,0,0,0,14,19.4,14.8,24.0,5.8,40,1635,54445,5964,4329
589,278,20,6,False,2021-03-15T20:00:00Z,0,1,28,90,0,0,1,0,0,0,0,0,0,0,0,25,31.2,0.3,0.0,3.2,40,5228,60131,8312,3084
