element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
180,2,1,2,True,2020-09-12T11:30:00Z,0,3,1,62,0,0,0,3,0,0,0,0,0,0,0,7,1.0,2.7,18.0,2.2,50,0,9467,0,0
180,13,10,1,False,2020-09-19T14:00:00Z,4,3,2,32,0,0,0,0,0,0,0,0,0,0,0,-1,0.0,0.5,4.0,0.2,50,-944,10300,1168,2112
180,22,2,1,True,2020-09-28T16:45:00Z,0,3,3,12,0,0,0,0,0,0,0,0,0,0,0,3,0.4,1.3,10.0,1.2,49,-2211,8265,442,2653
180,38,20,1,False,2020-10-04T13:00:00Z,1,0,4,9,0,0,0,0,0,0,0,0,0,0,0,2,0.0,10.1,15.0,2.3,49,-1273,7201,320,1593
180,46,15,0,False,2020-10-18T11:00:00Z,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-1360,5955,294,1654
180,53,6,0,True,2020-10-24T14:00:00Z,1,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-705,5356,184,889
180,61,18,0,True,2020-11-02T17:30:00Z,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-713,4691,73,786
180,78,19,0,False,2020-11-07T20:00:00Z,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-632,4076,32,664
180,81,7,0,True,2020-11-22T12:00:00Z,2,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-269,3878,54,323
180,94,9,0,False,2020-11-30T17:30:00Z,1,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-111,3830,61,172
180,104,12,0,False,2020-12-05T15:00:00Z,2,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-168,3675,42,210
180,112,11,0,True,2020-12-13T16:30:00Z,1,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-110,3599,49,159
180,121,3,0,True,2020-12-16T20:00:00Z,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-93,3514,22,115
180,135,14,0,False,2020-12-19T20:00:00Z,1,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,47,-67,3465,40,107
180,141,16,1,True,2020-12-26T15:00:00Z,0,0,15,1,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,47,-79,3423,53,132
180,157,17,0,False,2021-01-13T20:15:00Z,1,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,47,-52,3413,75,127
180,181,5,0,True,2021-01-16T17:30:00Z,0,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,47,-48,3305,33,81
180,171,13,0,True,2021-01-20T20:15:00Z,1,2,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,47,-48,3305,33,81
180,189,3,0,False,2021-01-27T19:30:00Z,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,47,-57,3271,29,86
180,207,18,0,False,2021-01-30T15:00:00Z,2,2,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,47,-66,3211,11,77
180,211,9,0,True,2021-02-03T18:00:00Z,0,2,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,47,-50,3170,22,72
180,221,19,0,True,2021-02-06T17:30:00Z,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,47,-105,3064,0,105
180,233,7,0,False,2021-02-14T19:00:00Z,0,2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,47,-75,2994,0,75
180,160,4,0,False,2021-02-17T18:00:00Z,1,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,47,-75,2994,0,75
