element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
546,28,19,1,False,2020-09-27T18:00:00Z,4,0,3,72,0,0,0,3,0,0,0,0,0,0,0,14,11.4,3.4,6.0,2.1,55,29089,36150,36050,6961
546,38,8,6,True,2020-10-04T13:00:00Z,1,0,4,77,0,0,1,0,0,0,0,0,0,0,0,21,12.0,9.5,20.0,4.2,55,29218,75787,41228,12010
546,42,10,6,False,2020-10-19T19:00:00Z,0,1,5,90,0,0,1,0,0,0,0,0,0,0,0,24,13.8,0.2,0.0,1.4,55,36935,125665,55747,18812
546,58,14,2,True,2020-10-25T16:30:00Z,1,1,6,90,0,0,0,1,0,0,0,0,0,0,0,13,16.8,28.3,2.0,4.7,55,29411,159417,39596,10185
546,68,6,8,True,2020-10-30T20:00:00Z,2,0,7,90,0,0,1,0,0,0,0,0,0,0,2,34,29.2,24.4,6.0,6.0,55,16239,178782,28955,12716
546,74,9,2,False,2020-11-08T14:00:00Z,1,0,8,90,0,0,0,1,0,0,0,0,0,0,0,8,9.8,29.7,3.0,4.3,55,55631,242112,68582,12951
546,88,16,2,True,2020-11-23T20:00:00Z,1,1,9,90,0,0,0,1,0,0,0,0,0,0,0,17,23.0,16.8,7.0,4.7,56,28603,280280,47425,18822
546,89,1,2,False,2020-11-29T19:15:00Z,1,2,10,90,0,0,0,1,0,0,0,0,0,0,0,8,20.6,12.2,4.0,3.7,56,-8464,268386,15220,23684
546,103,11,-2,False,2020-12-06T19:15:00Z,4,0,11,90,0,0,0,4,1,0,0,0,0,0,0,6,9.0,3.9,0.0,1.3,56,-15346,254186,12016,27362
546,118,2,2,True,2020-12-12T12:30:00Z,0,1,12,90,0,0,0,1,0,0,0,0,0,0,0,15,27.2,12.3,9.0,4.9,55,-23499,234781,7664,31163
546,126,5,1,True,2020-12-15T18:00:00Z,2,1,13,90,0,0,0,1,0,0,0,1,0,0,0,12,25.0,3.2,13.0,4.1,55,-20870,215055,3117,23987
546,130,4,1,False,2020-12-21T17:30:00Z,2,1,14,90,0,0,0,2,0,0,0,0,0,0,0,6,10.8,3.3,10.0,2.4,55,-3508,214240,10907,14415
546,148,17,1,True,2020-12-27T19:15:00Z,1,1,15,90,0,0,0,1,0,0,0,1,0,0,0,10,17.6,19.6,4.0,4.1,54,-24764,189288,3817,28581
546,154,13,0,False,2020-12-29T20:00:00Z,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-9025,181864,2751,11776
546,159,3,3,False,2021-01-02T17:30:00Z,3,3,17,90,0,1,0,3,0,0,0,1,0,0,0,21,29.6,13.5,2.0,4.5,54,-6983,176367,7543,14526
546,176,7,0,True,2021-01-12T20:15:00Z,1,2,18,90,0,0,0,2,0,0,0,1,0,0,0,20,23.2,14.6,4.0,4.2,54,-4333,178811,11464,15797
546,188,18,1,True,2021-01-16T12:30:00Z,2,3,19,90,0,0,0,3,0,0,0,0,0,0,0,17,20.8,4.8,20.0,4.6,53,-8979,163543,3672,12651
546,194,5,6,False,2021-01-27T18:00:00Z,0,0,20,90,0,0,1,0,0,0,0,0,0,0,0,23,10.8,0.1,0.0,1.1,53,-14427,151819,1580,16007
546,202,6,2,False,2021-01-30T15:00:00Z,1,0,21,90,0,0,0,1,0,0,0,0,0,0,0,14,19.6,13.3,9.0,4.2,53,-975,151752,3950,4925
546,215,1,2,True,2021-02-02T18:00:00Z,2,1,22,90,0,0,0,1,0,0,0,0,0,0,0,8,12.4,8.9,9.0,3.0,53,-3259,148988,2420,5679
546,228,9,7,True,2021-02-07T14:00:00Z,0,0,23,90,0,0,1,0,0,0,0,0,0,0,1,25,12.0,3.3,10.0,2.5,53,-3279,146498,2913,6192
546,236,16,5,False,2021-02-14T12:00:00Z,1,2,24,90,0,1,0,1,0,0,0,0,0,0,0,15,8.4,12.3,20.0,4.1,52,1351,148976,6687,5336
546,248,10,7,True,2021-02-19T20:00:00Z,1,0,25,90,0,0,1,0,0,0,0,0,0,0,1,23,22.0,23.0,43.0,8.8,52,6543,157046,11043,4500
546,255,14,2,False,2021-02-27T20:00:00Z,1,1,26,84,0,0,0,1,0,0,0,0,0,0,0,10,7.2,5.1,4.0,1.6,52,15777,175336,22766,6989
546,284,12,0,False,2021-03-02T20:00:00Z,4,1,26,90,0,0,0,4,0,0,0,0,0,0,0,8,15.6,1.1,0.0,1.7,52,15777,175336,22766,6989
546,259,2,6,False,2021-03-06T17:30:00Z,0,0,27,90,0,0,1,0,0,0,0,0,0,0,0,19,3.2,3.9,2.0,0.9,52,-4696,170509,4462,9158
546,278,11,2,True,2021-03-15T20:00:00Z,0,1,28,83,0,0,0,1,0,0,0,0,0,0,0,9,10.0,17.8,37.0,6.5,52,-3593,167617,3021,6614
