element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
424,8,20,0,True,2020-09-14T17:00:00Z,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,65020,0,0
424,10,2,2,False,2020-09-21T17:00:00Z,1,0,2,90,0,0,0,1,0,0,0,0,0,0,0,3,0.0,3.3,2.0,0.4,45,-5317,63505,4520,9837
424,25,10,3,True,2020-09-27T11:00:00Z,0,1,3,73,0,0,1,0,0,0,0,0,0,0,0,6,5.8,32.4,36.0,7.4,45,18084,84704,39036,20952
424,29,1,1,False,2020-10-04T13:00:00Z,2,1,4,55,0,0,0,0,0,0,0,0,0,0,0,-2,0.0,0.3,8.0,0.6,45,9170,95600,21711,12541
424,46,8,0,True,2020-10-18T11:00:00Z,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-15157,79376,5581,20738
424,54,11,1,False,2020-10-24T19:00:00Z,2,1,6,36,0,0,0,1,0,0,0,0,0,0,0,2,0.0,0.6,25.0,2.4,45,-7718,72615,1651,9369
424,66,12,0,True,2020-10-31T12:30:00Z,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-3959,69125,1427,5386
424,71,5,0,False,2020-11-07T17:30:00Z,4,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-4043,65444,2379,6422
424,86,19,0,True,2020-11-22T14:00:00Z,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-5230,60358,2708,7938
424,97,18,2,False,2020-11-28T20:00:00Z,1,0,10,73,0,0,0,1,0,0,0,0,0,0,0,11,5.4,22.3,31.0,5.9,44,-2513,58325,1632,4145
424,105,9,2,True,2020-12-06T14:15:00Z,1,2,11,80,0,0,0,1,0,0,0,0,0,0,0,2,3.8,1.3,2.0,0.7,43,8454,77712,14749,6295
424,117,16,0,False,2020-12-13T12:00:00Z,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,43,41515,118706,49316,7801
424,124,13,5,True,2020-12-17T20:00:00Z,2,3,13,73,0,1,0,3,0,0,0,0,0,0,0,14,21.4,22.6,27.0,7.1,43,23683,140270,33416,9733
424,129,3,0,False,2020-12-20T12:00:00Z,1,1,14,57,0,0,0,1,0,0,0,1,0,0,0,1,5.4,10.7,12.0,2.8,43,23044,163649,32200,9156
424,146,7,1,True,2020-12-26T20:00:00Z,0,1,15,45,0,0,0,0,0,0,0,0,0,0,0,1,6.0,2.0,19.0,2.7,44,26141,192210,41105,14964
424,150,4,0,False,2020-12-29T18:00:00Z,1,0,16,27,0,0,0,0,0,0,0,1,0,0,0,-1,0.0,10.6,0.0,1.0,44,-13648,175739,2237,15885
424,162,6,0,False,2021-01-02T15:00:00Z,2,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-16630,159527,1991,18621
424,174,14,1,True,2021-01-12T18:00:00Z,1,0,18,58,0,0,0,0,0,0,0,0,0,0,0,5,3.2,33.5,62.0,9.9,43,-6469,200892,22924,29393
424,186,17,2,True,2021-01-17T14:00:00Z,1,3,19,70,0,0,0,3,0,0,0,0,0,0,0,6,5.2,12.5,39.0,5.7,43,1806,165495,28128,26322
424,192,13,6,False,2021-01-27T20:15:00Z,1,2,20,20,1,0,0,0,0,0,0,0,0,0,0,20,32.0,0.0,35.0,6.7,43,-8571,150488,16286,24857
424,205,12,2,False,2021-01-30T15:00:00Z,1,0,21,77,0,0,0,1,0,0,0,0,0,0,0,4,1.2,2.6,2.0,0.6,42,-16695,134303,9066,25761
424,214,18,1,True,2021-02-02T18:00:00Z,2,1,22,4,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,42,-1023,134611,13678,14701
