element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
357,8,20,1,True,2020-09-14T17:00:00Z,0,2,1,90,0,0,0,2,0,0,0,1,0,0,0,3,12.0,15.3,41.0,6.8,60,0,45716,0,0
357,10,2,1,False,2020-09-21T17:00:00Z,1,0,2,22,0,0,0,0,0,0,0,0,0,0,0,4,4.4,10.3,4.0,1.9,60,-4753,44872,4011,8764
357,25,10,1,True,2020-09-27T11:00:00Z,0,1,3,16,0,0,0,1,0,0,0,0,0,0,0,2,1.2,1.3,4.0,0.7,59,-10941,34821,1558,12499
357,29,1,1,False,2020-10-04T13:00:00Z,2,1,4,34,0,0,0,2,0,0,0,0,0,0,0,2,3.4,0.8,7.0,1.1,58,-8582,26929,527,9109
357,46,8,2,True,2020-10-18T11:00:00Z,1,1,5,90,0,0,0,1,0,0,0,0,0,0,0,3,18.6,13.6,48.0,8.0,58,-4152,23384,1004,5156
357,54,11,5,False,2020-10-24T19:00:00Z,2,1,6,90,0,1,0,2,0,0,0,0,0,0,0,17,9.2,26.8,19.0,5.5,57,-2145,21420,606,2751
357,66,12,2,True,2020-10-31T12:30:00Z,0,1,7,90,0,0,0,1,0,0,0,0,0,0,0,7,5.4,2.1,2.0,1.0,57,-727,21028,1164,1891
357,71,5,1,False,2020-11-07T17:30:00Z,4,1,8,27,0,0,0,2,0,0,0,0,0,0,0,1,0.0,0.5,2.0,0.1,57,-649,20560,1027,1676
357,86,19,2,True,2020-11-22T14:00:00Z,0,1,9,90,0,0,0,1,0,0,0,0,0,0,0,-4,5.0,14.9,50.0,7.0,57,-1049,19701,909,1958
357,97,18,2,False,2020-11-28T20:00:00Z,1,0,10,90,0,0,0,1,0,0,0,0,0,0,0,0,28.8,37.5,111.0,17.7,57,-360,19536,792,1152
357,105,9,8,True,2020-12-06T14:15:00Z,1,2,11,90,1,0,0,2,0,0,0,0,0,0,2,26,44.6,4.4,41.0,9.0,56,-451,19189,923,1374
357,117,16,1,False,2020-12-13T12:00:00Z,3,0,12,47,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.2,0.0,0.0,56,1703,21222,2914,1211
357,124,13,0,True,2020-12-17T20:00:00Z,2,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,56,-1606,19492,361,1967
357,129,3,0,False,2020-12-20T12:00:00Z,1,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,56,-1519,18008,65,1584
357,146,7,1,True,2020-12-26T20:00:00Z,0,1,15,45,0,0,0,1,0,0,0,0,0,0,0,1,0.0,1.9,13.0,1.2,56,-1379,16645,76,1455
357,150,4,0,False,2020-12-29T18:00:00Z,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,56,-294,16410,161,455
357,162,6,0,False,2021-01-02T15:00:00Z,2,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,56,-518,15920,98,616
357,174,14,0,True,2021-01-12T18:00:00Z,1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,56,-716,15153,114,830
357,186,17,0,True,2021-01-17T14:00:00Z,1,3,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,56,-237,14994,74,311
357,192,13,0,False,2021-01-27T20:15:00Z,1,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,56,-393,14621,45,438
357,205,12,1,False,2021-01-30T15:00:00Z,1,0,21,12,0,0,0,0,0,0,0,0,0,0,0,2,2.6,0.5,0.0,0.3,56,-164,14486,85,249
357,214,18,1,True,2021-02-02T18:00:00Z,2,1,22,45,0,0,0,0,0,0,0,0,0,0,0,5,8.4,21.8,22.0,5.2,56,721,15281,1002,281
357,226,5,2,True,2021-02-07T19:15:00Z,1,2,23,90,0,0,0,2,0,0,0,0,0,0,0,9,10.4,33.8,4.0,4.8,56,-435,14855,214,649
357,238,19,1,False,2021-02-15T18:00:00Z,3,0,24,28,0,0,0,1,0,0,0,0,0,0,0,4,4.4,1.1,19.0,2.5,56,118,15038,566,448
357,243,8,2,False,2021-02-20T20:00:00Z,1,0,25,90,0,0,0,1,0,0,0,0,0,0,0,4,9.0,1.2,0.0,1.0,56,-57,15015,384,441
357,256,11,2,True,2021-02-28T19:15:00Z,0,2,26,90,0,0,0,2,0,0,0,0,0,0,0,-5,1.6,13.2,8.0,2.3,56,49,15112,504,455
357,285,2,1,True,2021-03-03T18:00:00Z,1,0,26,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,56,49,15112,504,455
357,265,16,0,True,2021-03-06T15:00:00Z,0,2,27,45,0,0,0,1,0,0,0,1,0,0,0,-1,4.8,3.9,17.0,2.6,56,145,15309,531,386
357,274,9,0,False,2021-03-14T14:00:00Z,5,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,56,-325,14989,169,494
