element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
514,10,15,2,True,2020-09-21T17:00:00Z,1,0,2,90,0,0,1,0,0,0,0,0,0,0,0,0,0.0,23.4,34.0,5.6,60,39937,104050,54723,14786
514,22,8,2,False,2020-09-28T16:45:00Z,0,3,3,90,0,0,1,0,0,0,0,0,0,0,0,3,1.8,12.0,15.0,2.9,60,2870,109123,24796,21926
514,30,11,19,True,2020-10-04T18:15:00Z,7,2,4,90,3,1,0,2,0,0,0,0,0,0,2,77,124.8,25.7,92.0,24.3,60,-21395,88058,5557,26952
514,43,9,2,False,2020-10-18T18:15:00Z,0,1,5,90,0,0,1,0,0,0,0,0,0,0,0,1,10.4,8.5,27.0,4.6,60,177895,294610,223870,45975
514,50,10,2,True,2020-10-23T19:00:00Z,0,3,6,90,0,0,0,3,0,0,0,0,0,0,0,6,7.8,24.3,32.0,6.4,60,86893,384478,121952,35059
514,59,16,7,True,2020-11-01T12:00:00Z,3,4,7,90,1,0,0,4,0,0,0,0,0,0,1,36,46.8,22.8,60.0,13.0,60,-29036,354508,39546,68582
514,69,1,13,False,2020-11-08T19:15:00Z,0,3,8,90,2,0,1,0,0,0,0,0,0,0,3,59,71.6,3.5,72.0,14.7,60,-10736,345608,32906,43642
514,79,3,2,True,2020-11-21T15:00:00Z,1,2,9,90,0,0,0,2,0,0,0,0,0,0,0,6,6.4,22.3,12.0,4.1,61,328383,717477,356951,28568
514,98,19,0,False,2020-11-30T20:00:00Z,2,1,10,90,0,0,0,2,0,0,1,0,0,0,0,-10,0.0,12.8,22.0,2.9,61,28844,725709,87216,58372
514,118,20,2,False,2020-12-12T12:30:00Z,0,1,12,90,0,0,1,0,0,0,0,0,0,0,0,5,9.6,1.3,39.0,5.0,61,-12245,604512,48508,60753
514,120,4,1,True,2020-12-17T18:00:00Z,0,0,13,90,0,0,1,0,0,0,0,1,0,0,0,-4,5.6,11.5,82.0,9.9,61,21247,633246,59455,38208
514,138,18,2,False,2020-12-20T19:15:00Z,0,3,14,90,0,0,1,0,0,0,0,0,0,0,0,0,5.6,4.6,29.0,3.9,61,-19687,612836,34348,54035
514,140,6,11,True,2020-12-26T15:00:00Z,3,0,15,90,0,3,1,0,0,0,0,0,0,0,0,26,23.2,37.9,140.0,20.1,61,-52776,562974,32485,85261
514,151,5,2,False,2020-12-28T17:30:00Z,1,1,16,90,0,0,0,1,0,0,0,0,0,0,0,8,9.6,28.8,7.0,4.5,61,25893,594186,68754,42861
514,164,13,2,False,2021-01-01T20:00:00Z,2,1,17,90,0,0,0,2,0,0,0,0,0,0,0,3,7.8,28.3,59.0,9.5,61,19380,615466,72131,52751
514,380,12,2,False,2021-01-20T18:00:00Z,2,0,19,90,0,0,0,2,0,0,0,0,0,0,0,6,8.2,12.3,10.0,3.1,61,232687,886338,298258,65571
514,99,14,6,True,2021-01-23T20:00:00Z,2,0,19,90,1,0,1,0,0,0,0,0,0,0,0,29,41.8,17.2,58.0,11.7,61,232687,886338,298258,65571
514,190,4,6,False,2021-01-27T18:00:00Z,3,2,20,90,1,0,0,3,0,0,0,0,0,0,0,25,47.2,22.7,98.0,16.8,61,117896,979049,201024,83128
514,206,16,2,False,2021-01-30T20:00:00Z,0,1,21,90,0,0,1,0,0,0,0,0,0,0,0,-3,16.6,3.4,68.0,8.8,62,323454,1311988,354725,31271
514,209,19,6,True,2021-02-03T20:15:00Z,1,3,22,90,1,0,0,3,0,0,0,0,0,0,0,18,29.0,7.0,55.0,9.1,63,114950,1428318,172471,57521
514,219,1,9,True,2021-02-06T12:30:00Z,1,0,23,90,1,0,1,0,0,0,0,0,0,0,3,29,40.8,14.3,47.0,10.2,63,7465,1440375,81612,74147
514,230,3,2,False,2021-02-13T20:00:00Z,0,0,24,90,0,0,1,0,0,0,0,0,0,0,0,5,4.0,2.8,2.0,0.9,64,333914,1790561,393863,59949
514,240,9,2,True,2021-02-21T14:05:00Z,1,2,25,90,0,0,0,2,0,0,0,0,0,0,0,5,10.2,15.8,44.0,7.0,65,59100,1851381,191282,132182
514,252,10,5,False,2021-02-27T17:30:00Z,0,1,26,90,0,1,1,0,0,0,0,0,0,0,0,13,25.2,24.6,23.0,7.3,65,318364,2191797,438701,120337
514,285,15,2,False,2021-03-03T18:00:00Z,1,0,26,90,0,0,0,1,0,0,0,0,0,0,0,13,9.6,37.9,37.0,8.5,65,318364,2191797,438701,120337
514,259,20,2,True,2021-03-06T17:30:00Z,0,0,27,90,0,0,1,0,0,0,0,0,0,0,0,2,3.2,3.3,68.0,7.5,66,-8901,2177416,79249,88150
514,276,14,5,False,2021-03-12T20:00:00Z,1,1,28,90,0,1,0,1,0,0,0,0,0,0,0,9,5.4,14.4,27.0,4.7,66,-11850,2170316,112860,124710
