element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
419,5,9,0,True,2020-09-13T13:00:00Z,0,3,1,90,0,0,0,3,0,0,0,1,0,0,0,2,0.2,0.5,0.0,0.1,50,0,21428,0,0
419,12,7,0,False,2020-09-19T11:30:00Z,5,2,2,90,0,0,0,5,0,0,0,0,0,0,0,9,10.6,0.3,0.0,1.1,50,-4020,19279,1124,5144
419,27,5,1,True,2020-09-26T16:30:00Z,3,3,3,90,0,0,0,3,0,0,0,0,0,0,0,12,20.8,0.0,0.0,2.1,49,-3877,16116,637,4514
419,37,16,1,False,2020-10-04T11:00:00Z,2,0,4,90,0,0,0,2,0,0,0,0,0,0,0,9,7.2,0.0,2.0,0.9,49,-1386,15371,736,2122
419,48,4,0,True,2020-10-19T16:30:00Z,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-1174,14745,740,1914
419,51,3,2,False,2020-10-26T17:30:00Z,1,1,6,90,0,0,0,1,0,0,0,0,0,0,0,13,16.6,0.6,0.0,1.7,49,-1164,13702,279,1443
419,61,8,1,False,2020-11-02T17:30:00Z,2,0,7,90,0,0,0,2,0,0,0,0,0,0,0,14,21.4,1.0,0.0,2.2,48,-459,13512,370,829
419,77,17,2,True,2020-11-08T12:00:00Z,0,1,8,90,0,0,0,1,0,0,0,0,0,0,0,16,33.0,1.2,2.0,3.6,48,-699,12898,219,918
419,84,13,2,False,2020-11-21T20:00:00Z,1,0,9,90,0,0,0,1,0,0,0,0,0,0,0,14,15.2,0.6,0.0,1.6,48,-430,12695,358,788
419,97,15,7,True,2020-11-28T20:00:00Z,1,0,10,90,0,0,1,0,0,0,0,0,0,0,1,25,12.6,0.8,0.0,1.3,48,314,13399,842,528
419,107,6,0,True,2020-12-06T12:00:00Z,1,5,11,90,0,0,0,5,0,0,0,0,0,0,0,14,29.2,0.9,2.0,3.2,48,1472,15332,2350,878
419,116,14,0,False,2020-12-12T15:00:00Z,2,1,12,90,0,0,0,2,0,0,0,1,0,0,0,8,23.4,11.9,18.0,5.3,48,-1008,13996,442,1450
419,128,12,5,False,2020-12-15T20:00:00Z,1,1,13,90,0,1,0,1,0,0,0,0,0,0,0,20,21.8,0.0,4.0,2.6,48,-582,13540,353,935
419,138,2,1,True,2020-12-20T19:15:00Z,0,3,14,90,0,0,0,3,0,0,0,0,0,0,0,6,15.6,0.6,0.0,1.6,48,579,14367,1065,486
419,144,11,9,False,2020-12-27T16:30:00Z,1,1,15,90,1,0,0,1,0,0,0,0,0,0,1,23,46.6,0.3,25.0,7.2,48,-495,13979,453,948
419,158,10,0,True,2020-12-29T18:00:00Z,0,5,16,90,0,0,0,5,0,0,0,0,0,0,0,9,16.6,0.2,2.0,1.9,48,3898,18273,4421,523
419,168,1,0,True,2021-01-02T20:00:00Z,0,4,17,90,0,0,0,4,0,0,0,0,0,0,0,8,9.6,0.5,6.0,1.6,48,188,18526,2186,1998
419,188,20,6,False,2021-01-16T12:30:00Z,2,3,19,90,1,0,0,2,0,0,0,1,0,0,0,16,47.8,10.3,21.0,7.9,48,546,18226,1788,1242
419,175,19,1,False,2021-01-19T18:00:00Z,2,1,19,90,0,0,0,2,0,0,0,0,0,0,0,7,4.4,0.8,4.0,0.9,48,546,18226,1788,1242
419,193,12,0,True,2021-01-26T20:15:00Z,0,5,20,90,0,0,0,5,0,0,0,0,0,0,0,8,21.8,0.4,17.0,3.9,48,1845,20212,3831,1986
419,207,8,1,True,2021-01-30T15:00:00Z,2,2,21,90,0,0,0,2,0,0,0,0,0,0,0,14,24.4,14.2,8.0,4.7,48,2168,22566,3898,1730
419,214,15,1,False,2021-02-02T18:00:00Z,2,1,22,90,0,0,0,2,0,0,0,0,0,0,0,10,16.2,0.2,6.0,2.2,48,684,23531,3116,2432
419,227,17,1,False,2021-02-07T12:00:00Z,2,0,23,90,0,0,0,2,0,0,0,0,0,0,0,11,18.8,0.3,8.0,2.7,48,-2987,20614,525,3512
419,237,13,2,True,2021-02-14T14:00:00Z,1,1,24,90,0,0,0,1,0,0,0,0,0,0,0,10,18.0,0.1,2.0,2.0,48,-1439,19272,654,2093
