element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
450,6,14,2,True,2020-09-12T19:00:00Z,0,2,1,66,0,0,0,1,0,0,0,0,0,0,0,8,4.6,1.9,18.0,2.5,65,0,6389,0,0
450,9,1,2,False,2020-09-19T19:00:00Z,2,1,2,87,0,0,0,2,0,0,0,0,0,0,0,11,2.6,12.8,0.0,1.5,65,-1225,5983,244,1469
450,28,20,9,True,2020-09-27T18:00:00Z,4,0,3,90,0,2,1,0,0,0,0,0,0,0,0,19,17.8,10.6,5.0,3.3,64,-826,5599,345,1171
450,34,9,12,False,2020-10-04T11:00:00Z,0,3,4,90,1,1,1,0,0,0,0,1,0,0,2,36,59.0,35.8,39.0,13.4,64,1034,7566,1885,851
450,47,17,2,False,2020-10-18T15:30:00Z,3,3,5,76,0,0,0,3,0,0,0,0,0,0,0,6,2.6,3.0,26.0,3.2,64,9781,24572,13809,4028
450,57,12,2,True,2020-10-24T11:30:00Z,1,1,6,90,0,0,0,1,0,0,0,0,0,0,0,10,4.6,11.8,13.0,2.9,64,3085,29880,7542,4457
450,63,11,10,False,2020-10-31T17:30:00Z,2,1,7,90,1,0,0,2,0,0,0,0,0,0,3,27,38.4,2.8,52.0,9.3,64,481,31520,4948,4467
450,78,8,3,True,2020-11-07T20:00:00Z,1,0,8,71,0,0,1,0,0,0,0,0,0,0,0,6,0.2,2.3,9.0,1.2,64,98113,144901,105692,7579
450,86,15,6,False,2020-11-22T14:00:00Z,0,1,9,75,0,1,1,0,0,0,0,0,0,0,0,14,8.4,19.1,10.0,3.8,64,1431,139986,32641,31210
450,98,2,1,True,2020-11-30T20:00:00Z,2,1,10,90,0,0,0,1,0,0,0,1,0,0,0,0,0.0,0.5,2.0,0.1,65,37465,180724,56580,19115
450,108,13,2,True,2020-12-05T17:30:00Z,1,3,11,74,0,0,0,2,0,0,0,0,0,0,0,-7,2.0,2.5,46.0,5.1,65,-29432,146755,10784,40216
450,113,10,2,False,2020-12-11T20:00:00Z,1,2,12,90,0,0,0,1,0,0,0,0,0,0,0,10,13.4,6.4,4.0,2.4,64,-15426,135092,9830,25256
450,125,6,1,True,2020-12-16T20:00:00Z,1,1,13,45,0,0,0,1,0,0,0,0,0,0,0,5,2.4,10.8,4.0,1.7,64,-12722,122735,6906,19628
450,131,5,2,False,2020-12-21T20:00:00Z,3,0,14,66,0,0,0,1,0,0,0,0,0,0,0,4,3.6,2.3,18.0,2.4,63,-20354,102822,2048,22402
450,147,3,0,True,2020-12-27T14:15:00Z,2,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,62,-10595,92600,4099,14694
450,156,16,3,False,2020-12-29T18:00:00Z,0,0,16,90,0,0,1,0,0,0,0,0,0,0,0,9,12.8,16.6,12.0,4.1,62,-10819,82108,1511,12330
450,163,7,3,False,2021-01-01T17:30:00Z,0,1,17,72,0,0,1,0,0,0,0,0,0,0,0,9,15.6,13.0,15.0,4.4,61,-8620,73921,1649,10269
450,187,4,8,True,2021-01-16T15:00:00Z,1,0,19,90,0,1,1,0,0,0,0,0,0,0,2,26,12.0,3.8,26.0,4.2,61,1447,67560,6508,5061
450,175,18,1,True,2021-01-19T18:00:00Z,2,1,19,28,0,0,0,0,0,0,0,0,0,0,0,3,2.6,12.1,0.0,1.5,61,1447,67560,6508,5061
450,195,6,2,False,2021-01-26T18:00:00Z,2,3,20,90,0,0,0,2,0,0,0,0,0,0,0,17,22.2,46.7,19.0,8.8,61,-1683,65777,4127,5810
450,208,11,2,True,2021-01-31T16:30:00Z,1,3,21,61,0,0,0,1,0,0,0,0,0,0,0,11,6.0,4.7,20.0,3.1,60,-7042,58758,482,7524
450,209,2,1,False,2021-02-03T20:15:00Z,1,3,22,6,0,0,0,0,0,0,0,0,0,0,0,3,0.6,1.3,2.0,0.4,60,-2762,56173,787,3549
450,221,8,0,False,2021-02-06T17:30:00Z,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,-3418,52888,851,4269
450,238,15,0,True,2021-02-15T18:00:00Z,3,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,59,-4350,48485,450,4800
