element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
211,3,11,0,False,2020-09-12T16:30:00Z,4,3,1,90,0,0,0,4,0,0,0,0,0,0,0,19,41.0,0.1,0.0,4.1,40,0,97197,0,0
211,13,8,0,True,2020-09-19T14:00:00Z,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,32400,154537,55316,22916
211,25,15,0,False,2020-09-27T11:00:00Z,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-9557,148434,17038,26595
211,33,12,0,True,2020-10-03T16:30:00Z,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-11097,139955,6023,17120
211,42,20,2,True,2020-10-19T19:00:00Z,0,1,5,74,0,0,0,1,0,0,0,0,0,0,0,12,11.0,0.5,2.0,1.4,40,-10951,130203,3989,14940
211,50,2,0,False,2020-10-23T19:00:00Z,0,3,6,20,0,0,0,0,0,0,0,1,0,0,0,0,1.2,1.5,0.0,0.3,40,33635,172872,45391,11756
211,62,9,0,True,2020-11-02T20:00:00Z,1,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,10118,182060,22408,12290
211,72,6,0,False,2020-11-07T15:00:00Z,4,1,8,70,0,0,0,4,0,0,0,0,0,0,0,11,3.4,13.4,6.0,2.3,40,-4223,177249,8753,12976
211,82,1,0,True,2020-11-22T16:30:00Z,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-3860,173920,9281,13141
211,93,7,0,False,2020-11-28T17:30:00Z,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-6524,167999,2777,9301
211,102,5,0,False,2020-12-05T20:00:00Z,3,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-9034,158610,1942,10976
211,113,19,0,True,2020-12-11T20:00:00Z,1,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-5656,154335,1955,7611
211,122,14,0,True,2020-12-16T18:00:00Z,5,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,-4915,149670,1167,6082
211,134,13,0,False,2020-12-20T16:30:00Z,6,2,14,45,0,0,0,2,0,0,0,0,0,0,0,-1,0.0,1.9,4.0,0.2,39,3632,156002,9471,5839
211,142,4,7,True,2020-12-27T12:00:00Z,1,0,15,90,0,0,1,0,0,0,0,0,0,0,1,27,23.6,0.1,0.0,2.4,39,13465,173864,21838,8373
211,158,18,6,False,2020-12-29T18:00:00Z,0,5,16,90,0,0,1,0,0,0,0,0,0,0,0,26,22.0,1.0,0.0,2.3,39,29457,203829,34658,5201
211,167,17,1,False,2021-01-02T12:30:00Z,3,0,17,90,0,0,0,3,0,0,0,0,0,0,0,17,18.4,0.5,0.0,1.9,39,47415,251921,60058,12643
211,182,3,2,True,2021-01-16T15:00:00Z,0,1,19,90,0,0,0,1,0,0,0,0,0,0,0,17,15.0,7.8,0.0,2.3,39,46860,367039,70961,24101
211,196,14,2,False,2021-01-26T18:00:00Z,1,2,20,80,0,0,0,1,0,0,0,0,0,0,0,15,22.6,0.0,0.0,2.3,39,17993,360734,49891,31898
211,204,9,2,False,2021-01-31T14:00:00Z,1,3,21,90,0,0,0,1,0,0,0,0,0,0,0,15,26.2,0.6,0.0,2.7,39,-9182,351465,13776,22958
211,212,7,1,True,2021-02-03T19:30:00Z,1,2,22,90,0,0,0,2,0,0,0,0,0,0,0,19,22.2,0.8,17.0,4.0,39,1584,354188,16170,14586
211,222,6,6,True,2021-02-08T20:00:00Z,2,0,23,90,0,0,1,0,0,0,0,0,0,0,0,17,11.4,0.3,48.0,6.0,39,-3216,351586,15103,18319
211,229,1,6,False,2021-02-14T16:30:00Z,4,2,24,90,1,0,0,4,0,0,0,1,0,0,1,25,47.0,0.8,33.0,8.1,39,8601,361615,27175,18574
211,248,20,2,False,2021-02-19T20:00:00Z,1,0,25,90,0,0,0,1,0,0,0,0,0,0,0,16,33.4,0.3,41.0,7.5,39,65842,430005,80519,14677
211,172,16,6,True,2021-02-23T18:00:00Z,3,0,25,90,0,0,1,0,0,0,0,0,0,0,0,25,14.8,0.1,2.0,1.7,39,65842,430005,80519,14677
211,252,2,1,True,2021-02-27T17:30:00Z,0,1,26,52,0,0,0,1,0,0,0,0,0,0,0,1,3.4,2.6,0.0,0.6,40,41176,474242,73828,32652
211,268,19,0,False,2021-03-08T20:00:00Z,2,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,8274,481215,21882,13608
211,273,5,6,True,2021-03-13T12:30:00Z,0,0,28,90,0,0,1,0,0,0,0,0,0,0,0,22,23.0,0.3,0.0,2.3,40,-35159,445502,7160,42319
