season_name,element_code,start_cost,end_cost,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index
2006/07,7645,55,55,121,3420,4,1,0,55,0,0,0,4,0,1,17,0,0.0,0.0,0.0,0.0
2007/08,7645,55,54,128,2654,1,4,0,24,0,0,0,2,0,0,7,0,0.0,0.0,0.0,0.0
2008/09,7645,60,63,131,2974,0,0,0,36,0,0,0,2,0,0,25,0,0.0,0.0,0.0,0.0
2009/10,7645,60,57,45,1035,0,0,0,10,1,0,0,0,0,0,6,0,0.0,0.0,0.0,0.0
2010/11,7645,55,56,104,2796,1,1,9,32,2,0,0,3,0,0,10,0,0.0,0.0,0.0,0.0
2011/12,7645,55,54,107,2570,2,2,9,31,0,0,0,2,0,0,6,0,0.0,0.0,0.0,0.0
2012/13,7645,60,59,126,3154,2,2,10,38,0,0,0,1,0,0,10,0,0.0,0.0,0.0,0.0
2013/14,7645,55,57,104,2315,0,1,10,28,0,0,0,2,0,0,19,178,0.0,0.0,0.0,0.0
2014/15,7645,55,58,142,3285,4,0,10,47,0,0,0,1,0,0,21,824,0.0,0.0,0.0,0.0
2015/16,7645,55,51,65,1850,0,0,7,25,0,0,0,0,0,0,4,445,0.0,0.0,0.0,0.0
2016/17,7645,50,49,104,2251,3,3,6,32,0,0,0,4,1,0,16,533,751.4,71.7,278.0,110.1
2017/18,7645,50,47,60,2063,0,0,6,39,0,0,0,2,0,0,5,415,529.2,24.1,108.0,66.2
2018/19,7645,45,43,22,329,1,0,2,4,0,0,0,0,1,0,3,80,82.2,21.4,43.0,14.6
2019/20,7645,45,41,6,240,0,0,0,6,0,0,0,0,0,0,0,50,75.4,4.8,2.0,8.2
