element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
297,15,6,0,True,2020-09-19T16:30:00Z,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-691,5746,266,957
297,19,3,0,False,2020-09-26T11:30:00Z,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-1700,4082,52,1752
297,35,17,0,True,2020-10-04T15:30:00Z,1,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-613,3580,45,658
297,45,14,0,False,2020-10-17T19:00:00Z,1,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-353,3285,42,395
297,55,5,0,True,2020-10-24T16:30:00Z,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-165,3146,41,206
297,64,1,0,True,2020-11-01T16:30:00Z,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-146,3015,29,175
297,73,7,0,False,2020-11-07T12:30:00Z,1,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-102,2924,8,110
297,84,18,0,True,2020-11-21T20:00:00Z,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-104,2835,7,111
297,96,16,0,False,2020-11-29T14:00:00Z,2,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-50,2794,5,55
297,108,19,0,False,2020-12-05T17:30:00Z,1,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-51,2747,6,57
297,115,12,0,True,2020-12-12T17:30:00Z,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-33,2725,9,42
297,124,15,0,False,2020-12-17T20:00:00Z,2,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-33,2694,1,34
297,134,10,0,True,2020-12-20T16:30:00Z,6,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-13,2681,6,19
297,143,9,0,False,2020-12-26T12:30:00Z,2,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-21,2665,6,27
297,154,20,0,True,2020-12-29T20:00:00Z,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-13,2660,2,15
297,164,2,0,True,2021-01-01T20:00:00Z,2,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-11,2659,5,16
297,379,4,0,False,2021-01-12T20:15:00Z,0,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-21,2640,5,26
297,184,11,0,False,2021-01-17T16:30:00Z,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-7,2641,1,8
297,171,8,0,False,2021-01-20T20:15:00Z,1,2,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-7,2641,1,8
297,192,15,0,True,2021-01-27T20:15:00Z,1,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-21,2624,2,23
297,199,1,0,False,2021-01-30T17:30:00Z,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-8,2617,0,8
297,213,16,0,True,2021-02-02T20:15:00Z,9,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-10,2606,0,10
297,224,7,0,True,2021-02-06T20:00:00Z,3,3,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-9,2597,0,9
297,237,18,0,False,2021-02-14T14:00:00Z,1,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-8,2590,0,8
297,245,14,0,True,2021-02-21T19:00:00Z,3,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-8,2582,0,8
297,249,5,0,False,2021-02-28T16:30:00Z,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-12,2570,0,12
297,281,6,0,False,2021-03-03T20:15:00Z,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-12,2570,0,12
297,264,12,0,False,2021-03-07T16:30:00Z,0,2,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-6,2564,0,6
297,275,19,0,True,2021-03-14T19:15:00Z,1,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-7,2557,0,7
