element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
4,2,8,7,False,2020-09-12T11:30:00Z,0,3,1,90,1,0,1,0,0,0,0,1,0,0,0,19,36.6,15.3,54.0,10.6,120,0,2823465,0,0
4,9,19,5,True,2020-09-19T19:00:00Z,2,1,2,90,0,1,0,1,0,0,0,0,0,0,0,20,28.0,36.4,15.0,7.9,120,-76570,3002806,146991,223561
4,23,11,2,False,2020-09-28T19:00:00Z,3,1,3,90,0,0,0,3,0,0,0,0,0,0,0,5,4.2,0.9,4.0,0.9,119,-967555,2046859,50656,1018211
4,29,15,2,True,2020-10-04T13:00:00Z,2,1,4,90,0,0,0,1,0,0,0,0,0,0,0,10,9.4,4.6,30.0,4.4,119,-120167,2000213,106551,226718
4,44,12,2,False,2020-10-17T16:30:00Z,1,0,5,90,0,0,0,1,0,0,0,0,0,0,0,7,8.6,29.9,2.0,4.1,118,-582811,1397443,29415,612226
4,49,9,2,True,2020-10-25T19:15:00Z,0,1,6,90,0,0,0,1,0,0,0,0,0,0,0,12,6.6,16.0,12.0,3.5,118,-235512,1193283,14819,250331
4,64,13,8,False,2020-11-01T16:30:00Z,0,1,7,86,1,0,1,0,0,0,0,1,0,0,1,31,34.0,16.4,26.0,7.6,117,-191185,1011750,6334,197519
4,69,2,2,True,2020-11-08T19:15:00Z,0,3,8,90,0,0,0,3,0,0,0,0,0,0,0,7,6.0,28.3,8.0,4.2,117,7189,1037701,53375,46186
4,82,10,3,False,2020-11-22T16:30:00Z,0,0,9,90,0,0,1,0,0,0,0,0,0,0,0,4,5.6,14.4,39.0,5.9,117,-74110,961065,43782,117892
4,89,20,2,True,2020-11-29T19:15:00Z,1,2,10,90,0,0,0,2,0,0,0,0,0,0,0,2,0.6,1.3,61.0,6.3,116,-107416,850482,5512,112928
4,106,17,2,False,2020-12-06T16:30:00Z,2,0,11,90,0,0,0,2,0,0,0,0,0,0,0,6,1.8,7.3,26.0,3.5,115,-108638,742348,2646,111284
4,109,4,0,True,2020-12-13T19:15:00Z,0,1,12,90,0,0,0,1,1,0,0,0,0,0,0,-1,7.4,18.5,68.0,9.4,115,-47634,703369,16755,64389
4,119,16,10,True,2020-12-16T18:00:00Z,1,1,13,90,1,0,0,1,0,0,0,0,0,0,3,24,37.8,11.9,27.0,7.7,115,-52013,650088,4169,56182
4,133,7,0,False,2020-12-19T17:30:00Z,2,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,114,-16083,635555,5217,21300
4,139,5,0,True,2020-12-26T17:30:00Z,3,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,114,-64785,569463,830,65615
4,149,3,3,False,2020-12-29T18:00:00Z,0,1,16,90,0,0,1,0,0,0,0,0,0,0,0,0,4.6,7.6,29.0,4.1,114,-5669,566389,6786,12455
4,168,18,3,False,2021-01-02T20:00:00Z,0,4,17,90,0,0,1,0,0,0,0,0,0,0,0,8,7.6,5.5,32.0,4.5,114,1821,569293,14647,12826
4,169,6,3,True,2021-01-14T20:00:00Z,0,0,18,90,0,0,1,0,0,0,0,0,0,0,0,11,12.2,8.3,29.0,5.0,113,-11762,575850,13248,25010
4,179,14,15,True,2021-01-18T20:00:00Z,3,0,19,78,2,0,1,0,0,0,0,0,0,0,2,37,61.2,3.7,57.0,12.2,113,-16905,539555,1436,18341
4,197,16,0,False,2021-01-26T20:15:00Z,1,3,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,113,4886,548082,36694,31808
4,199,13,0,True,2021-01-30T17:30:00Z,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,113,-22681,524991,1164,23845
4,215,20,1,False,2021-02-02T18:00:00Z,2,1,22,29,0,0,0,0,0,0,0,0,0,0,0,5,3.0,0.3,18.0,2.1,113,-8191,517358,3402,11593
4,219,2,1,False,2021-02-06T12:30:00Z,1,0,23,31,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.6,12.0,1.1,113,7644,526229,14141,6497
4,229,10,20,True,2021-02-14T16:30:00Z,4,2,24,90,3,0,0,2,0,0,0,0,0,0,3,56,102.2,27.7,97.0,22.7,113,-11009,515502,3811,14820
4,239,12,2,True,2021-02-21T16:30:00Z,0,1,25,90,0,0,0,1,0,0,0,0,0,0,0,4,0.0,3.2,4.0,0.7,113,22988,540800,30474,7486
4,253,9,1,False,2021-02-28T12:00:00Z,1,3,26,7,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.3,5.0,0.4,113,-6528,533795,11941,18469
4,261,4,8,False,2021-03-06T12:30:00Z,1,1,27,90,1,0,0,1,0,0,0,0,0,0,1,18,31.0,2.5,68.0,10.2,113,70295,607950,79805,9510
4,269,17,0,True,2021-03-14T16:30:00Z,2,1,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,114,54493,662505,77539,23046
